"REQUEST YOUR QUOTE","Demandez un devis"
"Product Prices","Prix du produit"
"Product Reviews","Commentaires"
"Product Tags","Mots clés du produit"
"Product Tier Price API","API des prix par paliers"
"Product Type","Type du produit"
"Product URL Suffix","Suffixe d'URL de produit"
"Product View Extra Hint","Astuce supplémentaire de vue de produit"
"Product attribute sets API","API de jeux d'attributs de produit"
"Product attributes API","API d'attributs de produit"
"Product collection expected.","Collection de produits attendue."
"Product links API (related, cross sells, up sells)","API des liens de produit (produits apparentés, ventes croisées, ventes incitatives)"
"Product types API","API de types de produit"
"Product with this combination of attributes already associated to configurable.","Un produit avec cette combinaison d'attributs est déjà associé à ce produit configurable."
"Products","Produits"
"Products Comparison List","Liste de comparaison de produits"
"Products Information","Informations produits"
"Products Sitemap","Plan de site des produits"
"Products only","Produits seulement"
"Products per Page on Grid Allowed Values","Valeurs autorisées pour le nombre de produits par page dans l'affichage en grille"
"Products per Page on Grid Default Value","Valeur par défaut pour le nombre de produits par page dans l'affichage en grille"
"Products per Page on List Allowed Values","Valeurs autorisées pour le nombre de produits par page dans l'affichage en liste"
"Products per Page on List Default Value","Valeur par défaut pour le nombre de produits par page dans l'affichage en liste"
"Properties","Propriétés"
"Qty","Qté"
"Qty Increments","Incréments de quantités"
"Qty Uses Decimals","La quantité utilise des décimales"
"Qty for Item's Status to become Out of Stock","Quantité pour que l'article soit considéré comme épuisé"
"Qty:","Qté :"
"Quantity","Qté"
"Quick Create","Création rapide"
"Quick Overview","Description rapide"
"Quick simple product creation","Création rapide de produit simple"
"Records for ""","Enregistrements pour """
"Redirect","Rediriger"
"Redirect URL","URL de redirection"
"Regular Price:","Prix normal :"
"Related Products","Produits apparentés"
"Remove","Supprimer"
"Remove Product From Websites","Supprimer le produit des sites web"
"Remove This Item","Supprimer cet élément"
"Remove product assignment","Supprimer l'assignation de produit"
"Remove product image","Supprimer l'image de produit"
"Remove product link","Supprimer le lien de produit"
"Reorganize EAV category structure to flat structure","Réorganise la structure de catégorie EAV en une structure fixe"
"Reorganize EAV product structure to flat structure","Réorganise la structure de produit EAV en une structure fixe"
"Reset","Réinitialiser"
"Results","Résultats"
"Retrieve attribute data","Récupérer les données de l'attribut"
"Retrieve attribute list","Récupérer la liste d'attributs"
"Retrieve attribute options","Récupérer les options d'attribut"
"Retrieve categories tree","Récupérer l'arbre des catégories"
"Retrieve category attributes","Récupérer les attributs de catégorie"
"Retrieve category data","Récupérer les données de catégorie"
"Retrieve hierarchical tree","Récupérer l'arbre hiérarchique"
"Retrieve linked products","Récupérer les produits liés"
"Retrieve list of assigned products","Récupérer la liste des produits assignés"
"Retrieve one level of categories by website/store view/parent category","Récupérer un niveau des catégories par site web/magasin/catégorie parente"
"Retrieve product","Récupérer le produit"
"Retrieve product attribute sets","Récupérer les jeux d'attributs de produit"
"Retrieve product image","Récupérer l'image de produit"
"Retrieve product image list","Récupérer la liste des images de produit"
"Retrieve product image types","Récupérer les types d'images de produit"
"Retrieve product link type attributes","Récupérer les attributs de type de lien de produit"
"Retrieve product link types","Récupérer les types de liens de produit"
"Retrieve product tier prices","Récupérer les prix par paliers du produit"
"Retrieve product types","Récupérer les types de produit"
"Retrieve products data","Récupérer les données de produits"
"Retrieve products list by filters","Récupérer une liste filtrée de produits"
"Reviews","Commentaires"
"Roll Over for preview","Survoler pour avoir un aperçu"
"Root","Racine"
"SKU","Réf."
"Save Attribute","Sauvegarder l'attribut"
"Save Attribute Set","Sauvegarder le jeu d'attributs"
"Save Category","Sauvegarder la catégorie"
"Save Search","Sauvegarder la recherche"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Saved %d record(s)","%d enregistrement(s) sauvegardé(s)"
"Scope","Portée"
"Search","Chercher"
"search","chercher"
"Search Engine Optimizations","Optimisations pour les moteurs de recherche"
"Search Information","Informations de recherche"
"Search Query","Termes de recherche"
"Search Term with such search query already exists.","Il existe déjà un terme de recherche avec cette requête."
"Searchable","Utiliser dans la recherche"
"Select Category...","Choisir une catégorie..."
"Select Configurable Attributes ","Sélectionnez les attributs configurables "
"Select Product...","Choisir un produit..."
"Select type of option","Choisissez un type d\'option"
"Select type options required values rows.","Sélectionner les lignes des valeurs obligatoires des options"
"Selected Product Types","Types de produit sélectionnés"
"Selected configuration is not available.","La configuration choisie n'est pas disponible."
"Send Count","Nombre d'envois"
"Set Ascending Direction","Par ordre croissant"
"Set Descending Direction","Par ordre décroissant"
"Set Name","Nom du jeu d'attributs"
"Set Root Category for Store","Renseigner la catégorie racine pour la boutique"
"Set root category for this store in the <a href=""%s"">configuration</a>","Choisir la catégorie racine pour ce magasin dans la <a href=""%s"">configuration</a>"
"Set special price","Fixer un prix spécial"
"Set/Get current store view","Renseigner/récupérer la vue magasin en cours"
"Settings","Paramétrage"
"Shop By","Filtrer par"
"Shopping Options","Affiner la recherche"
"Show","Afficher"
"Show Details","Afficher les détails"
"Show Tags","Afficher les tags"
"Simple Product","Produit simple"
"Site Map","Plan du site"
"Sitemap","Plan de site"
"Skip import row, is not valid value ""%s"" for field ""%s""","Ligne ignorée, la valeur ""%s"" n'est pas valide pour le champ ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Ligne ignorée, le champ obligatoire ""%s"" pour le client n'est pas renseigné."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Ligne ignorée, la valeur ""%s"" n'est pas valide pour le champ ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Ligne ignorée, le champ obligatoire ""%s"" pour le produit n'est pas renseigné."
"Skipping import row, required field ""%s"" is not defined.","Ligne ignorée, le champ obligatoire ""%s"" n'est pas défini."
"Skipping import row, store ""%s"" field does not exist.","Ligne ignorée, le champ ""%s"" du magasin n'existe pas."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Ligne ignorée, la valeur ""%s"" n'est pas valide pour le champ ""%s"""
"Some of the processed products have no SKU value. Please fill it.","Certains produits traités n'ont pas de référence (sku). Veuillez le renseigner."
"Some of the products below do not have all the required options. Please remove them and add again with all the required options.","Certains articles ci-dessous n\'ont pas toutes les options obligatoires. Enlevez-les puis ajoutez-les de nouveau en renseignant les options obligatoires."
"Sort by","Trier par"
"Sort Order","Ordre de tri"
"Source Model","Modèle source"
"Special Expires On: %s","Prix spécial jusqu'au : %s"
"Special Price:","Prix spécial :"
"Special Price: %s","Prix spécial : %s"
"Starting at:","À partir de :"
"Static","Statique"
"Static block and products","Bloc statique et produits"
"Static block only","Bloc statique uniquement"
"Status","Statut"
"Stock Availability","Disponibilité"
"Store","Magasin"
"Store View","Vue magasin"
"Stretch","Étirer"
"Subscribe to RSS Feed","S'abonner au flux RSS"
"Super product attributes configuration","Configuration des attributs du super produit"
"Synonym For","Synonyme de"
"System Properties","Propriétés système"
"Tag Name","Nom du mot clé"
"Tax","TVA & autres taxes"
"Template","Gabarit"
"Text","Texte"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","Le module de catalogue à plat a une limite de %2$d attributs filtrables et/ou triables. Il y en a actuellement %1$d. Réduisez le nombre d'attributs de ce type afin de pouvoir utiliser ce module."
"The attribute model is not defined","Le modèle d'attributs n'est pas défini."
"The attribute set has been saved.","Le jeu d'attributs a été sauvegardé."
"The base directory to upload image file is not specified.","Le répertoire de base pour uploader l'image n'est pas spécifié."
"The category has been deleted.","La catégorie a été supprimée."
"The category has been saved.","La catégorie a été enregistrée."
"The comparison list was cleared.","La liste de comparaison a été vidée."
"The email template is not specified by administrator.","Le gabarit d'email n'a pas été spécifié par l'administrateur."
"The filters must be an array.","Les filtres doivent être sous forme de tableau."
"The image contents is not valid base64 data.","Le contenu de l'image ne comporte pas des données base64 correctes."
"The image is not specified.","L'image n'est pas spécifiée."
"The product %s has been added to comparison list.","Le produit %s a été ajouté à la liste de comparaison."
"The product %s has been removed from comparison list.","Le produit %s a été enlevé de la liste de comparaison."
"The product attribute has been deleted.","L'attribut de produit a été effacé."
"The product attribute has been saved.","L'attribut de produit a été sauvegardé."
"The product has been created.","Le produit a été créé."
"The product has been deleted.","Le produit a été supprimé."
"The product has been duplicated.","Le produit a été dupliqué."
"The product has been saved.","Le produit a été sauvegardé."
"The product has required options","Le produit a des options obligatoires."
"The review has been deleted","Le commentaire a été supprimé."
"The review has been saved.","Le commentaire a été sauvegardé."
"The review was removed by another user or does not exist.","Le commentaire a été supprimé par un autre utilisateur ou n'existe pas."
"The search was deleted.","La recherche a été supprimée."
"The text is too long","Le texte est trop long."
"There are no %s available.","Aucun(e) %s disponible"
"There are no customers for this alert","Il n'y a aucun client pour cette alerte"
"There are no customers for this alert.","Aucun client pour cette alerte."
"There are no products matching the selection.","Aucun produit ne correspond à la sélection."
"This Attribute no longer exists","Cet attribut n'existe plus."
"This attribute cannot be deleted.","Cet attribut ne peut pas être supprimé."
"This attribute cannot be edited.","Cet attribut ne peut pas être édité."
"This attribute cannot be updated.","Cet attribut ne peut pas être mis à jour."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Cet attribut est utilisé dans des produits configurables. Vous ne pouvez pas le retirer de ce jeu d\'attributs."
"This attribute no longer exists","Cette attribut n'existe plus"
"This attribute set no longer exists.","Ce jeu d'attributs n'existe plus."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Ce groupe contient des attributs utilisés dans des produits configurables. Déplacez ces attributs dans un autre groupe et réessayez."
"This group contains system attributes. Please move system attributes to another group and try again.","Ce groupe contient des attributs système. Veuillez déplacer les attributs système vers un autre groupe et réessayer."
"This is a required option","Cette option est requise"
"This product no longer exists.","Ce produit n'existe plus."
"This search no longer exists.","Cette recherche n'existe plus."
"Tier Pricing","Tarification par palier"
"Tile","Mosaïque"
"Time Format","Format d'heure"
"Title","Titre"
"To reindex the enabled product(s), the store or product must be specified.","Pour réindexer les produits activés, le magasin ou le produit doit être spécifié."
"Top/Left","En haut à gauche"
"Top/Right","En haut à droite"
"Total Qty Base Items","Quantité totale d'articles de base"
"Total incl. Tax: %1$s","Total TTC : %1$s"
"Total of %d record(s) have been deleted.","%d enregistrement(s) a (ont) été effacé(s)."
"Total of %d record(s) have been updated.","%d enregistrement(s) a (ont) été mis à jour."
"Type","Type"
"URL Rewrite Management","Gestion de réécriture d'URL"
"Unable to complete this request.","Impossible de satisfaire cette requête."
"Unable to find a search term to delete.","Impossible de trouver le terme de recherche à effacer."
"Unable to find an attribute to delete.","Impossible de trouver l'attribut à supprimer."
"Unable to get the product ID.","Impossible de récupérer l'identifiant de produit."
"Unassigned Attributes","Attributs non assignés"
"Unknown EAV indexer type ""%s"".","Type d'indexer EAV inconnu : ""%s""."
"Unknown attribute: %s.","Attribut inconnu : %s."
"Unsupported product type ""%s"".","Type de produit non supporté : ""%s""."
"Up-sells","Ventes incitatives"
"Update","Mettre à jour"
"Update Attributes","Mettre à jour les attributs"
"Update Tier Price","Mettre à jour les prix par palier"
"Update assigned product","Mettre à jour le produit assigné"
"Update attributes","Modifier les attributs"
"Update category","Mettre à jour la catégorie"
"Update product","Mettre à jour le produit"
"Update product image","Mettre à jour l'image du produit"
"Update product link","Mettre à jour le lien du produit"
"Update product tier prices","Mettre à jour les prix par palier"
"Upload new product image ","Uploader une nouvelle image de produit "
"Url Rewrite Management","Gestion de la réécriture d'URL"
"Use Canonical Link Meta Tag For Categories","Utiliser un lien canonique de meta tag pour les catégories"
"Use Canonical Link Meta Tag For Products","Utiliser un lien canonique de meta tag pour les produits"
"Use Categories Path for Product URLs","Utiliser le chemin des catégories pour l'URL des produits"
"Use Config Settings","Utiliser les paramètres de la configuration"
"Use Default Value","Utiliser la valeur par défaut"
"Use Flat Catalog Category","Utiliser le catalogue à plat pour les catégories"
"Use Flat Catalog Product","Utiliser le catalogue à plat pour les produits"
"Use In Layered Navigation","Utiliser dans la navigation par filtres"
"Use In Search Results Layered Navigation","Utiliser dans la navigation par filtres des résultats de recherche"
"Use JavaScript Calendar","Utiliser le calendrier JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Utiliser les URLs statiques pour le contenu média dans l'éditeur WYSIWYG pour le catalogue"
"Use To Create Configurable Product","Utiliser pour créer un produit configurable"
"Use Tree Like Category Sitemap","Utiliser l'arborescence des catégories pour le plan de site"
"Use default","Utilisation par défaut"
"Use for Promo Rule Conditions","Utiliser pour les conditions de règles de promotions"
"Use four-digit year format.","Utiliser les années sur 4 chiffres."
"Use in Advanced Search","Utiliser dans la recherche avancée"
"Use in Layered Navigation","Utiliser dans la navigation par filtres"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Utiliser dans la navigation par filtres<br/>(utilisable uniquement avec les entrées de type liste déroulante)"
"Use in Quick Search","Utiliser dans la recherche rapide"
"Used for Sorting in Product Listing","Utiliser pour le tri des listes de produits"
"Used in Product Listing","Utiliser dans les listes de produits"
"Value for ""%s"" is invalid.","La valeur pour ""%s"" est invalide."
"Value for ""%s"" is invalid: %s","La valeur pour ""%s"" est invalide : %s."
"Varchar","Varchar"
"View as","Afficher en"
"Virtual Product","Produit virtuel"
"Visibility","Visibilité"
"Visible","Visible"
"Visible on Catalog Pages on Front-end","Visible sur les pages du magasin"
"Visible on Product View Page on Front-end","Visible sur la page produit du magasin"
"WYSIWYG Editor","Éditeur WYSIWYG"
"Watermark","Filigrane"
"Watermark Default Size","Taille par défaut du filigrane"
"Watermark Opacity, Percent","Pourcentage d'opacité du filigrane"
"Watermark Position","Positionnement du filigrane"
"We Also Recommend","Nous vous recommandons également"
"Website","Site web"
"Websites","Sites web"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Afficher l'option ""Toutes"" dans la liste déroulante ""Afficher X par page""."
"Wrong BuyRequest instance in options group.","Mauvaise instance BuyRequest dans le groupe d'options."
"Wrong option instance type in options group.","Mauvais type d'instance d'option dans le groupe d'options."
"Wrong option type to get group instance.","Type d'option incorrect pour récupérer l'instance de groupe."
"Wrong product instance type in options group.","Mauvais type d'instance de produit dans le groupe d'options."
"Wrong product type filter specified","Filtre de type de produit incorrect"
"Wrong quote item instance in options group.","Mauvaise instance d'article dans le groupe d'options."
"Wrong quote item option instance in options group.","Mauvaise instance d'option d'article dans le groupe d'options."
"Year Range","Période annuelle"
"Yes","Oui"
"You cannot email this product to a friend.","Vous ne pouvez pas envoyer ce produit à un ami."
"You cannot remove system attribute from this set.","Vous ne pouvez pas retirer un attribut système"
"You cannot send more than %d emails at a time.","Vous ne pouvez pas envoyer plus de %d emails à la fois."
"You have exceeded limit of %d sends in an hour.","Vous avez dépassé la limite de %d envois en une heure."
"You have no items to compare.","Vous n'avez pas d'articles à comparer."
"You have to specify at least one recipient.","Vous devez préciser au moins un destinataire."
"You may also be interested in the following product(s)","Vous pourriez également être intéressé par le(s) produit(s) suivant(s)"
"Zoom In","Zoom avant"
"Zoom Out","Zoom arrière"
"[GLOBAL]","[GLOBAL]"
"and","et"
"categories","catégories"
"each","pièce"
"ex. http://domain.com","Par ex : http://domaine.com"
"leave blank if its not an image","Laisser vide si ce n\'est pas une image"
"per page","par page"
"products","Produits"
"px.","px."
"save","économisez"
"select all","tout sélectionner"
"unselect all","tout désélectionner"
"x","x"
"Prices","Prix"
"and above","et plus"
"Delete Tier","Effacer le palier"
"Meta Information","Informations méta"
"<br/>[STORE VIEW]","<br/>[VUE MAGASIN]"
"Descriptions","Descriptions"
"Computer Attributes","Attributs d'ordinateur"
"Display Settings","Paramètres d'affichage"
"and above","et plus"
"Delete Tier","Effacer le palier"
"Meta Information","Informations méta"
"Descriptions","Descriptions"
"<br/>[STORE VIEW]","<br/>[VUE MAGASIN]"
"Cell Phone Attributes","Attributs de téléphone mobile"
"Qty for Item's Status to become Out of Stock","Quantité pour que l'article soit considéré comme épuisé"
"An error occurred while saving the product.","Erreur lors de la sauvegarde du produit."
"An invalid group ID is specified, skipping the record.","L'ID de groupe spécifié est invalide, enregistrement ignoré."
"Attribute group with the "/name/" name already exists","Il existe déjà un groupe portant le nom \""/name/\""."
"Bundle Items","Articles packagés"
"Buy %1$s with %2$s discount each","Achetez-en %1$s et profitez d'une remise de %2$s par produit"
"Can't create image.","Impossible de créer l'image."
"Cancel","Annuler"
"Configure Product","Configurer le produit"
"Downloadable Information","Informations téléchargements"
"Maximum allowed image size for '%s' is %sx%s px.","La taille maxi autorisée pour les images '%s' est de %sx%s px."
"Minimum Qty for Item's Status to be Out of Stock","Quantité mini pour que l'article soit considéré comme épuisé"
"OK","OK"
"Please specify the product's option(s).","Veuillez spécifier la (les) option(s) de produit"
"Please specify the product's required option(s).","Spécifiez la ou les option(s) obligatoire(s)."
"Please wait...","Veuillez patienter..."
"Product ID","ID de produit"
"Product is not loaded","Le produit n'est pas chargé."
"Product name","Produit"
"SKU length should be %s characters maximum.","La longueur maxi pour la référence est de %s caractères."
"Select Configurable Attributes","Sélectionnez les attributs configurables"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Certains des produits traités n'ont pas de référence (SKU) définie. Veuillez les renseigner avant d'effectuer des opérations sur ces produits."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Certains articles ci-dessous n\'ont pas toutes les options obligatoires. Éditez-les et configurez-les en renseignant les options obligatoires."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","Le module de catalogue à plat a une limite de %2$d attributs filtrables et/ou triables. Il y en a actuellement %1$d. Réduisez le nombre d'attributs de ce type afin de pouvoir utiliser ce module."
"The base directory to upload file is not specified.","Le répertoire de base pour uploader l'image n'est pas spécifié."
"The file '%s' for '%s' has an invalid extension","Le fichier '%s' pour '%s' a une extension invalide."
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Le fichier '%s' téléchargé a une taille supérieure à %s Mo (maximum autorisé par le serveur)"
"The file you uploaded is larger than %s Megabytes allowed by server","Le fichier téléchargé a une taille supérieure à %s Mo (maximum autorisé par le serveur)"
"There was an error while request processing.","Une erreur est survenue lors du traitement de la demande."
"Upload new product image","Uploader une nouvelle image de produit"
"Use config","Utiliser la config"
"Wrong configuration item instance in options group.","Mauvaise instance d'élément de configuration dans le groupe d'options."
"Wrong configuration item option instance in options group.","Mauvaise instance d'option d'élément de configuration dans le groupe d'options."
"Wrong product type to extract configurable options.","Type de produit erroné pour l'extraction des options configurables."
"Images","Images"
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Attention !</strong> Appliquer le prix minimum affiché par défaut masquera tous les prix des produits sur le frontend."
"Actual Price","Prix ​​actuel"
"An error occurred while saving the URL rewrite","Erreur lors de la sauvegarde de la réécriture d'URL."
"Apply MAP (Default Value)","Appliquer les prix minimum affichés (valeur par défaut)"
"Before Order Confirmation","Avant la confirmation de commande"
"Buy %1$s","Achetez-en %1$s"
"Buy %1$s for","Achetez-en %1$s pour"
"Category move operation is not possible: parent category is equal to child category.","Le déplacement de la catégorie n'est pas possible : la catégorie mère est égale à la catégorie fille."
"Category move operation is not possible: the current category was not found.","Le déplacement de la catégorie n'est pas possible : la catégorie actuelle n'a pas été trouvée."
"Click for price","Cliquez pour afficher le prix"
"Default ""What's This"" Text Message","Texte par défaut du message ""Qu'est ce que c'est"""
"Default Popup Text Message","Texte du message de popup par défaut"
"Display Actual Price","Afficher les prix actuels"
"Enable MAP","Activer le prix minimum affiché"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Impossible de copier le fichier %s. Veuillez effacer les media dont les images n'existent pas et réessayez."
"In Cart","Dans le panier"
"Invalid attribute %s","Attribut invalide : %s"
"Minimum Advertised Price","Prix ​​minimum affiché"
"On Gesture","Au geste"
"Scope must not be changed, because the attribute is used in configurable products.","La portée ne doit pas être modifiée car l'attribut est utilisé dans des produits configurables."
"See price before order confirmation.","Voir le prix avant la confirmation de la commande"
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Le module de catalogue à plat a une limite de %2$d attributs filtrables et/ou triables. Il y en a actuellement %1$d. Réduisez le nombre d'attributs de ce type afin de pouvoir utiliser ce module."
"The model collection resource name is not defined.","Le nom de ressource de collection de modèle n'est pas défini."
"This attribute is used in configurable products.","Cet attribut est utilisé dans les produits configurables."
"To reindex the enabled product(s), the store or product must be specified","Pour réindexer les produits activés, le magasin ou le produit doit être spécifié."
"To see product price, add this item to your cart. You can always remove it later.","Pour voir le prix du produit, ajoutez cet article à votre panier. Vous pourrez toujours l'enlever plus tard."
"What's this?","Qu'est-ce que c'est ?"
"Thumbnail","Miniature"
"Manufacturer","Fabricant"
"Color","Couleur"
"Dimensions","Dimensions"
"In Depth","En détail"
"Model","Modèle"
"Activation Information","Informations d'activation"
"Brand","Marque"
"Size","Taille"
"General","Général"
"%s and greater","%s et plus"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d produits</strong> ont été trouvés avec ces critères de recherche."
"Advanced Search","Recherche avancée"
"Advanced Search Form","Formulaire de recherche avancée"
"Advanced Search Result","Résultat de recherche avancée"
"All","Tous"
"Applies for ""Like"" search type only.","S'applique uniquement aux recherche de type 'like'."
"Apply Layered Navigation if Search Results are Less Than","Appliquer la navigation par filtre si les résultats de recherche sont inférieurs à"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Changement du paramétrage des attributs en relation avec l'indexation de recherche. Relancez le process <a href=""%s"">Reconstruire les indexes de recherche</a>."
"Autogenerated Site Map","Plan de site généré automatiquement"
"Catalog Advanced Search","Recherche avancée dans le catalogue"
"Catalog Search","Recherche catalogue"
"Catalog Search Index","Index de recherche catalogue"
"Don't see what you're looking for?","Vous ne trouvez pas ce que vous cherchez ?"
"Enter ""0"" to enable layered navigation for any number of results.","Saisissez ""0"" pour activer la navigation par filtre pour n'importe quel nombre de résultats."
"Go","Lancer"
"Go to Home Page","Aller à la page d'accueil"
"Grid","Grille"
"Home","Accueil"
"List","Liste"
"Maximum Query Length","Longueur maxi de requête"
"Maximum Query Words Count","Nombre maxi de mots dans la requête"
"Maximum Search query  length is %s. Your query was cut.","La longueur maxi de requête de recherche est %s. Votre requête a été coupée."
"Minimal Query Length","Longueur mini de requête"
"Minimum Search query length is %s","La longueur mini de requête est %s"
"Modify your search","Modifier votre recherche"
"No","Non"
"No items were found using the following search criteria.","Aucun résultat pour ces critères de recherche."
"Please specify at least one search term.","Spécifiez au moins un terme de recherche."
"Popular Search Terms","Termes de recherche populaires"
"Quick Search Form","Formulaire de recherche rapide"
"Rebuild Catalog product fulltext search index","Reconstruire l'index de recherche sur le texte complet du catalogue produit"
"Relevance","Pertinence"
"Results","Résultats"
"Search Settings","Paramètres de recherche"
"Search Terms","Termes de recherche"
"Search Type","Type de recherche"
"Search entire store here...","Parcourez le magasin entier ici..."
"Search results for '%s'","Résultats de recherche pour '%s'"
"Search:","Rechercher :"
"Subscribe to Feed","S'abonner au flux"
"There are no search terms available.","Aucun terme de recherche disponible."
"Yes","Oui"
"Your search returns no results.","Aucun résultat pour votre recherche."
"up to %s","jusqu'à %s"
"Specified date is invalid.","La date spécifiée est invalide."
"%s was added to your shopping cart.","%s a été ajouté à votre panier."
"* Required Fields","* Champs obligatoires"
"Add New Address","Ajouter une nouvelle adresse"
"Add New Condition","Créer des CGV"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à la liste d'envies"
"Additional Product Info","Complément d'information de produit"
"Address","Adresse"
"Address %s of %s","Adresse <span class=""shipment-count"">%s</span> sur %s"
"After Adding a Product Redirect to Shopping Cart","Rediriger vers le panier après l'ajout d'un produit"
"Allow Guest Checkout","Autoriser le passage de commande en tant qu'invité"
"Already registered?","Vous avez déjà un compte ?"
"An error occurred in the process of payment","Une erreur est survenue dans le process de paiement"
"An error occurred while deleting this condition.","Erreur lors de la suppression de cette condition."
"An error occurred while saving this condition.","Erreur lors de la sauvegarde de cette condition."
"Apply Coupon","Utiliser un bon de réduction"
"Are you sure you would like to remove this item from the shopping cart?","Êtes-vous sûr(e) de vouloir retirer cet article du panier ?"
"Back to Billing Information","Retour aux informations de facturation"
"Back to Select Addresses","Retour à la sélection d'adresses"
"Back to Shipping Information","Retour aux informations de livraison"
"Back to Shopping Cart","Retour au panier"
"Based on your selection, you may be interested in the following items:","D'après votre sélection, les articles suivants pourraient vous intéresser :"
"Billing Address","Adresse de facturation"
"Billing Information","Informations de facturation"
"Billing Information - %s","Informations de facturation - %s"
"Cancel Coupon","Annuler le coupon"
"Cannot add item to the shopping cart.","Impossible d'ajouter l'article au panier."
"Cannot add the item to shopping cart","Impossible d'ajouter l'article au panier."
"Cannot add the item to shopping cart.","Impossible d'ajouter le produit au panier"
"Cannot apply the coupon code.","Impossible d'appliquer le coupon de réduction."
"Cannot open the overview page","Impossible d'ouvrir la page de résumé."
"Cannot remove the item.","Impossible d'enlever l'article."
"Cannot update shopping cart.","Impossible de mettre à jour le panier."
"Card Verification Number Visual Reference","Référence visuelle numérique de vérification de carte"
"Cart Api","API de panier"
"Cart Subtotal:","Sous-total Du Panier:"
"Change","Modifier"
"Change Billing Address","Modifier l'adresse de facturation"
"Checkbox Text","Texte de la case à cocher"
"Checkout","Commander"
"Checkout Conditions","Conditions de commande"
"Checkout Method","Mode de commande"
"Checkout Options","Options de règlement"
"Checkout Progress Wrapper","Conteneur de progression de commande"
"Checkout Section","Section règlement"
"Checkout Terms and Conditions","Conditions générales de ventes"
"Checkout as Guest","Régler en tant qu'invité"
"Checkout as a Guest or Register","Régler en tant qu'invité ou s'enregistrer"
"Checkout with Multiple Addresses","Livrer à plusieurs adresses"
"City","Ville"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Cliquez <a href=""%s"" onclick=""this.target=\'_blank\'"">ici pour imprimer</a> une copie de votre confirmation de commande."
"Click <a href=""%1"">here</a> to continue shopping.","Cliquez <a href=""%1"">ici</a> pour continuer vos achats."
"Close","Fermer"
"Company","Société (optionnel)"
"Condition Name","Nom de la condition"
"Configurable Product Image","Image de produit configurable"
"Confirm Password","Confirmer mot de passe"
"Content","Contenu"
"Content Height","Hauteur du contenu"
"Content Height (css)","Hauteur du contenu (CSS)"
"Continue","Continuer"
"Continue to Billing Information","Poursuivre vers les informations de facturation"
"Continue to Review Your Order","Poursuivre pour vérifier votre commande"
"Continue to Shipping Information","Poursuivre vers les informations de livraison"
"Country","Pays"
"Coupon code ""%s"" is not valid.","Le code de réduction ""%s"" n'est pas valide."
"Coupon code ""%s"" was applied.","Le coupon de réduction ""%s"" a été appliqué."
"Coupon code was canceled.","Le coupon de réduction a été annulé."
"Create Billing Address","Créer une adresse de facturation"
"Create Shipping Address","Créer une adresse de livraison"
"Create shopping cart","Créer un panier"
"Data saving problem","Problème lors de la sauvegarde des données"
"Default Billing","Facturation par défaut"
"Default Shipping","Livraison par défaut"
"Delete Condition","Supprimer la condition"
"Details","Détails"
"Disabled","Désactivé"
"Discount Codes","Codes de remises"
"Display Cart Summary","Afficher le résumé du panier"
"Display Shopping Cart Sidebar","Afficher la barre latérale du panier"
"Display item quantities","Afficher la quantité totale d'articles dans le panier"
"Display number of items in cart","Afficher le nombre de produits différents dans le panier"
"Easy access to your order history and status","Consultez et suivez vos commandes"
"Edit Address","Éditer l'adresse"
"Edit Billing Address","Éditer l'adresse de facturation"
"Edit Items","Modifier les articles"
"Edit Shipping Address","Éditer l'adresse de livraison"
"Edit Terms and Conditions","Éditer les conditions générales de ventes"
"Edit Your Cart","Modifiez votre panier"
"Email Address","Adresse mail"
"Enable Onepage Checkout","Activer le passage de commande en une seule page"
"Enable Terms and Conditions","Activer les conditions générales de vente"
"Enabled","Activé"
