"Design now!","Ontwerp nu!"
"Cancel Coupon","Kortingsbon annuleren"
"Cannot remove item","Kan item niet verwijderen"
"Cannot update shopping cart","Kan winkelwagen niet bijwerken"
"Card Verification Number Visual Reference","Kaart bevestigingsnummer visuele referentie"
"Cart Subtotal:","Subtotaal winkelwagen:"
"Change","Wijzigen"
"Change Billing Address","Wijzigen"
"Checkbox text","Tekst checkbox"
"Checkout","Betalen"
"Checkout Conditions","Betalingsvoorwaarden"
"Checkout Options","Betaalopties"
"Checkout Section","Sectie Afrekenen"
"Checkout Terms and Conditions","Algemene Voorwaarden"
"Checkout as Guest","Eenmalige aankoop. Geen account aanmaken"
"Checkout as a Guest or Register","Voor het eerst in deze webshop?"
"Checkout method","Bestelwijze"
"Checkout with Multiple Addresses","Afrekenen met meerdere adressen"
"City","Plaats"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Klik <a href=""%s"" target=""_blank"">hier</a> om een kopie van uw orderbevestiging af te drukken."
"Close","Sluiten"
"Condition Name","Naam van voorwaarde"
"Condition was successfully deleted","Voorwaarde is verwijderd"
"Condition was successfully saved","Voorwaarde is opgeslagen"
"Configurable product image","Afbeelding configureerbaar product"
"Confirm Password","Bevestig wachtwoord"
"Content","Inhoud"
"Content Height","Hoogte inhoud"
"Content Height (css)","Hoogte inhoud (css)"
"Continue","Ga verder"
"Continue to Billing Information","Ga verder naar factuuradres"
"Continue to Review Your Order","Ga verder met het bekijken van uw bestelling"
"Continue to Shipping Information","Ga verder naar afleveradres"
"Country","Land"
"Coupon code ""%s"" is not valid.","Kortingscode “%s” is niet geldig."
"Coupon code ""%s"" was applied successfully.","Kortingscode was succesvol toegepast."
"Coupon code was canceled successfully.","Kortingscode is geannuleerd."
"Create Billing Address","Factuuradres aanmaken"
"Create Shipping Address","Afleveradres aanmaken"
"Data saving problem","Probleem bij het opslaan van gegevens"
"Default Billing","Standaard-betaling"
"Default Shipping","Standaard-verzending"
"Delete Condition","Voorwaarde verwijderen"
"Disable Onepage Checkout","Afrekenen op één pagina uitschakelen"
"Disabled","Uitgeschakeld"
"Discount Codes","Kortingcodes"
"Display Cart Summary","Beknopte inhoud winkelwagen tonen"
"Display Shopping Cart Sidebar","Zijbalk winkelwagen tonen"
"Display item quantities","Artikel-aantallen tonen"
"Display number of items in cart","Aantal artikelen in winkelwagen tonen"
"Easy access to your order history and status","Extra mogelijkheden: verlanglijst (bookmarks), meerdere afleveradressen, tags, reviews, etc."
"Edit Address","Adres bewerken"
"Edit Billing Address","Factuuradres bewerken"
"Edit Items","Artikelen bewerken"
"Edit Shipping Address","Afleveradres bewerken"
"Edit Terms and Conditions","Algemene Voorwaarden bewerken"
"Edit Your Cart","Ga terug naar uw winkelwagen"
"Email Address","E-mailadres"
"Enable Terms and Conditions","Algemene Voorwaarden inschakelen"
"Enabled","Ingeschakeld"
"Enter a New Address","Voer een nieuw adres in"
"Enter your coupon code if you have one.","Voer een kortingscode in als u er een heeft."
"Enter a discount code if you got it.","Voer een kortingscode in als u er een heeft."
"Enter your destination to get a shipping estimate.","Voer een bestemming in om een schatting te krijgen van de verzendkosten"
"Error while deleting this condition. Please try again later.","Fout tijdens het verwijderen van deze voorwaarde. Probeert het later opnieuw a.u.b."
"Error while saving this condition. Please try again later.","Fout tijdens het opslaan van deze voorwaarde. Probeert het later opnieuw a.u.b."
"Estimate Shipping and Tax","Verzendingkosten en BTW schatten"
"Fast and easy check out","Maar één keer invoeren, inzicht in uw eerdere bestellingen, met een muisklik opnieuw bestellen"
"Fax","Fax"
"Forgot an Item?","Iets vergeten?"
"Forgot your password?","Uw wachtwoord vergeten?"
"Get a Quote","Kostenopgave tonen"
"Grand Total:","Te betalen:"
"Grouped product image","Afbeelding gegroepeerd product"
"HTML","HTML"
"ID","ID"
"Invalid data","Ongeldige gegevens"
"Invalid email address ""%s""","Ongeldig e-mailadres ""%s"""
"Invalid shipping method.","Ongeldige verzendwijze"
"Items","Artikelen"
"Load customer quote error","Fout bij laden van klant-offerte"
"Loading next step...","Bezig met laden van de volgende stap..."
"Manage Checkout Terms and Conditions","Beheer Algemene Voorwaarden"
"Maximum display Recently added item(s)","Maar één keer invoeren, inzicht in uw eerdere bestellingen, met een muisklik opnieuw bestellen"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximale aantal voor verzenden naar verschillende adressen is %s"
"Move to Wishlist","Verplaats naar verlanglijst"
"My Cart","Mijn winkelwagen"
"My Cart (%s item)","Mijn winkelwagen (%s artikel)"
"My Cart (%s items)","Mijn winkelwagen (%s artikelen)"
"My Cart Link","Link naar mijn winkelwagen"
"New Condition","Nieuwe voorwaarde"
"Order #","Bestelnummer"
"Order Review","Controleer uw bestelling"
"Order Success","Bestelling succes"
"Other items in your order","Andere artikelen van uw bestelling"
"Password","Kies een wachtwoord"
"Payment Failed Email Reciever","Ontvanger E-mail over mislukte betaling"
"Payment Failed Email Sender","Afzender E-mail over mislukte betaling"
"Payment Failed Emails","E-mails over mislukte betaling"
"Payment Failed Template","Template mislukte betaling"
"Payment Information","Betalingsgegevens"
"Payment Method","Betaalwijze"
"Payment method is not defined","Betaalwijze is niet gedefinieerd"
"Place Order","Plaats bestelling"
"Please <a href=""%s"">continue shopping</a>.","Ga gerust <a href=""%s""> door met winkelen</a>."
"Please agree to all Terms and Conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst a.u.b."
"Please agree to all Terms and Conditions before placing the orders.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst a.u.b."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Voer een geldige postcode in a.u.b. Bijvoorbeeld: 2900 of 6621BK"
"Please log in below:","U kunt hieronder inloggen met uw e-mail adres en wachtwoord."
"Please select region, state or province","Selecteer een gebied, staat of provincie a.u.b."
"Please select shipping address for applicable items","Selecteer een afleveradres voor de betreffende artikelen a.u.b."
"Please select shipping methods for all addresses","Selecteer verzendwijzen voor alle adressen a.u.b."
"Proceed to Checkout","Ga door naar afrekenen"
"Product","Product"
"Product does not exist","Product bestaat niet"
"Qty","Stuks"
"Quote Lifetime (days)","Geldigheid offerte (dagen)"
"Recently added item(s)","Recent toegevoegd"
"Register","Bewaar mijn gegevens voor een volgende keer"
"Register and save time!","Voordelen van een account"
"Register to Create an Account","Registreer om een account aan te maken"
"Register with us for future convenience:","Bewaar uw gegevens. Dat werkt sneller en makkelijker."
"Remove","Verwijderen"
"Remove Item","Artikel verwijderen"
"Remove Product","Verwijder product"
"Remove item","Artikel verwijderen"
"Review Order","Bestelling bekijken"
"Review Order - %s","Bestelling  %s bekijken"
"Sales","Sales"
"Save Condition","Voorwaarde opslaan"
"Select Address","Adres selecteren"
"Select Addresses","Adres selecteren"
"Select Shipping Method","Verzendwijze selecteren"
"Select State/Province...","Provincie selecteren"
"Select a billing address from your address book or enter a new address.","Selecteer een factuuradres uit uw adresboek of voer een nieuw adres in."
"Select a shipping address from your address book or enter a new address.","Selecteer een afleveradres uit uw adresboek of voer een nieuw adres in."
"Send Payment Failed Email Copy Method","CC-methode van E-mail over mislukte betaling"
"Send Payment Failed Email Copy To","Van een E-mail over mislukte betaling een CC sturen aan"
"Send to","Verzend naar"
"Ship to Multiple Addresses","Naar verschillende adressen verzenden"
"Ship to different address","Naar ander adres verzenden"
"Ship to this address","Naar dit adres verzenden"
"Shipping Address","Afleveradres"
"Shipping Information","Verzendgegevens"
"Shipping Method","Verzendwijze"
"Shipping Methods","Verzendwijzen"
"Shipping method has not been selected yet","Verzendwijze is nog niet geselecteerd"
"Shipping selection is not applicable","Verzend-selectie is niet van toepassing"
"Shipping to","Verzenden naar"
"Shopping Cart","Winkelwagen"
"Shopping Cart Sidebar","Zijbalk winkelwagen"
"Shopping Cart is Empty","Uw winkelwagen is leeg"
"Show Content as","Inhoud tonen als"
"Some of the products you requested are not available in the desired quantity","Sommige producten die u hebt gekozen, zijn niet voorradig  in deze aantallen"
"Some of the products you requested are unavailable","Sommige producten die u hebt gekozen, zijn niet voorradig"
"Sorry, Onepage Checkout is disabled.","Sorry, afrekenen op één is uitgeschakeld."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, u kunt niet afrekenen zonder een account aan te maken. Neemt u gerust contact met ons op."
"Sorry, no quotes are available for this order at this time.","Sorry, er zijn momenteel geen offertes beschikbaar voor deze bestelling"
"State/Province","Provincie"
"Store View","Winkelzicht"
"Street Address","Adres"
"Street Address","Adres 2"
"Submitting order information...","Bezig met verzenden van bestelgegevens"
"Subtotal","Subtotaal"
"Telephone","Telefoon"
"Terms and Conditions","Algemene Voorwaarden"
"Terms and Conditions Information","Informatie over Algemene Voorwaarden"
"Terms and conditions","Algemene Voorwaarden"
"Text","Tekst"
"Thank you for your purchase!","Bedankt voor je aankoop!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Er zijn <a href=""%s""><strong>%s artikelen</strong></a> in uw winkelwagen."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Er is <a href=""%s""><strong>1 artikel</strong></a> in uw winkelwagen."
"There is already a customer registered using this email address","Er is al een klant geregistreerd met dit e-mailadres"
"There was an error processing your order. Please contact us or try again later.","Er is een fout opgetreden bij de verwerking van uw bestelling. Neem contact met ons op of probeer het later nog eens"
"This condition no longer exists","Deze voorwaarde bestaat niet meer"
"Total","Totaal"
"Total for this address","Totaal voor dit adres"
"Unit Price","Prijs per stuk"
"Update Qty & Addresses","Aantallen en adressen bijwerken"
"Update Shopping Cart","Winkelwagen bijwerken"
"Update Total","Totaal bijwerken"
"Use Billing Address","Factuuradres gebruiken"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","We zijn bezig met het verwerken van uw bestelling. U ontvangt binnenkort een e-mail  met de details van uw bestelling. Wanneer de bestelling verzonden is, ontvangt u nog een e-mail met een link om het pakket te volgen."
"You will receive an order confirmation email with details of your order and a link to track its progress.","U ontvangt een e-mail ter bevestiging van uw bestelling met de details van uw bestelling en een link om de voortgang te kunnen volgen."
"Your Checkout Progress","Voortgang  bestelling"
"Your order # is: %s","Uw bestelnummer is: %s"
"Your order # is: <a href=""%s"">%s</a>","Uw bestelnummer is: <a href=""%s"">%s</a>"
"Your order has been received","Uw bestelling is ontvangen"
"Your order number is","Uw bestelnummer is"
"Zip/Postal Code","Postcode"
"osCommerce Orders","osCommerce orders"
"separate by "",""","scheiden met ",""
"Your order # is: %s.","Uw ordernummer is: %s."
"Your order number is ","Uw ordernummer is"
"# of Use","# van gebruik"
"%1$s incl tax.","%1$s incl.BTW"
"%s - %s","%s - %s"
"%s Item(s)","%s artikel(en)"
"(Copy data from: %s)","(Data kopië ren van: %s)"
"(Will make search for the query above return results for this search.)","(Zal zoeken voor de zoekopdracht hierboven, geef resultaten terug voor deze zoekopdracht.)"
"* Required Fields","* Verplichte velden"
"-- Please Select --","-- Selecteer a.u.b. --"
"A name is required","Een naam is verplicht"
"ALL GROUPS","ALLE GROEPEN"
"Action","Actie"
"Add Attribute","Attribuut toevoegen"
"Add Design Change","Design-wijziging toevoegen"
"Add Group","Groep toevoegen"
"Add Items to Cart","Artikelen toevoegen aan winkelwagen"
"Add New","Toevoegen nieuwe"
"Add New Attribute","Nieuw attribuut toevoegen"
"Add New Attribute Set","Nieuwe attributenset toevoegen"
"Add New Group","Nieuwe groep toevoegen"
"Add New Images","Nieuwe afbeeldingen toevoegen"
"Add New Option","Nieuwe optie toevoegen"
"Add New Row","Nieuwe rij toevoegen"
"Add New Search Term","Nieuwe zoekterm toevoegen"
"Add New Set","Nieuwe set toevoegen"
"Add Option","Optie toevoegen"
"Add Product","Product toevoegen"
"Add Product To Websites","Product aan websites toevoegen"
"Add Root Category","Root-categorie toevoegen"
"Add Subcategory","Subcategorie toevoegen"
"Add Tax","BTW toevoegen"
"Add Tier","Staffel toevoegen"
"Add to Compare","Toon in vergelijking"
"Add to My Wishlist","Zet op verlanglijst"
"Add to Wishlist","Zet op verlanglijst"
"Additional Information","Extra informatie"
"All Product Types","Alle productsoorten"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Alle producten van deze set worden verwijderd! Weet u zeker dat u deze attributenset wil verwijderen?"
"Allow HTML-tags on Front-end","HTML-tags toestaan in front-end"
"Apply To","Toepassen op"
"Apply To Configurable/Grouped Product","Toepassen op configureerbaar/gegroepeerd product"
"Approved","Goedgekeurd"
"Are you sure you want to delete this category?","Weet u zeker dat u deze categorie wilt verwijderen?"
"Are you sure you would like to remove all products from your comparison?","Weet u zeker dat u alle producten uit uw vergelijking wilt verwijderen?"
"Are you sure you would like to remove this item from the compare products?","Weet u zeker dat u dit artikel wilt verwijderen van vergelijklijst?"
"Are you sure?","Weet u het zeker?"
"As low as:","Slechts"
"Assign","Toewijzen"
"Assign product link","Productlink toewijzen"
"Assign product to category","Product aan categorie toewijzen"
"Assigned Products","Toegewezen producten"
"Associated Products","Gerelateerde producten"
"Attrib. Set Name","Attributenset"
"Attribute Code","Attribuutcode"
"Attribute Information","Attribuutgegevens"
"Attribute Label","Attribuutomschrijving"
"Attribute Model","Attribuutmodel"
"Attribute Name:","Attribuutnaam:"
"Attribute Properties","Attribuut-eigenschappen"
"Attribute Set","Attributenset"
"Attribute group with the ""/name/"" name already exists","Attributengroep met de naam \name/""bestaat al"
"Attribute model not defined","Attribuutmodel is niet gedefinieerd"
"Attribute with the same code already exists","Attribuut met dezelfde code bestaat al"
"Attributes","Attributen"
"Attrribute names can be specified per store.","Attribuutnamen kunnen per winkel opgegeven worden."
"Autogenerate","Automatisch genereren"
"Availability","Beschikbaarheid"
"Availability: In stock.","Beschikbaarheid:  In voorraad"
"Availability: Out of stock.","Beschikbaarheid:  Niet in voorraad."
"Backend Model","Backend-model"
"Backend Table","Backend-tabel"
"Backend Table Title","Titel backend-tabel"
"Backorders","Backorders"
"Base directory to upload image file is not specified","Basis-map om afbeelding te uploaden is niet opgegeven"
"Based On","Gebaseerd op"
"Best Value","Beste waarde"
"Block after Info Column","Blok na info-kolom"
"Bottom/Left","Onder/links"
"Bottom/Right","Onder/rechts"
"Browse By","Blader door"
"Buy %1$s for %2$s","Bestel %1 voor %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Koop %1$s voor %2$s (%3$s incl. BTW) per stuk."
"Buy %1$s for %2$s each","Koop %1$s voor %2$s per stuk."
"Can be used only with catalog input type Dropdown","Kan alleen gebruikt worden met invoerveld van type Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan alleen gebruikt worden met invoervelden van typen Dropdown, Multiple select en Prijs"
"Can't create image.","Kan geen afbeelding maken"
"Cart Item Attribute","Attribuut winkelwagen-artikel"
"Catalog","Catalogus"
"Catalog Input Type for Store Owner","Catalogus invoertype voor winkeleigenaar"
"Catalog Price Scope","Scope catalogusprijs"
"Catalog Section","Sectie Catalogus"
"Catalog, Search","Catalogus, zoeken"
"Categories","Categorieë n"
"Categories Sitemap","Sitemap categorieë n"
"Category","Categorie"
"Category API","Categorie API"
"Category Data","Categoriegegevens"
"Category Navigation:","Categorie navigatie:"
"Category Products","Categorie producten"
"Category Top Navigation","Categorie topnavigatie"
"Category URL Suffix","Categorie URL toevoeging"
"Category attributes API","API categorie-attributen"
"Category delete error","Categorie verwijderfout"
"Category deleted","Categorie verwijderd"
"Category move error","Categorie verplaatsfout"
"Category must be instance of Mage_Catalog_Model_Category","Categorie moet een instance zijn van Mage_Catalog_Model_Category"
"Category saved","Categorie opgeslagen"
"Change","Wijzigen"
"Change or Retrieve attribute store view","Attribuut winkelzicht wijzigen of ophalen"
"Change status","Status wijzigen"
"Check items to add to the cart or","Aanvinken bij dit product te bestellen of"
"Choose an Option...","Kies een optie..."
"Choose option...","Kies optie..."
"Clear All","Alles wissen"
"Clear All Items","Verfijning wissen"
"Close Window","Sluit venster"
"Collapse All","Alles inklappen"
"Comparable","Vergelijkbaar"
"Comparable on Front-end","Vergelijkbaar in front-end"
"Compare Items","Artikelen vergelijken"
"Compare Products","Producten vergelijken"
"Compare Products (%d)","Producten vergelijken (%d)"
"Compare Products - %d Items","Vergelijk producten - %d items"
"Compare Products List","Productenlijst vergelijken"
"Compare list successfully cleared","Vergelijklijst met succes geleegd"
"Conditions Combination","Voorwaarden combinatie"
"Configurable Product","Configureerbaar product"
"Configurable Product Settings","Instellingen configureerbaar product"
"Continue","Ga verder"
"Copy From Configurable","Kopië ren van configureerbare"
"Country/State","Land/Provincie"
"Create","Aanmaken"
"Create (Upload)","Aanmaken (Upload)"
"Create Empty","Aanmaken lege"
"Create Product Settings","Productinstellingen aanmaken"
"Create Simple Associated Product","Verbonden eenvoudige product aanmaken"
"Create new category","Nieuwe categorie aanmaken"
"Create new product","Nieuw product aanmaken"
"Cross-sells","Cross-selling"
"Custom Design","Eigen ontwerp"
"Custom Options","Eigen opties"
"Customer Group","Klantengroep"
"Customers Reviews","Klanten-reviews"
"Customers Tagged Product","Tags van klanten"
"Customers for alert %s was successfuly added to queue","Klanten voor mededeling %s zijn met succes aan rij toegevoegd"
"Data Type for Saving in Database","Datatype voor opslaan in database"
"Date","Datum"
"Date Subscribed","Datum inschrijving"
"Datetime","Datetime"
"Decimal","Decimaal"
"Decimal Number","Decimaal nummer"
"Declare attribute value saving scope","Attribuaatwaarde opgeven voor opslaan van scope"
"Default Qty","Standaard-aantal"
"Default Values","Standaardwaarden"
"Default price","Standaard-prijs"
"Default value","Standaard-waarde"
"Delete","Verwijder"
"Delete Attribute","Attribuut verwijderen"
"Delete Attribute Set","Attributenset verwijderen"
"Delete Category","Categorie verwijderen"
"Delete Option","Optie verwijderen"
"Delete Row","Rij verwijderen"
"Delete Search","Zoekactie verwijderen"
"Delete Selected Group","Geselecteerde groep verwijderen"
"Delete category","Categorie verwijderen"
"Delete product","Product verwijderen"
"Design","Ontwerp"
"Disabled","Uitgeschakeld"
"Display in Suggested Terms","In voorgestelde termen tonen"
"Double click on a group to rename it","Dubbelklik op een groep om te hernoemen"
"Double click on above image to view full picture","Dubbelklik op de afbeelding voor groot formaat"
"Downloadable Product","Download-product"
"Dropdown","Dropdown"
"Duplicate","Dupliceren"
"Duplicate website tier price customer group and quantity.","Dubbele staffel op website voor klantengroep en aantal"
"Duplicate website, country and state tax found.","Dubbele website, land en BTW gevonden"
"Edit Attribute Set '%s'","Attributenset '%s' wijzigen"
"Edit Product Attribute","Productattribuut wijzigen"
"Edit Product Attribute ""%s""","Productattribuut  ""%s"" wijzigen"
"Edit Search","Zoekactie wijzigen"
"Edit Search '%s'","Zoekactie '%s' wijzigen"
"Email","E-mail"
"Email to a Friend","E-mail naar een vriend"
"Empty","Leeg"
"Enabled","Ingeschakeld"
"Error during retrieval of option value: %s","Fout tijdens opvragen van optiewaarde: %s-"
"Error while adding customers for %s alert. Message: %s","Fout tijdens toevoegen van klanten voor %s melding. Bericht: %s"
"Error while saving this group. Group with the same name already exists.","Fout tijdens opslaan van deze groep. Er bestaat al een groep met deze naam."
"Error while saving this group. Please try again later.","Fout tijdens opslaan van deze groep. Probeer later nog eens a.u.b."
"Exclude","Sluit uit"
"Expand All","Alles uitklappen"
"Failed","Mislukt"
"Failed to move file: %s","Verplaatsen van bestand %s is mislukt"
"Feature Products","Kenmerk producten"
"File Extension","Bestand extensie"
"Filter model name must be declared","Naam van filtermodel moet worden opgegeven"
"Filter must be as object. Set correct filter please","Filter moet een object zijn. Stel het goede filter in a.u.b."
"Filterable (no results)","Filterbaar (geen resultaten)"
"Filterable (with results)","Filterbaar (met resultaten)"
"Filters must be as array","Filters moet als array zijn"
"First Name","Voornaam"
"Fixed","Vast"
"For internal use. Must be unique with no spaces","Voor intern gebruik. Moet uniek zijn, zonder spaties"
"For reindex enabled product(s) you need specify store or product","Om de producten te her-indexeren moet u een winkel of product specificeren."
"Frontend","Front-end"
"Frontend Model","Front-end model"
"Frontend Properties","Eigenschappen front-end"
"Gallery","Galerij"
"General Information","Algemene Informatie"
"Get special price","Haal aanbiedingsprijs op"
"Global","Systeem"
"Globally Editable","Systeembreed bewerkbaar"
"Go to Home Page","Ga naar Home"
"Grid","Foto-tabel"
"Grouped Product","Gegroepeerd product"
"Groups","Groepen"
"Home","Home"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a store then the default value will be used.","Als u geen geen optiewaarde voor een winkel opgeeft, zal de standaardwaarde gebruikt worden"
"Image","Afbeelding"
"Image Size","Afbeeldingsgrootte"
"Image content is not valid base64 data.","Afbeeldingsinhoud bevat geen geldige base64 gegevens"
"Image file not found","Afbeelding-bestand niet gevonden"
"Image not exists","Afbeelding bestaat niet"
"Image not specified.","Afbeelding niet gespecificeerd."
"Image type and information need to be specified for each store view.","Afbeeldings-type en -gegevens moeten voor elk winkelzicht apart worden opgegeven."
"In Stock","In voorraad"
"In stock","In voorraad"
"In stock.","In voorraad"
"Input Type","Type invoerveld"
"Input Validation for Store Owner","Invoer-validatie voor winkeleigenaar"
"Integer","Integer"
"Integer Number","Integer getal"
"Invalid Tier Prices","Ongeldige staffelprijzen"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Ongeldige attribuut-optie opgegeven voor attribuut %s (%s), record wordt overgeslagen"
"Invalid attribute set specified, skipping the record","Ongeldige attributenset opgegeven, record wordt overgeslagen"
"Invalid block: %s","Ongeldig blok: %s"
"Invalid category","Ongeldige categorie"
"Invalid category IDs","Ongeldig categorie-ID"
"Invalid image file type","Ongeldig type afbeeldingsbestand"
"Invalid image type.","Ongeldig afbeeldingstype"
"Invalid option id specified for %s (%s), skipping the record","Ongeldig optie-ID opgegeven voor %s (%s), record wordt overgeslagen"
"Invalid product type specified, skipping the record","Ongeldig producttype opgegeven, record wordt overgeslagen"
"Invalid store specified","Ongeldige winkel opgegeven"
"Invalid store specified, skipping the record","Ongeldige winkel opgegeven, record wordt overgeslagen"
"Inventory","Voorraad"
"Is Default","Is standaard"
"Is Required","Is verplicht"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artikelen die u niet wilt tonen in de catalogus of zoekresultaten, geeft u de status 'Uitgeschakeld' in de betreffende winkel"
"Label","Label (Alt-tag)"
"Last Name","Achternaam"
"Last Notification","Laatste melding"
"Learn More","Meer info"
"Length of text is too long","De tekst is te lang"
"Letters","Letters"
"Letters(a-zA-Z) or Numbers(0-9)","Letters (a-z A-z) of getallen (0-9)"
"Line %d, Email: %s","Regel %d, E-mail: %s"
"Line %d, SKU: %s","Regel %d, artikelnr: %s"
"Link (Related, Up sell, Cross sell)","Link (Verwant, Up-selling, Cross-selling)"
"Link product not exists.","Link-product bestaat niet."
"List","Lijst"
"List Mode","Lijstweergave"
"Manage Attribute Sets","Beheer attributensets"
"Manage Attributes","Beheer attributen"
"Manage Catalog Categories","Beheer catalogus-categorieë n"
"Manage Categories","Beheer categorieë n"
"Manage Label / Options","Beheer label / opties"
"Manage Options (values of your attribute)","Beheer opties (waarden van uw attribuut)"
"Manage Product Attributes","Beheer productattributen"
"Manage Product Sets","Beheer productensets"
"Manage Products","Beheer producten"
"Manage Stock","Voorraad beheren"
"Manage Titles (Size, Color, etc.)","Beheer titels (grootte, kleur, etc)"
"Max Characters","Max tekens"
"Maximal Depth","Maximale diepte"
"Maximum Qty Allowed in Shopping Cart","Maximaal aantal in winkelwagen"
"Maximum number of characters","Maximaal aantal tekens"
"Media Image","Media-afbeelding"
"Minimum Qty Allowed in Shopping Cart","Minimaal aantal  in winkelwagen"
"Minimum Qty for Item's Status to be Out of Stock","Grens-aantal voor status ""Niet in voorraad"""
"Missing SKU, skipping the record","Artikelnummer ontbreekt, record wordt overgeslagen"
"More Views","Meer afbeeldingen"
"Move","Verplaatsen"
"Move category in tree","Categorie verplaatsen in menu"
"Multiple Select","Meervoudige selectie"
"Name","Naam"
"Name In %s","Naam in %s"
"Name<br/>(For internal use)","Naam:<br />(voor intern gebruik)"
"New Category","Nieuwe categorie"
"New Product","Nieuw product"
"New Product Attribute","Nieuw product-attribuut"
"New Products","Nieuwe producten"
"New Search","Nieuwe zoekactie"
"New Set Name","Nieuwe set-naam"
"Next","Volgende"
"No","Nee"
"No image","Geen afbeelding"
"No layout updates","Geen layout-updates"
"No options of this product are available.","Er zijn geen opties voor dit product beschikbaar"
"No product collections found","Geen productverzamelingen gevonden"
"None","Geen"
"Not shared with other products","Niet gedeeld met andere producten"
"Notify Low Stock RSS","RSS voor melding weinig voorraad"
"Notify for Quantity Below","Melden bij aantal lager dan"
"Nowhere","Nergens"
"Number of Uses","Aantal keer gebruikt"
"Number of results<br/>(For last time placed)","Aantal resultaten<br />(voor de laatste keer geplaatst)"
"OR","OF"
"Old Price:","Oude prijs:"
"Option:","Optie:"
"Options Control","Beheer opties"
"Options is required","Opties is verplicht"
"Out of Stock","Niet in voorraad"
"Out of stock","Niet in voorraad"
"Out of stock.","Niet in voorraad."
"Page Title Separator","Scheidingsteken paginatitel"
"Page:","Pagina:"
"Parent Category","Hogere categorie"
"Pending","Wachtende"
"Pending Reviews RSS","RSS van wachtende reviews"
"Percentage","Percentage"
"Please add rows to option.","Voeg rijen aan optie toe a.u.b."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Voorzichtig! Zodra u op een rij klikt, worden de pakketgegevens van het geselecteerde bestand geladen en gaan alle formuliergegevens die niet zijn opgeslagen, verloren!"
"Please click on Close Window button if it won't be closed automatically","Klik op  ""Venster sluiten"" als dit niet automatisch gebeurt."
"Please enter a new group name","Geef een nieuwe groepnaam op a.u.b."
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Ververs de ""Catalogus Rewrites"" en de ""Indexen van gelaagde navigatie"" a.u.b. in Systeem -> <a href=""%s"">Cache Management</a>"
"Please select  items","Selecteer artikelen a.u.b."
"Please select one or more attributes.","Selecteer een of meer attributen a.u.b."
"Please select product(s)","Selecteer producten a.u.b."
"Please select products for attributes update","Selecteer producten voor attributen-update a.u.b."
"Please select static block ...","Selecteer statisch blok a.u.b..."
"Please specify the product option(s)","Specificeer de productoptie(s) a.u.b."
"Please specify the product required option(s)","Specificeer de verplichte productoptie(s) a.u.b."
"Please specify the product(s) quantity","Specificeer het aantal producten a.u.b."
"Position","Populariteit"
"Position In Layered Navigation","Positie in gelaagde navigatie"
"Position of attribute in layered navigation block","Positie van attribuut in gelaagde-navigatieblok"
"Prev","Vorige"
"Previous","Vorige"
"Price Type","Prijstype"
"Price values for options should be specified in system base currency.","Prijzen voor opties moeten worden opgegeven in de basis-valuta"
"Price:","Prijs:"
"Print This Page","Print deze pagina"
"Problem saving the collection, aborting. Error: %s","Probleem bij opslaan van verzameling. Magento sluit af. Fout: %s"
"Product","Product"
"Product %s successfully added to compare list","Product %s met succes toegevoegd aan vergelijkingslijst"
"Product %s successfully removed from compare list","Product %s met succes verwijderd van vergelijkingslijst"
"Product API","Product-API"
"Product Alerts","Product-waarschuwingen"
"Product Attribute","Product-attribuut"
"Product Attributes","Productattributen"
"Product Categories","Productcategorieë n"
"Product Description","Productbeschrijving"
"Product Image Placeholders","Plaats van productafbeelding"
"Product Image Watermarks","Watermerken voor productenafbeelding"
"Product Images","Productafbeeldingen"
"Product Images API","Productafbeeldingen API"
"Product In Websites","Product in websites"
"Product Info Column","Kolom productgegevens"
"Product Information","Productgegevens"
"Product Reviews","Product-reviews"
"Product Tags","Eigen tags"
"Product Tier Price API","Product Staffelprijs API"
"Product Type","Producttype"
"Product URL Suffix","Achtervoegsel product-URL"
"Product attribute sets API","Productattrubuten-sets API"
"Product attribute was successfully deleted","Productattribuut is met succes verwijderd"
"Product attribute was successfully saved","Productattribuut is met succes opgeslagen"
"Product attributes API","Productattributen API"
