"Design now!","¡Personalízala ya!"
"Grouped Product","Producto agrupado"
"Product deleted","Producto borrado"
"Product with this combination of attributes already associated to configurable.","Producto con esta combinación de atributos ya asociado a configurable."
"Configurable Product","Producto configurable"
"Product duplicated","Producto duplicado"
"Customers Tagged Product","Producto etiquetado por los clientes"
"Simple Product","Producto simple"
"Virtual Product","Producto virtual"
"Products","Productos"
"products","Productos"
"Associated Products","Productos asociados"
"Category Products","Productos de la categoría"
"Feature Products","Productos destacados"
"Product In Websites","Productos en los Sitios Web"
"Products per Page on List allowed values","Productos por página en formato lista"
"Products per page on Grid allowed values","Productos por página en formato parrilla"
"Related Products","Productos relacionados"
"Properties","Propiedades"
"Attribute Properties","Propiedades del atributo"
"Frontend Properties","Propiedades del Frontend"
"System Properties","Propiedades del sistema"
"px.","px."
"Remove","Quitar"
"Remove This Item","Quitar este artículo"
"Remove Product","Quitar producto"
"Root","Raiz"
"Year Range","Rango de año"
"Retrieve categories tree","Recupera el arbol de categorías"
"Retrieve product","Recupera el producto"
"Retrieve product image types","Recupera la imagen de los tipos de producto"
"Retrieve product image","Recupera la imagen del producto"
"Retrieve list of assigned products","Recupera la lista de los productos"
"Retrieve product image list","Recupera las imagenes del producto"
"Retrieve category attributes","Recupera los atributos de la categoría"
"Retrieve category data","Recupera los datos de la categoría"
"Retrieve linked products","Recupera los productos relacionados"
"Retrieve attribute data","Recuperar datos de los atributos"
"Retrieve attribute list","Recuperar la lista de los atributos"
"Retrieve products list by filters","Recuperar la lista de productos"
"Retrieve attribute options","Recuperar las opciones  del atributo"
"Retrieve product link type attributes","Recuperar los atributos del producto"
"Retrieve product attribute sets","Recuperar los conjuntos de atributos de los productos"
"Retrieve product tier prices","Recuperar los precios de productos"
"Retrieve products data","Recuperar los productos"
"Retrieve product types","Recuperar los tipos de producto"
"Retrieve one level of categories by website/store view/parent category","Recuperar un nivel de categoria de website/store view/parent"
"Retrieve product link types","Recuperar vínculo del producto"
"Redirect","Redireccionar"
"Records for ""","Registros por """
"Reset","Reiniciar"
"Required","Requerido"
"Results","Resultados"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Learn More","Saber más"
"Yes","Sí"
"Product collection expected","Se esperaba una colección de producto"
"Compare list successfully cleared","Se ha borrado con éxito la lista de comparación"
"There was an error while cleared compare list","Se ha producido un error al comparar la lista"
"There was an error while updating product(s) status","Se ha producido un error durante la actualización"
"Product saving error. ","Se ha producido un error en el momento de guardar."
"There was an error while updating product(s) attributes","Se produjo un error mientras se actualizaban los atributos de producto(s)"
"Is Required","Se requiere"
"A name is required","Se requiere un nombre"
"Multiple Select","Selección múltiple"
"Select Configurable Attributes ","Seleccionar atributos configurables "
"select all","seleccionar todo"
"Select type of option","Seleccione el tipo de opción"
"Select type options required values rows.","Seleccione las opciones necesarias en las filas."
"Choose option...","Seleccione opción..."
"Choose an Option...","Seleccione una opción..."
"comma separated","Separado por comas"
"Page Title Separator","Separador del título de la página"
"Short Description","Short Description"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si no especifica una opción para la vista de la tienda por defecto (Administardor) usará la vista global."
"Yes/No","Si/No"
"Next","Siguiente"
"No layout updates","Sin actualizaciones de layout"
"Synonym for","Sinónimo para"
"Synonym For","Sinónimo Para"
"System","Sistema"
"Website","Sitio web"
"Websites","Sitios web"
"Products only","Solo productos"
"Can be used only with catalog input type Dropdown","Solo puede usarse con un tipo de dato de menú desplegable en el catálogo"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Solo puede usarse con un tipo de dato de menú desplegable en el catálogo, selección múltiple y precio"
"Upload new product image ","Subir nueva imagen del producto"
"Product URL Suffix","Sufijo en la URL de los productos"
"Subscribe to RSS Feed","Suscribirse al feed RSS"
"Subscribe to Feed","Suscribirse al feed RSS"
"Backend Table","Tabla de backend"
"Maximum Image Size","Tamaño máximo de la imagen"
"Watermark Default Size","Tamaño por defecto de la marca de agua"
"You may also be interested in the following product(s)","También pueden interesarle los siguientes productos"
"We Also Recommend","También recomendamos"
"As low as:","Tan bajo como:"
"Tile","Título"
"Title","Título"
"Backend Table Title","Título de la tabla de backend"
"Text","Texto"
"Length of text is too long","Texto demasiado largo"
"Store","Tienda"
"Type","Tipo"
"Input Type","Tipo de entrada"
"Catalog Input Type for Store Owner","Tipo de entrada del catálogo para el dueño de la tienda"
"Price Type","Tipo de precio"
"Product Type","Tipo de producto"
"Data Type for Saving in Database","Tipos de datos para grabar en la base de datos"
"Selected Product Types","Tipos de productos seleccionados"
"All","Todo"
"ALL GROUPS","TODOS LOS GRUPOS"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos los productos seran eliminados. ¿Esta seguro que quiere eliminar-los?"
"All Product Types","Todos los tipos de productos"
"Total incl. Tax: %1$s","Total incl. Impuestos: %1$s"
"Total Qty Base Items","Total Qty Base Items"
"Last Notification","Ultima notificación"
"Total of %d record(s) were successfully updated","Un total de %d registro(s) fueron actualizados con éxito"
"Total of %d record(s) were successfully deleted","Un total de %d registro(s) fueron borrados con éxito"
"Url","URL"
"Redirect URL","URL de redireccionamiento"
"Use Default Value","Usar el valor por defecto"
"Use in advanced search","Usar en búsqueda avanzada"
"Use in quick search","Usar en búsqueda rápida"
"Use In Layered Navigation","Usar en la navegación por capas"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Usar en la navegacion por capas<br/>(Puede ser usado solo con el tipo de entrada del catálogo de menú 'Desplegable')"
"Use Config Settings","Usar las configuraciones de Config"
"Use To Create Configurable Product","Usar para crear un Producto configurable"
"Use categories path for product URLs","Usar rutas de categorías para la URL de los productos"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use Tree Like Category Sitemap","Utilizar árbol de categorias en el mapa web"
"Use JavaScript Calendar","Utilizar JavaScript Calendar"
"Empty","Vacío"
"Input Validation for Store Owner","Validacion de entrada para el propietario de la tienda"
"Unique Value","Valor único"
"Unique Value (not shared with other products)","Valor único (no compartido con otros productos)"
"Default value","Valor por defecto"
"Products per Page on Grid default value","Valor por defecto de productos por página en vista de cuadrícula"
"Products per Page on List default value","Valor por defecto de productos por página en vista de lista"
"Default Values","Valores por defecto"
"Values Required","Valores requeridos"
"Varchar","Varchar"
"Cross-sells","Ventas cruzadas"
"Up-sells","Ventas sugeridas"
"View as","Ver como"
"Visibility","Visibilidad"
"Visible","Visible"
"Visible on Catalog Pages on Front-end","Visible en las páginas del catálogo en el Front-end"
"Store View","Vista de tienda"
"Back","Volver atrás"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"x","x"
"and","y"
"and above","y arriba"
"Attribute with the same code already exists","Ya existe un atributo con el mismo código"
"[GLOBAL]","[GLOBAL]"
"%s was successfully added to your shopping cart.","%s fue agregado con éxito al carrito de compras."
"« Back to Billing Information","« Volver a la Información de la facturación"
"« Back to Shopping Cart","« Volver al Carrito de Compras"
"« Back to Select Addresses","« Volver para selecconar direcciones"
"Add New Condition","Añadir nueva  condición"
"Login","Acceder"
"Enabled","Activar"
"Enable Terms and Conditions","Activar Términos y condiciones"
"Update Shopping Cart","Actualizar el carrito de compras"
"Update Total","Actualizar el total"
"Update Qty & Addresses","Actualizar la cantidad & Direcciones"
"Add to Wishlist","Agregar a la lista de artículos de interés"
"Add to Compare","Agregar a la lista de comparación"
"Add New Address","Agregar nuevas direcciones"
"Some of the products you requested are unavailable","Algunos de los artículos solicitados no están disponibles"
"Some of the products you requested are not available in the desired quantity","Algunos de los artículos solicitados no están disponibles en la cantidad deseada"
"Content Height","Alto contenido"
"Content Height (css)","Alto contenido (css)"
"Apply Coupon","Aplicar un cupón"
"Recently added item(s)","Artículo(s) añadidos recientemente"
"Items","Artículos"
"Street Address","Calle"
"Change Billing Address","Cambiar la dirección de facturación"
"Change","Cambio"
"Cancel Coupon","Cancelar cupón"
"Qty","Cantidad"
"Loading next step...","Cargando el siguiente paso..."
"Shopping Cart","Carrito de compras"
"Shopping Cart Sidebar","Carro de la  compra en la barra lateral"
"Zip/Postal Code","Código postal"
"Discount Codes","Códigos de descuento"
"Close","Cerrar"
"City","Ciudad"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">aquí para imprimir</a> una copia del  pedido."
"Company","Compañia"
"Fast and easy check out","Compra rápida y fácil"
"Checkout with Multiple Addresses","Comprar con múltiples direcciones"
"Confirm Password","Confirmar la contraseña"
"Content","Contenido"
"Continue","Continuar"
"Continue to Shipping Information","Continuar a la información de envío"
"Continue to Review Your Order","Continuar a la verificación de su pedido"
"Continue Shopping","Seguir comprando"
"Continue to Billing Information","Continuar hacia la información de facturación"
"Password","Contraseña"
"Send Payment Failed Email Copy To","Copia de correo a, de error de pago"
"Send Payment Failed Email Copy Method","Copia de correo de error de pago"
"Payment Failed Email Sender","Correo envio de error de pago"
"Payment Failed Email Reciever","Correo Remitent de error de pago"
"Payment Failed Emails","Correos de error de pago"
"Create Shipping Address","Crear una dirección de envío"
"Create Billing Address","Crear una dirección de facturación"
"Disabled","Desactivar"
"Disable Onepage Checkout","Desactivar ""Onepage Checkout"""
"After adding a product redirect to shopping cart","Después de agregar un producto, regresar al carrito de compras"
"Details","Detalles"
"Address","Dirección"
"Street Address ","Dirección"
"Address %s of %s","Dirección %s de %s"
"Email Address","Dirección de correo electrónico"
"Billing Address","Dirección de facturación"
"Shipping Address","Dirección de envío"
"Sorry, no quotes are available for this order at this time.","Disculpe, no hay presupuestos disponibles para este Pedido en este momento."
"Edit Address","Editar la dirección"
"Edit Shipping Address","Editar la dirección de envío"
"Edit Billing Address","Editar la información de facturación"
"Edit Items","Editar los artículos"
"Edit Your Cart","Editar su carrito"
"Edit Terms and Conditions","Editar términos y condiciones"
"Shopping Cart is Empty","El carrito de compras esta vacío"
"Coupon code ""%s"" is not valid.","El código de descuento ""%s"" no es válido."
"Coupon code ""%s"" was applied.","El código de descuento ""%s"" ha sido aplicado."
"Coupon code was canceled.","El código de descuento se ha cancelado."
"Invalid email address ""%s""","El correo ""%s"" no es correcto"
"Shipping method has not been selected yet","El método de envío no ha sido seleccionado todavía"
"Payment method is not defined","El método de pago no está definido"
"Your order number is ","El número de pedido es"
"Product does not exist","El producto no exixte"
"Maximum display Recently added item(s)","Elementos máximos en añadidos recientemente"
"Delete Condition","Eliminar condición"
"Remove item","Eliminar elemento"
"Default Shipping","Envío por defecto"
"Submitting order information...","Enviando la información del Pedido…"
"Shipping to","Enviar a "
"Send to","Enviar a"
"Ship to Multiple Addresses","Enviar a direcciones múltiples"
"Ship to this address","Enviar a esta dirección"
"Ship to different address","Enviar a una dirección diferente"
"Load customer quote error","Error al cargar el presupuesto del cliente"
"Error while deleting this condition. Please try again later.","Error eliminando esta condición. Pruebe más tarde"
"Error while saving this condition. Please try again later.","Error guardando esta condición. Pruebe más tarde"
"This condition no longer exists","Esta condición no existe"
"Status","Estado"
"State/Province","Estado / Provincia"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos procesando su Pedido y en breve recibirá un correo electrónico con los detalles. Una vez que su Pedido sea enviado, recibirá otro correo con el número de seguimiento del envío."
"Are you sure you would like to remove this item from the shopping cart?","Está seguro de quitar este artículo del carrito de compras?"
"Estimate Shipping and Tax","Estimar envío e impuestos"
"Default Billing","Facturación por defecto"
"Fax","Fax"
"Easy access to your order history and status","Fácil acceso a su historial de compras y estado"
"Manage Checkout Terms and Conditions","Gestionar términos y condiciones"
"Thank you for your purchase!","¡Gracias por tu pedido!"
"Save Condition","Guardar condición"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Hay <a href=""%s""><strong>%s artículos</strong></a> en su carrito."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Hay <a href=""%s""><strong>1 artículo</strong></a> en su carrito."
"HTML","HTML"
"There was an error processing your order. Please contact us or try again later.","Hubo un error al procesar su pedido. Por favor, contacte con nosotros o inténtelo de nuevo más tarde."
"ID","ID"
"Grouped product image","Imagen del producto agrupado"
"Configurable product image","Imagen del producto configurable"
"Billing Information","Información  de facturación"
"Billing Information - %s","Información  de facturación - %s"
"Terms and Conditions Information","Información de los términos y condiciones"
"Payment Information","Información de pago"
"Shipping Information","Información del envío"
"Invalid data","Información inválida"
"Enter your coupon code if you have one.","Ingrese su código de cupón si tiene uno."
"Enter a discount code if you got it.","Ingrese su código de cupón si tiene uno."
"Enter your destination to get a shipping estimate.","Ingrese su destino para obtener un precio estimado de envío."
"Enter a New Address","Ingrese una nueva dirección"
"Condition was successfully deleted","La condición  ha sido eliminada"
"Condition was successfully saved","La condición se ha guardado"
"Maximum qty allowed for Shipping to multiple addresses is %s","La máxima cantidad para envíos a direcciones múltiples es  %s"
"Shipping selection is not applicable","La selección de compra no es aplicable"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Lo siento, la compra como invitado no esta permitida. Intente más tarde o contacte con la tienda."
"Sorry, Onepage Checkout is disabled.","Lo siento, la página de la pasarela de compra esta desactivada"
"Customer Address is not valid.","Los datos del cliente no es correcta"
"Checkout method","Método de efectuar la compra"
"Shipping Method","Método de envío"
"Invalid shipping method.","Método de envío inválido"
"Payment Method","Método de pago"
"Shipping Methods","Método de envío"
"My Cart (%s item)","Mi carrito (%s artículo)"
"My Cart (%s items)","Mi carrito (%s artículos)"
"My Cart","Mi carrrito"
"My Account","Mi cuenta"
"My Cart Link","Mi enlace al carrito"
"Show Content as","Mostrar contenido como"
"Display Shopping Cart Sidebar","Mostrar el carro de la cesta en la barra horizontal"
"Display number of items in cart","Mostrar el número de artículos en el carrito"
"Display item quantities","Mostrar las cantidades de los artículos"
"Display Cart Summary","Mostrar resumen del carrito"
"Can't open overview page","No se puede abrir la página general"
"Cannot update shopping cart","No se puede actualizar el carrito de compras"
"Can not add item to shopping cart","No se puede agregar el artículo al carrito de compras"
"Can not apply coupon code.","No se puede aplicar el código del cupón."
"Cannot remove item","No se puede quitar el artículo"
"Condition Name","Nombre"
"Product Name","Nombre del producto"
"New Condition","Nueva condición"
"New Address","Nueva dirección"
"Get a Quote","Obtener un presupuesto"
"Forgot your password?","Olvidó su contraseña?"
"Forgot an Item?","Olvidó un artículo?"
"Checkout Options","Opciones de Compra"
"Other items in your order","Otros elementos en vuestro pedido"
"Country","País"
"Order Success","Pedido exitoso"
"osCommerce Orders","Pedidos osCommerce"
"Allow Guest Checkout","Permitir comprar a los invitados"
"Payment Failed Template","Plantilla de error de pago"
"Please <a href=""%s"">continue shopping</a>.","Por favor <a href=""%s"">continúe comprando</a>."
"Please log in below:","Por favor acceda:"
"Please agree to all Terms and Conditions before placing the order.","Por favor,  accepte los términos y condiciones antes de hacer el pedido."
"Please agree to all Terms and Conditions before placing the orders.","Por favor, accepte los términos y condiciones antes de hacer los pedidos"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, ingrese un código postal válido."
"Please select shipping address for applicable items","Por favor, seleccione la dirección de envío de los artículos aplicables"
"Please select shipping methods for all addresses","Por favor, seleccione métodos de envío para todas las direcciones "
"Unit Price","Precio unitario"
"Based on your selection, you may be interested in the following items:","Probablemente le interesen también los siguientes artículos:"
"Data saving problem","Problema al grabar los datos"
"Product","Producto"
"Remove","Quitar"
"Remove Item","Quitar el artículo"
"Remove Product","Quitar el producto"
"Place Order","Realiza tu pedido"
"Proceed to Checkout","Realizar Pedido"
"Checkout","Realizar Pedido"
"Checkout as Guest","Realizar Pedido como Invitado"
"Checkout as a Guest or Register","Realizar Pedido como Invitado o Registrarse"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Recibirás un correo electrónico de confirmación de tu Pedido con todos los detalles y un enlace para seguir todo el proceso."
"Card Verification Number Visual Reference","Referencia visual del número de verificación de la tarjeta"
"Register to Create an Account","Regístrese para crear una cuenta"
"Register with us for future convenience:","Regístrese para su conveniencia:"
"Register and save time!","Regístrese y ahorre tiempo!"
"Register","Registrarse"
"Review Order","Revisar el Pedido"
"Review Order - %s","Revisar el Pedido - %s"
"Order Review","Revisión del Pedido"
"Select State/Province...","Seleccione el Estado/Provincia..."
"Select Shipping Method","Seleccione el método de envío"
"Select Address","Seleccione la dirección"
"Select Addresses","Seleccione las direcciones"
"Select a shipping address from your address book or enter a new address.","Seleccione una dirección de envío de su libreta de direcciones o ingrese una nueva dirección."
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de facturación de su libreta de direcciones o ingrese una nueva dirección."
"Please select region, state or province","Seleccione una región, estado o provincia"
"separate by "",""","separado por "","""
"Your order # is: %s","Su pedido # es: %s"
"Your order has been received","Su pedido ha sido recibido"
"Your Checkout Progress","Su progreso en la caja"
"Subtotal","Subtotal"
"Cart Subtotal:","Subtotal del carrito:"
"Grand Total:","Suma total:"
"Checkout Terms and Conditions","Términos y condiciones"
"Terms and Conditions","Términos y condiciones"
"Terms and conditions","Términos y condiciones"
"Text","Texto"
"Checkout Conditions","Texto de condiciones"
"Checkbox text","Texto de confirmación"
"Checkout Section","Texto sección"
"Total","Total"
"Total for this address","Total para esta dirección"
"Move to Wishlist","Trasladar a la lista de artículos de interés"
"Your order # is: <a href=""%s"">%s</a>","Tu pedido # es: <a href=""%s"">%s</a>"
"An error occurred in the process of payment","Un error ha ocurrido en el proceso de pago"
"Use Billing Address","Usar la dirección de facturación"
"Quote Lifetime (days)","Validez del presupuesto (días)"
"Sales","Ventas"
"Store View","Vista de la tienda"
"Back to Shipping Information","Volver a la información de envío"
"Already registered?","Ya está registrado?"
"There is already a customer registered using this email address","Ya existe un cliente registrado con esta dirección de correo electrónico"
"Your order # is: %s.","El número de pedido es: %s."
"Your order number is ","El número de pedido es"
"Year","Año"
"You have placed no products yet.","Aún no ha colocado ningún producto."
"You have placed no orders yet.","Aún no ha realizado ningún pedido."
"Customer Login","Acceso del cliente"
"Action","Acción"
"Update","Actualizar"
"Update customer data","Actualizar datos del cliente"
"Update customer address data","Actualizar dirección del cliente"
"You are currently subscribed to 'General Subscription'.","Actualmente estás suscrito a la 'Suscripción General'."
"You are currently subscribed to our newsletter","Actualmente estás suscrito a nuestro boletín de noticias"
"You are currently subscribed to our newsletter.","Actualmente estás suscrito a nuestro boletín de noticias"
"You are currently not subscribed to any newsletter.","Actualmente no estás suscrito a ningún boletín  de noticias."
"You are currently not subscribed to our newsletter","Actualmente no estás suscrito a nuestro boletín  de noticias."
"Admin","Administración"
"Added From","Agregado desde"
"Add New Customer","Agregar un nuevo cliente"
"Add New Customer Group","Agregar un nuevo grupo de clientes"
"Add New Address","Agregar una nueva dirección"
"To Cart","Al carrito"
"Last Name","Apellido"
"Missing lastname, skipping the record","Apellido perdido, se omite el registro"
"Customer Api","API cliente"
"Approved","Aprobado"
"Sign up for our newsletter","Apuntarse a nuestro boletín de noticias"
"Sign Up for Newsletter","Apuntarse al boletín de noticias"
"Assign a customer group","Asignar un grupo de clientes"
"Subject","Asunto"
"Newsletter","Boletín de noticias"
"Newsletter Received","Boletín de noticias recibido"
"Newsletters","Boletines de noticias"
"Delete","Borrar"
"Delete Customer","Borrar el cliente"
"Delete Customer Group","Borrar el grupo de clientes"
"Delete Address","Borrar la dirección"
"Change Password","Cambiar la contraseña de la cuenta"
"Change Account Password","Cambiar la contraseña de la cuenta"
"Change Shipping Address","Cambiar la dirección de envío"
"Change Billing Address","Cambiar la dirección de facturación"
"Cancel","Cancelar"
"Unsubscribe from newsletter","Cancelar la suscripción al Boletín de noticias"
"Qty","Cant."
"Shopping Cart","Carrito de compras"
"Shopping Cart - %d item(s)","Carrito de compras - %d artículo(s)"
"SKU","Código"
"ZIP","Código postal"
"ZIP/Post Code","Código postal"
"ZIP/Postal Code","Código postal"
"Zip/Postal Code","Código postal"
"Log Out","Cerrar sesión"
"Lifetime Sales","Ciclo de ventas"
"City","Ciudad"
"Tax class","Clase de impuesto"
"Tax Class","Clase de Impuesto"
"Customer","Cliente"
"Customer Since","Cliente Desde"
"Customers","Clientes"
"Online Customers","Clientes Conectados"
"Product Reviews","Comentarios del producto"
"Company","Empresa (opcional)"
"Share Customer Accounts","Compartir las cuentas de clientes"
"Bought From","Comprado desde"
"Purchased at","Comprado el"
"Purchase On","Comprado en "
"Online","Conectado"
"Config","Configuración"
"Customer Configuration","Configuración del cliente"
"Set as Default Shipping Address","Configurar como dirección de envío por defecto"
"Set as Default Billing Address","Configurar como dirección de facturación por defecto"
"Confirmed","Confirmado"
"Confirm Password","Confirmar contraseña"
"Confirm New Password","Confirmar la nueva contraseña"
"Invalid attribute set specified, skipping the record","Conjunto de atributo inválido, se omite el registro"
"Password","Contraseña"
"Current Password","Contraseña actual"
"Welcome Email","Correo de bienvenida"
"Default Welcome Email","Correo de bienvenida por defecto"
"Require Emails Confirmation","Correo de confirmación requerido"
"Email","Dirección de correo electrónico"
"Invalid email address ""%s""","Correo electrónico ""%s"" erróneo"
"Wrong email.","Correo electrónico erroneo"
"Missing email, skipping the record","Correo electrónico perdido, se omite el registro"
"Create","Crear"
"Create customer","Crear cliente"
"Create customer address","Crear dirección cliente"
"Create New Account Options","Crear nuevas opciones para las cuentas"
"Create Order","Crear un Pedido"
"Create an Account","Crear una cuenta"
"Create New Customer Account","Crear una nueva cuenta de cliente"
"CSV","CSV"
"Wrong customer account specified.","Cuenta del cliente erronea"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Days in Wishlist","Días en la lista de artículos de interés"
"DD","DD"
"Offline","Desconectado"
"Unknown","Desconocido"
"User description","Descripción del usuario"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde Mi Cuenta puedes ver un resumen de tus actividades recientes y actualizar la información de tu cuenta. Selecciona un enlace inferior para ver o editar información."
"Disabled","Deshabilitado"
"Details","Detalles"
"Paused","Detenido"
"Refunded","Devuelto"
"Day","Dia"
"Street Address ","Dirección"
"IP Address","Dirección  IP"
"Email Address","Dirección de correo electrónico"
"Default Shipping Address","Dirección de envío por defecto"
"Primary Shipping Address","Dirección de envío principal"
"Default Billing Address","Dirección de facturación por defecto"
"Primary Billing Address","Dirección de facturación principal"
"Addresses","Direcciones"
"Customer Addresses","Direcciones del cliente"
"Default Addresses","Direcciones por defecto"
"Default Email Domain","Dominio de correo electrónico por defecto"
"Edit Account Info","Editar cuenta"
"Edit Group","Editar el grupo"
"Edit Customer Group ""%s""","Editar el grupo de clientes ""%s"""
"Edit Address Entry","Editar la dirección"
"Edit Address","Editar la dirección"
"Edit Account Information","Editar la información de la cuenta"
"Edit Personal Information","Editar la información personal"
"Edit Newsletter Subscription","Editar la suscripción al boletín de noticias"
"Edit Customer's Address","Editar las direcciones de los clientes"
"Edit Newsletters","Editar los boletines de noticias"
"Edit Customer Groups","Editar los grupos de clientes"
"Your account balance is: %s","El balance de su cuenta es: %s"
"Password fields can't be empty.","El campo password no puede estar vacío"
"Customer doesn't have primary billing address","El cliente no posee una dirección de facturación principal"
"Customer email already exists","El correo electrónico del cliente ya existe"
"Group ""%s"" can not be deleted","El grupo ""%s"" no puede ser borrado"
"Customer Group was successfully deleted","El grupo de clientes fue borrado con éxito"
"Customer Group was successfully saved","El grupo de clientes fue guardado con éxito"
"Delete customer","Eliminar cliente"
"Delete customer address","Eliminar dirección del cliente"
"Confirmation Link Email","Enlace de correo electrónico de confirmación"
"Additional Address Entries","Entradas adicionales de domicilio"
"Sent","Enviado"
"Shipped to Last Name","Enviado a apellido"
"Shipped to Name","Enviado a nombre de"
"Sending","Enviando"
"Submit","Enviar"
"Ship to Last name","Enviar a apellido"
"Ship to First name","Enviar a nombre"
"Send auto-generated password","Enviar contraseña autogenerada"
"Send Welcome Email after Confirmation","Enviar correo de bienvenida después de la confirmación"
"Send confirmation link","Enviar correo de confirmación"
"Send welcome email","Enviar correo electrónico de bienvenida"
"Shipped to First Name","Envidado a nombre"
"Error during retrieval of option value: %s","Error durante la recuperación del valor de la opción: %s"
"This account is not confirmed.","Esta cuenta no está confirmada"
"This email address was not found in our records","Esta dirección de correo electrónico no fue encontrada en los registros"
"This is My Primary %s Address","Esta es mi principal %s dirección"
"Sales Statistics","Estadísticas de venta"
"State/Province","Estado / Provincia"
"Are you sure?","Está seguro?"
"This customer has no saved addresses.","Este cliente no guardó sus direcciones"
"This e-mail does not require confirmation.","Este correo no requiere confirmación"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Este correo será enviado después del correo de bienvenida, después de la confirmación de la cuenta"
"Product Tags","Etiquetas del producto"
"Fax","Fax"
"Date Added","Fecha agregada"
"Date of Birth","Fecha nacimiento"
"Newsletter Finish","Final del boletín de noticias"
"Password Management","Gestión de la contraseña"
"Manage Customers","Gestionar clientes"
"Manage Addresses","Gestionar direcciones"
"Global","Global"
"Thank you for registering with %s.","Gracias por registrarse con %s."
"Group","Grupo"
"Customer Group","Grupo del cliente"
"Default Group","Grupo por defecto"
"Customer Groups","Grupos de clientes"
"Saved ","Guardado"
"Save Customer","Guardar cliente"
"Save Password","Guardar contraseña"
"Save Address","Guardar dirección"
"Save Customer Group","Guardar grupo de cliente"
"Save And Continue Edit","Guardar y continuar editando"
"You're now Logged Out","Ha cerrado su sesión correctamente"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Ha salido con éxito del sistema y será redirigido a nuestra página de inicio en 5 segundos."
"Hello, %1!","Hola, %1!"
"Session Start Time","Hora de inicio de la sesión"
"HTML","HTML"
"Problem saving the collection, aborting. Error: %s","Hubo un problema al guardar la colección. Cancelando. Error: %s"
"ID","ID"
"Invalid option id specified for %s (%s), skipping the record","ID de opción inválida para %s (%s), se omite el registro"
"Product ID","ID de producto"
"Wrong region id by selected country","ID de región incorrecto para el país seleccionado"
"Amount","Importe"
"Grand Total","Importe total"
"Grand Total: %s","Importe total: %s"
"Log in or Create an Account","Indentificarse o crear cuenta"
"Contact Information","Información de contacto"
"Login Information","Información de Inicio de sesión"
"Account Information","Información de la cuenta"
"Address Information","Información de la dirección"
"Billing Information","Información de la facturación"
"Newsletter Information","Información del boletín de noticias"
"Customer Information","Información del cliente"
"Shipping Information","Información del envío"
"Group Information","Información del grupo"
"Personal Information","Información personal"
"Login","Iniciar sesión"
"Log In","Iniciar sesión"
"Newsletter Start","Inicio del boletín de noticias"
"Please enter your email below and we'll send you confirmation link for it.","Introduce tu correo electrónico y te enviaremos un correo con el link de confirmación"
"Please enter your email below and we'll send you a new password.","Introduce tu correo electrónico a continuación y te enviaremos una nueva contraseña."
"Please enter your email below and we'll send you a new password.","Introduce tu correo electrónico a continuación y te enviaremos una nueva contraseña."
"Guest","Invitado"
"Go to Address Book","Ir a la libreta de direcciones"
"Failed to confirm customer account.","La confirmación de la cuenta del cliente ha fallado"
"Invalid current password","La contraseña actual es inválida"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","La contraseña debe tener 6 caracteres como mínimo. Los espacios en blanco serán ignorados."
"Invalid email address","La dirección de correo electrónico es inválida"
"The address was successfully deleted","La dirección fue borrada con éxito"
"The address was successfully saved","La dirección fue guardada con éxito"
"The address does not belong to this customer","La dirección no pertenece a este cliente"
"Date of Birth is required.","La fecha de nacimiento es necesaria"
"Account information was successfully saved","La información de la cuenta se grabó con éxito"
"New account confirmed","La nueva cuenta ha sido confirmada correctamente"
"Password minimal length must be more %s","La password ha de contener como mínimo %s carácteres"
"Password can't be empty","La password no puede estar vacio"
"Address Book","Libreta de direcciones"
"Wishlist","Lista de artículos de interés"
"Wishlist - %d item(s)","Lista de artículos de interés - %d artículo(s)"
"Order List...","Lista de Pedidos..."
