"REQUEST YOUR QUOTE","ANMOD OM CITAT"
"N/A","N/A"
"Name","Navn"
"Name in %s","Navn i %s"
"New Product","Nyt produkt"
"New Product Attribute","Ny produktegenskab"
"New Products","Nye produkter"
"New Products Grid Template","Nye produkter, tabelskabelon"
"New Products List Template","Nye produkter, listeskabelon"
"New Root Category","Ny rodkategori"
"New Search","Ny søgning"
"New Set Name","Nyt sætnavn"
"New Subcategory","Ny underkategori"
"Next","Næste"
"No","Nej"
"No image","Intet billede"
"No layout updates","Ingen opdatering af layout fundet"
"No options of this product are available.","Valgmuligheder for produkt er ikke tilgængelig"
"No product collections found.","Der blev ikke fundet nogen produkter."
"None","Ingen"
"Not Visible Individually","Ikke individuelt synlige"
"Notify Low Stock RSS","Advar om lav beholdning (RSS)"
"Notify for Quantity Below","Advisér for antal nedenfor"
"Number of Products to Display","Antal produkter at vise"
"Number of Uses","Søgninger"
"Number of results","Antal resultater"
"Number of results (For the last time placed)","Antal resultater (for sidste placering)"
"OK","OK"
"OR","ELLER"
"Old Price:","Gammel pris:"
"On Gesture","Ved klik"
"Option validation failed to add product to cart.","Validering kunne ikke tilføje produktet til kurven"
"Option values","Værdier"
"Option:","Mulighed:"
"Options","Muligheder"
"Options Control","Indstillinger af muligheder"
"Options is required","Muligheder er påkrævet"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Kundeservice er åben 24 timer i døgnet. Ring til os på +45 10 10 10 10"
"Out of Stock","Ikke på lager"
"Out of stock","Ikke på lager"
"PM","PM"
"Page Title Separator","Separator for sidetitel"
"Parent Category","Hovedkategori"
"Pending","Ikke godkendt"
"Pending Reviews RSS","Manglende godkendelse (RSS)"
"Percentage","Procent"
"Please add rows to option.","Tilføj venligst rækker til muligheden."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Pas på, da pakkedata fra den valgte fil indlæses og al data der ikke er gemt vil gå tabt, så snart du klikker på rækken."
"Please click on the Close Window button if it is not closed automatically.","Luk vinduet hvis det ikke lukker automatisk."
"Please enter a new group name","Indtast venligst et gruppenavn"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Opdater venligst ""URL-omskrivninger for katalog"" og ""produktegenskaber"" i System -> <a href=""%s"">Indeksstyring</a>"
"Please select a static block ...","Vælg en statisk blok ..."
"Please select items.","Vælg varer."
"Please select one or more attributes.","Vælg venligst en eller flere egenskaber"
"Please select product(s).","Vælg venligst produkt(er)"
"Please select products for attributes update","Vælg venligst de produkter, hvis egenskaber skal opdateres"
"Please specify date required option(s).","Angiv venligst obligatorisk(e) datofelt(er)"
"Please specify the number of products, that will not be divided into subintervals.","Angiv venligst antallet af varer der ikke kan opdeles i underintervaller."
"Please specify the product required option(s)","Angiv venligst produktets påkrævede valgmulighed(er)"
"Please specify the product required option(s).","Angiv venligst produktets påkrævede valgmulighed(er)"
"Please specify the product\'s option(s).","Angiv venligst produktets muligheder."
"Please specify the product\'s required option(s).","Angiv venligst produktets påkrævede valgmulighed(er)"
"Please specify the quantity of product(s).","Angiv mængden af produkter."
"Please specify time required option(s).","Angiv venligst obligatoriske valgmuligheder"
"Please wait...","Vent venligst ..."
"Position","Position"
"Position in Layered Navigation","Position i lagdelt navigation"
"Position of attribute in layered navigation block","Egenskabens position i den lagdelte navigationsblok"
"Prev","Forrige"
"Previous","Forrige"
"Price Navigation Step Calculation","Beregning af prisnavigationstrin"
"Price Type","Pristype"
"Price is not available","Prisen er ikke tilgængelig"
"Price values for options should be specified in system base currency.","Priser for mulighederne skal være specificeret i systemets standardvaluta."
"Price:","Pris:"
"Price: %s","Pris: %s"
"Print This Page","Print siden"
"Product","Produkt"
"Product API","Produkt-API"
"Product Alerts","Produktbeskeder"
"Product Attribute","Produktegenskab"
"Product Attributes","Produktegenskaber"
"Product Categories","Produktkategorier"
"Product Description","Beskrivelse"
"Product Extra Info","Ekstra produktinfo"
"Product Flat Data","Flade produktdata"
"Product ID","Produkt ID"
"Product Image Placeholders","Placeholders til produktbilleder"
"Product Image Watermarks","Vandmærker til produktbilleder"
"Product Images","Produktbilleder"
"Product Images API","Produktbilled-API"
"Product In Websites","Produkt på websites"
"Product Info Column","Produktinfo-kolonne"
"Product Information","Produktinformation"
"Product Link Block Template","Produktlink, blokskabelon"
"Product Link Inline Template","Produktlink, inline-skabelon"
"Product Listing Sort by","Sortér produktlister efter"
"Product Name","Produkt"
"Product Prices","Produktpriser"
"Product Reviews","Produktbedømmelser"
"Product Tags","Produkt-tags"
"Product Tier Price API","Produkt-mængderabat-API"
"Product Type","Produkttype"
"Product URL Suffix","Produkt URL suffix"
"Product View Extra Hint","Produktvisning ekstra hint"
"Product attribute sets API","Produkt-egenskabssæt-API"
"Product attributes API","Produktegenskabs-API"
"Product collection expected.","Produktliste blev forventet"
"Product is not loaded","Produktet er ikke indlæst"
"Product links API (related, cross sells, up sells)","Produktlinks-API (relaterede, krydssalg, opsalg)"
"Product types API","Produkttype-API"
"Product with this combination of attributes already associated to configurable.","Produktet med denne kombination af egenskaber er allerede forbundet med dette konfigurerbare produkt."
"Products","Produkter"
"Products Comparison List","Sammenligningsliste"
"Products Information","Produktinformation"
"Products Sitemap","Sitemap for produkter"
"Products only","Kun produkter"
"Products per Page on Grid Allowed Values","Tilladte værdier for produkter pr. side ved tabelvisning"
"Products per Page on Grid Default Value","Standardværdi for produkter pr. side ved tabelvisning"
"Products per Page on List Allowed Values","Tilladte værdier for produkter pr. side ved listevisning"
"Products per Page on List Default Value","Standardværdi for produkter pr. side ved listevisning"
"Properties","Egenskaber"
"Qty","Antal"
"Qty Increments","Mængdetrin"
"Qty Uses Decimals","Antal med decimal"
"Qty for Item\'s Status to Become Out of Stock","Antal for at produktets status bliver 'ikke på lager'"
"Qty:","Antal:"
"Quantity","Antal"
"Quick Create","Hurtig-opret"
"Quick Overview","Hurtigt overblik"
"Quick simple product creation","Hurtig simpel produktoprettelse"
"Records for ""","Poster for """
"Redirect","Omdiriger"
"Redirect URL","URL til videresendelse"
"Regular Price:","Pris:"
"Related Products","Relaterede produkter"
"Remove","Fjern"
"Remove Product From Websites","Fjern produkt fra website"
"Remove This Item","Fjern element"
"Remove attribute from attribute set","Fjern egenskab fra egenskabssæt"
"Remove attribute set","Fjern egenskabssæt"
"Remove custom option","Fjern tilpasningsmulighed"
"Remove group from attribute set","Fjern gruppe fra egenskabssæt"
"Remove option","Fjern mulighed"
"Remove product assignment","Fjern produkttildeling"
"Remove product image","Fjern produktbillede"
"Remove product link","Fjern produktlink"
"Remove value from custom option","Fjern værdi fra tilpasninsmulighed"
"Rename existing group","Omdøb eksisterende gruppe"
"Rename group","Omdøb gruppe"
"Reorganize EAV category structure to flat structure","Omorganiser EAV kategoristrukturen til flad struktur"
"Reorganize EAV product structure to flat structure","Omorganiser EAV produktstrukturen til flad struktur"
"Reset","Nulstil"
"Results","Resultater"
"Retrieve attribute data","Hent egenskabsdata"
"Retrieve attribute list","Hent egenskabsliste"
"Retrieve attribute options","Hent egenskabsmuligheder"
"Retrieve categories tree","Hent kategoritræ"
"Retrieve category attributes","Hent kategoriegenskaber"
"Retrieve category data","Hent kategoridata"
"Retrieve hierarchical tree","Hent hierarkisk træ"
"Retrieve linked products","Hent tilknyttede produkter"
"Retrieve list of assigned products","Hent liste af tilknyttede produkter"
"Retrieve list of option values","Hent liste over værdier for muligheder"
"Retrieve list of product custom options","Hent liste over tilpasningsmuligheder"
"Retrieve one level of categories by website/store view/parent category","Hent et niveau af kategorier ud fra website/forretningsvisning/forældrekategori"
"Retrieve option value info","Hent info om tilpasningsmulighedsværdi"
"Retrieve product","Hent produkt"
"Retrieve product attribute sets","Hent produktegenskabssæt"
"Retrieve product image","Hent produktbillede"
"Retrieve product image list","Hent produktbilledliste"
"Retrieve product image types","Hent produktbilledtyper"
"Retrieve product link type attributes","Hent egenskaber for tilknyttede produkters typer"
"Retrieve product link types","Hent tilknyttede produkters typer"
"Retrieve product tier prices","Hent produktmængderabatter"
"Retrieve product types","Hent produkttyper"
"Retrieve products data","Hent produktdata"
"Retrieve products list by filters","Hent produktliste med filtre"
"Reviews","Anmeldelser"
"Roll Over for preview","Hold musen henover for preview"
"Root","Basis"
"SKU","Varenummer"
"SKU length should be %s characters maximum.","Varenummer må maksimalt være %s tegn."
"Save","Gem"
"Save Attribute","Gem egenskab"
"Save Attribute Set","Gem sæt"
"Save Category","Gem kategori"
"Save Search","Gem søgning"
"Save and Continue Edit","Gem og fortsæt redigering"
"Saved %d record(s)","%d poster gemt"
"Scope","Anvendelsesområde"
"Scope must not be changed, because the attribute is used in configurable products.","Anvendelsesområde kan ikke ændres, da egenskaben benyttes i konfigurerbare produkter."
"Search","Søg"
"search","søg"
"Search Engine Optimizations","Søgemaskine-optimering (SEO)"
"Search Information","Søgning - detaljer"
"Search Query","Søgning"
"Search Term with such search query already exists.","Søgeord med dette søgeudtryk eksisterer allerede."
"Searchable","Søgbar"
"See price before order confirmation.","Se pris før ordrebekræftelse."
"Select Category...","Vælg kategori..."
"Select Configurable Attributes ","Vælg konfigurerbare egenskaber"
"Select Product...","Vælg produkt..."
"Select type of option","Vælg type af mulighed"
"Select type options required values rows.","Vælg krævede værdirækker for mulighed."
"Selected Product Types","Valgte produkttyper"
"Selected configuration is not available.","Den valgte konfiguration er utilgængelig."
"Send Count","Send antal"
"Set Ascending Direction","Sorter stigende"
"Set Descending Direction","Sorter faldende"
"Set Name","Sætnavn"
"Set Root Category for Store","Angiv basis-kategori for forretning"
"Set root category for this store in the <a href=""%s"">configuration</a>","Angiv rodkategorien for denne butik i <a href=""%s"">konfigurationen</a>"
"Set special price","Angiv specialpris"
"Set/Get current store view","Sæt/hent nuværende forretningsvisning"
"Settings","Indstillinger"
"Shop By","Filtrering"
"Shopping Options","Mulige filtre"
"Show","Vis"
"Show Details","Vis detaljer"
"Show Tags","Vis tags"
"Simple Product","Simpelt produkt"
"Site Map","Sitemap"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Springer over importrække, ugyldig værdi ""%s"" for feltet ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Springer over importrække, obligatorisk felt ""%s"" for kunde mangler."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Springer over importrække, værdien ""%s"" er ugyldig for feltet ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Springer over importrække, obligatorisk felt ""%s"" for produkt mangler."
"Skipping import row, required field ""%s"" is not defined.","Springer over importrække, obligatorisk felt ""%s"" mangler."
"Skipping import row, store ""%s"" field does not exist.","Springer over importrække, butiksfelt ""%s"" eksisterer ikke."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Springer over importrække, værdien ""%s"" er ikke gyldig for feltet ""%s""."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Nogle af de behandlede produkter har intet varenummer. Udfyld det venligst, inden du udfører handlinger på disse produkter."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Nogle af produkterne nedenfor har ikke alle obligatoriske muligheder. Venligst redigér dem og konfigurér alle nødvendige valgmuligheder."
"Sort by","Sorter efter"
"Sort Order","Sorteringsrækkefølge"
"Source Model","Kilde-model"
"Special Expires On: %s","Udløbsdato for specialpris: %s"
"Special Price:","Specialpris:"
"Special Price: %s","Specialpris: %s"
"Starting at:","Starter ved:"
"Static","Statisk"
"Static block and products","Statisk blok og produkter"
"Static block only","Kun statisk blok"
"Status","Status"
"Stock Availability","Lagerstatus"
"Store","Forretning"
"Store View","Forretningsvisning"
"Stretch","Stræk"
"Subscribe to RSS Feed","Modtag RSS"
"Super product attributes configuration","Egenskabskonfiguration for superprodukt"
"Synonym For","Synonym for"
"System Properties","System-egenskaber"
"Tag Name","Navn"
"Tax","Moms"
"Template","Skabelon"
"Text","Tekst"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Det flade katalogmodul har en grænse på %2\$d filtrerbare/sorterbare egenskaber. Der er i øjeblikket %1\$d af dem. Reducer antallet af disse egenskaber for at bruge modulet"
"The attribute model is not defined","Egenskabsmodel er ikke defineret"
"The attribute set has been saved.","Egenskabssættet er gemt."
"The base directory to upload file is not specified.","Rodmappen til uploadede filer er ikke anivet."
"The category has been deleted.","Kategorien er slettet."
"The category has been saved.","Kategorien er gemt."
"The comparison list was cleared.","Sammenligningslisten er tømt."
"The file '%s' for '%s' has an invalid extension","Filen '%s' fra '%s' har en ugyldig filtype"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Filen '%s' som du har oploadet, er større end de %s Megabytes som er tilladt på serveren"
"The file you uploaded is larger than %s Megabytes allowed by server","Filen som du har oploadet, er større end de %s Megabytes som er tilladt på serveren"
"The filters must be an array.","Filtrene skal være et array."
"The image contents is not valid base64 data.","Billeddata er ikke gyldig base64-data."
"The image is not specified.","Billede er ikke angivet."
"The model collection resource name is not defined.","Resourcenavnet for modelkollektionen er ikke defineret."
"The product %s has been added to comparison list.","Produktet %s er sat på sammenligningslisten."
"The product %s has been removed from comparison list.","Produktet %s er fjernet fra sammenligningslisten."
"The product attribute has been deleted.","Produktegenskaben er slettet."
"The product attribute has been saved.","Produktegenskaben er gemt."
"The product has been created.","Produktet er oprettet."
"The product has been deleted.","Produktet er slettet."
"The product has been duplicated.","Produktet er kopieret."
"The product has been saved.","Produktet er gemt."
"The product has required options","Produktet har obligatoriske valgmuligheder"
"The review has been deleted","Anmeldelsen er slettet"
"The review has been saved.","Anmeldelsen er gemt."
"The review was removed by another user or does not exist.","Anmeldelsen er fjernet af en anden bruger, eller eksisterer ikke."
"The search was deleted.","Søgningen er slettet."
"The text is too long","Teksten er for lang"
"There are no %s available.","Der er ingen %s til rådighed."
"There are no customers for this alert","Der er ikke knyttet nogen kunder til denne infobesked"
"There are no customers for this alert.","Der er ikke knyttet nogen kunder til denne infobesked"
"There are no products matching the selection.","Der er ingen produkter der matcher udvalget."
"There was an error while request processing.","Der skete en fejl, mens forespørgslen blev behandlet"
"This Attribute no longer exists","Denne genskab eksisterer ikke længere"
"This attribute cannot be deleted.","Denne egenskab kan ikke slettes."
"This attribute cannot be edited.","Denne egenskab kan ikke redigeres."
"This attribute cannot be updated.","Denne egenskab kan ikke opdateres."
"This attribute is used in configurable products.","Denne egenskab benyttes i konfigurerbare produkter."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Denne egenskab bruges i konfigurerbare produkter. Den kan ikke fjernes fra egenskabssættet."
"This attribute no longer exists","Egenskaben eksisterer ikke længere"
"This attribute set no longer exists.","Dette egenskabssæt eksisterer ikke længere."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Denne gruppe indeholder egenskaber brugt i konfigurerbare produkter. Flyt venligst disse egenskaber til en anden gruppe og prøv igen."
"This group contains system attributes. Please move system attributes to another group and try again.","Denne gruppe indeholder systemegenskaber. Flyt venligst alle systemegenskaber til en anden gruppe og prøv så igen."
"This is a required option","Dette er et obligatorisk felt"
"This product no longer exists.","Dette produkt eksisterer ikke længere."
"This search no longer exists.","Søgningen eksisterer ikke længere."
"This setting will be applied when all prices in the specific price interval are equal.","Denne indstilling gælder når alle priser i det angivne prisinterval er ens."
"Tier Pricing","Mængderabat"
"Tile","Tegl"
"Time Format","Tidsformat"
"Title","Titel"
"To reindex the enabled product(s), the store or product must be specified","For at genindeksere de aktiverede produkter, skal butik eller produkt angives"
"To see product price, add this item to your cart. You can always remove it later.","Læg varen i kurven for at se prisen. Du kan altid fjerne den igen."
"Top/Left","Top/venstre"
"Top/Right","Top/højre"
"Total Qty Base Items","Total antal basisvarer"
"Total incl. Tax: %1$s","Total inkl. moms: %1$s"
"Total of %d record(s) have been deleted.","I alt %d poster er slettet."
"Total of %d record(s) have been updated.","I alt %d poster er opdateret."
"Total of %d record(s) were updated","I alt %d poster er opdateret."
"Type","Type"
"URL Rewrite Management","URL-omskrivning"
"Unable to complete this request.","Kan ikke gennemføre handlingen."
"Unable to find a search term to delete.","Kunne ikke foretage sletning: ingen søgeord blev fundet"
"Unable to find an attribute to delete.","Der blev ikke fundet nogen egenskaber"
"Unable to get the product ID.","Kan ikke hente produkt-ID"
"Unassigned Attributes","Utilknyttede egenskaber"
"Unknown EAV indexer type ""%s"".","Ukendt EAV-indekseringstype ""%s""."
"Unknown attribute: %s.","Ukendt egenskab: %s"
"Unsupported product type ""%s"".","Ikke understøttet produkttype ""%s"""
"Up-sells","Opsalg"
"Update","Opdater"
"Update Attributes","Opdater egenskaber"
"Update Tier Price","Opdater mængderabat"
"Update assigned product","Opdater tilknyttet produkt"
"Update attribute","Opdater egenskab"
"Update attributes","Opdater egenskaber"
"Update category","Opdater kategori"
"Update custom option of product","Opdater tilpasninsmulighed for produkt"
"Update product","Opdater produkt"
"Update product image","Opdater produktbillede"
"Update product link","Opdater tilknyttet produkt"
"Update product tier prices","Opdater mængderabatter"
"Update value of custom option","Opdater værdi for tilpasningsmulighed"
"Upload new product image ","Upload nyt produktbillede "
"Use Canonical Link Meta Tag For Categories","Brug canonical link metatag for kategorier"
"Use Canonical Link Meta Tag For Products","Brug canonical link metatag for produkter"
"Use Categories Path for Product URLs","Anvend kategoristi i produktets URL"
"Use Config Settings","Anvend konfigurationsindstillinger"
"Use Default Value","Anvend standardværdi"
"Use Flat Catalog Category","Brug flade kategorier"
"Use Flat Catalog Product","Brug flade produkter"
"Use In Layered Navigation","Anvend i lagdelt navigation"
"Use In Search Results Layered Navigation","Brug i lagdelt navigation for søgeresultater"
"Use JavaScript Calendar","Brug JavaScript-kalender"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Brug statiske URLs for medieindhold i WYSIWYG for kataloget"
"Use To Create Configurable Product","Anvend til 'Opret konfigurerbart produkt'"
"Use Tree Like Category Sitemap","Brug træ som kategori-sitemap"
"Use config","Brug konfiguration"
"Use default","Brug standard"
"Use for Promo Rule Conditions","Brug til betingelser i regler"
"Use four-digit year format.","Brug firecifret format til år."
"Use in Advanced Search","Anvend i avanceret søgning"
"Use in Layered Navigation","Anvend i lagdelt navigation"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Brug i lagdelt navigation<br/>(Kan kun bruges med kataloginputtypen 'Dropdown')"
"Use in Quick Search","Anvend i kviksøgning"
"Used for Sorting in Product Listing","Bruges til sortering i produktliste"
"Used in Product Listing","Bruges i produktliste"
"Value for ""%s"" is invalid.","Værdien for ""%s"" er ugyldig"
"Value for ""%s"" is invalid: %s","Værdien for ""%s"" er ugyldig: %s"
"Varchar","Varchar (felttype)"
"View as","Vis som"
"Virtual Product","Virtuelt produkt"
"Visibility","Synlig i"
"Visible","Synlig"
"Visible on Catalog Pages on Front-end","Synlig på katalogsiderne"
"Visible on Product View Page on Front-end","Synlig på produktsider i frontend"
"WYSIWYG Editor","WYSIWYG editor"
"Watermark","Vandmærke"
"Watermark Default Size","Vandmærkestørrelse (standard)"
"Watermark Opacity, Percent","Vandmærkesynlighed, procent"
"Watermark Position","Vandmærkeposition"
"We Also Recommend","Vi anbefaler også"
"Website","Website"
"Websites","Websites"
"What's this?","Hvad er dette?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Skal muligheden ""Alle"" vises i ""Vis x pr. side""?"
"Will make search for the query above return results for this search.","Gør at søgningen ovenfor giver samme resultater som denne søgning."
"Wrong BuyRequest instance in options group.","Forkert købsforespørgsel i valgmulighedsgruppen."
"Wrong configuration item instance in options group.","Forkert konfigurationselement i valgmulighedsgruppen."
"Wrong configuration item option instance in options group.","Forkert valgmuligheds-konfigurationselement i valgmulighedsgruppen."
"Wrong option instance type in options group.","Forkert type for valgmulighedselementet i valgmulighedsgruppen."
"Wrong option type to get group instance.","Forkert valgmulighedstype for at hente gruppeelementet."
"Wrong product instance type in options group.","Forkert type af produktelement i valgmulighedsgruppen."
"Wrong product type filter specified","Forkert filter for produkttype"
"Wrong product type to extract configurable options.","Forkert produkt type til at udtrække konfigurérbare valgmuligheder."
"Year Range","Årsinterval"
"Yes","Ja"
"You cannot remove system attribute from this set.","Systemegenskaber kan ikke fjernes fra sættet."
"You have no items to compare.","Der er ingen varer til sammenligning"
"You may also be interested in the following product(s)","Måske vil du også være interesseret i disse produkt(er)?"
"Zoom In","Zoom ind"
"Zoom Out","Zoom ud"
"and","og"
"and above","og derover"
"categories","kategorier"
"each","pr. stk."
"ex. http://domain.com","eks. http://minshop.dk"
"leave blank if its not an image","undlad at udfylde hvis det ikke er et billede"
"per page","pr. side"
"products","produkter"
"px.","px."
"save","spar"
"select all","Vælg alle"
"unselect all","Fravælg alle"
"x","x"
"%s was added to your shopping cart.","%s er lagt i indkøbskurven."
"%s was updated in your shopping cart.","%s er opdateret i indkøbskurven."
"* Required Fields","* Skal udfyldes"
"Add New Address","Tilføj ny adresse"
"Add New Condition","Tilføj nyt vilkår"
"Add coupon code for shopping cart","Tilføj rabatkode til indkøbskurven"
"Add product to shopping cart","Læg produkt i kurven"
"Add product(s) to shopping cart","Læg produkter i kurven"
"Add to Compare","Tilføj til sammenligning"
"Add to Wishlist","Sæt på ønskeseddel"
"Additional Product Info","Yderligere produktinfo"
"Address","Gade/vej"
"Address %s of %s","Adresse %s af %s"
"After Adding a Product Redirect to Shopping Cart","Efter tilføjelse af produkt, gå til kurven"
"Allow Guest Checkout","Tillad gæstebestilling"
"Already registered?","Allerede oprettet?"
"An error occurred in the process of payment","En fejl opstod ved behandling af betalingen"
"An error occurred while deleting this condition.","Fejl ved sletning af betingelsen."
"An error occurred while saving this condition.","Fejl ved lagring af betingelsen."
"Apply Coupon","Anvend kupon"
"Are you sure you would like to remove this item from the shopping cart?","Er du sikker på, at varen skal fjernes fra kurven?"
"Back","Tilbage"
"Back to Billing Information","Tilbage til faktureringsinformation"
"Back to Select Addresses","Tilbage til vælg adresser"
"Back to Shipping Information","Tilbage til leveringsinformation"
"Back to Shopping Cart","Tilbage til indkøbskurven"
"Based on your selection, you may be interested in the following items:","Baseret på indholdet af din kurv vil du måske også være interesseret i følgende varer:"
"Billing Address","Betalingsadresse"
"Billing Information","Betalingsadresse"
"Billing Information - %s","Faktureringsinformation - %s"
"Cancel Coupon","Annuller rabatkupon"
"Cannot add item to the shopping cart.","Kan ikke lægge varen i kurven."
"Cannot add the item to shopping cart","Kan ikke lægge varen i kurven."
"Cannot add the item to shopping cart.","Kan ikke lægge varen i kurven."
"Cannot apply the coupon code.","Rabatkoden kan ikke bruges."
"Cannot configure product.","Kan ikke konfigurere produkt."
"Cannot open the overview page","Kan ikke åbne oversigtssiden"
"Cannot process the item.","Kan ikke behandle varen."
"Cannot remove the item.","Kan ikke fjerne varen."
"Cannot update shopping cart.","Indkøbskurv kan ikke opdateres"
"Cannot update the item.","Kan ikke opdatere varen."
"Card Verification Number Visual Reference","Kontrolcifre (visuel reference)"
"Cart Product Api","Varer i kurv-API"
"Cart Subtotal:","Kurv Subtotal:"
"Change","Rediger"
"Change Billing Address","Skift betalingsadresse"
"Checkbox Text","Checkbox tekst"
"Checkout","Gå Til Bestilling"
"Checkout Conditions","Bestillingsvilkår"
"Checkout Method","Bestillingsmetode"
"Checkout Options","Bestillingsmuligheder"
"Checkout Progress Wrapper","Bestillingsproces-wrapper"
"Checkout Section","Bestillingssektion"
"Checkout Terms and Conditions","Bestillingsvilkår"
"Checkout as Guest","Bestil som gæst"
"Checkout as a Guest or Register","Bestil som gæst eller opret en konto"
"Checkout with Multiple Addresses","Bestil til flere adresser"
"City","By"
"Clear Shopping Cart","Tøm indkøbskurv"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Klik <a href=""%s"" onclick=""this.target=\'_blank\'"">her for at printe</a> en kopi af ordrebekræftelsen."
"Click <a href=""%1"">here</a> to continue shopping.","Klik <a href=""%1"">her</a> for at handle videre."
"Close","Luk"
"Condition Name","Navn på vilkår"
"Configurable Product Image","Konfigurerbart produktbillede"
"Configure Cart Item","Konfigurer vare i kurven"
"Confirm Password","Bekræft kodeord"
"Content","Indhold"
"Content Height","Indholdshøjde"
"Content Height (css)","Indholdshøjde (css)"
"Continue","Fortsæt"
"Continue to Billing Information","Fortsæt til betalingsadresse"
"Continue to Review Your Order","Fortsæt til ordreoversigten"
"Continue to Shipping Information","Fortsæt til leveringsoplysninger"
"Country","Land"
"Coupon code ""%s"" is not valid.","Rabatkoden ""%s"" er ikke gyldig."
"Coupon code ""%s"" was applied.","Rabatkoden ""%s"" er nu medregnet i ordren."
"Coupon code was canceled.","Rabatkoden er annulleret."
"Create Billing Address","Opret betalingsadresse"
"Create Shipping Address","Opret leveringsadresse"
"Create an order from shopping cart","Opret en ordre fra indkøbskurven"
"Create shopping cart","Opret indkøbskurv"
"Customer Address is not valid.","Kundeadresse er ugyldig."
"Customer Information","Kundedata"
"Customer's information","Kundens data"
"Data saving problem","Kunne ikke gemme."
"Default Billing","Betaling (standard)"
"Default Shipping","Levering (standard)"
"Delete Condition","Slet vilkår"
"Details","Detaljer"
"Disabled","Deaktiveret"
"Discount Codes","Rabatkoder"
"Display Cart Summary","Visning af kurvoversigt"
"Display Shopping Cart Sidebar","Vis kurv i sidebar"
"Display item quantities","Vis antal af hvert produkt"
"Display number of items in cart","Vis samlet antal varer i kurven"
"Display number of items in wishlist","Vis antal varer på ønskesedlen"
"Easy access to your order history and status","Nem adgang til din ordrehistorik og -status"
"Edit Address","Rediger adresse"
"Edit Billing Address","Rediger betalingsadresse"
"Edit Condition","Rediger betingelse"
"Edit Items","Tilføj/fjern produkter"
"Edit Shipping Address","Rediger leveringsadresse"
"Edit Terms and Conditions","Rediger vilkår"
"Edit Your Cart","Rediger kurv"
"Edit item","Rediger vare"
"Edit item parameters","Rediger vareegenskaber"
"Email Address","E-mailadresse"
"Enable Onepage Checkout","Aktiver ensidesbestilling"
"Enable Terms and Conditions","Aktiver vilkår og betingelser"
"Enabled","Aktiveret"
"Enter a New Address","Indtast ny adresse"
"Enter your coupon code if you have one.","Indtast din rabatkode her."
"Enter a discount code if you got it.","Indtast din rabatkode her."
"Enter your destination to get a shipping estimate.","Indtast destination for at få et prisoverslag på levering"
"Estimate Shipping and Tax","Prisoverslag på levering"
"Excl. Tax","Ekskl. moms"
"Fast and easy check out","Hurtig og nem bestilling"
"Fax","Faxnummer"
"Forgot an Item?","Glemt et produkt?"
"Forgot your password?","Glemt dit kodeord?"
"Get a Quote","Få et prisoverslag"
"Get list of available payment methods","Hent liste over mulige betalingsmetoder"
"Get list of available shipping methods","Hent liste over mulige leveringsmetoder"
"Get list of products in shopping cart","Hent liste over produkter i indkøbskurven"
"Get terms and conditions","Hent handelsbetingelser"
"Get total prices for shopping cart","Hent totalbeløb for indkøbskurven"
"Grand Total:","Total:"
"Grouped Product Image","Grupperet produktbillede"
"HTML","HTML"
"ID","ID"
"Invalid checkout type.","Ugyldig bestillingstype."
"Invalid data.","Ugyldige data."
"Invalid email address ""%s""","Ugyldig e-mailadresse ""%s"""
"Invalid method: %s","Ugyldig metode: %s"
"Invalid shipping method.","Ugyldig leveringsmetode."
"Item not found or already ordered","Vare ikke fundet eller allerede bestilt"
"Items","Produkter"
"Items After","Varer efter"
"Items Before","Varer før"
"Load customer quote error","Kunne ikke hente kundepriser"
"Loading next step...","Henter data..."
"Sign In","Log ind"
"Login","Log ind"
"Login/Registration Before","Login/registrering før"
"Manage Terms and Conditions","Administrer handelsbetingelser"
"Maximum Display Recently Added Item(s)","Maks-antal senest tilføjede varer"
"Maximum qty allowed for Shipping to multiple addresses is %s","Det maksimale antal tilladt for at kunne fragte til flere adresser er %s"
"Minimum order amount is %s","Det minimale ordrebeløb er %s"
"Move","Flyt"
