"Design now!","Gör eget skal!"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Endast inloggade kunder kan skriva recensioner. Vänlige <a href=""%s"">logga in</a> eller <a href=""%s"">registrera dig</a>"
"You have submitted no reviews.","Du har inte skrivit några recensioner."
"Your Rating:","Ditt betyg"
"Your review has been accepted for moderation.","Din recension väntar på granskning."
"Your Review (submitted on %s):","Din recension (skickades den %s):"
"Detailed Rating","Detaljerat betyg"
"Review Details","Detaljer för recension"
"Unable to post the review.","Det gick inte att posta recensionen."
"Be the first to review this product","Bli först med att recensera denna produkt"
"Rating:","Betyg:"
"Summary Rating","Betyg på sammanfattning"
"SKU","Artikelnummer"
"Product SKU","Art. nr. för produkt"
"Qty","Antal"
"All Reviews of Customer `%s`","Alla recensioner av kund `%s`"
"All Reviews","Alla recensioner"
"Administrator","Administratör"
"Are you sure?","Är du säker?"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"%s Review(s)","%s recension(er)"
"%d Review(s)","%d recension(er)"
"(Posted on %s)","(Skrevs den %s)"
"Display %s first","Visa %s först"
"Time selection:","Val av tid:"
"Left Column","Vänsterkolumn"
"Welcome, %s!","Välkommen, %s!"
"Date selection:","Välj datum:"
"Select date","Välj datum"
"Select Store:","Välj butik:"
"Select Store","Välj butik"
"Empty","Tomt"
"Time:","Tid:"
"Close Window","Stäng fönstret"
"Close","Stäng"
"Interface Language","Språk för gränssnittet"
"Page Top","Sidtopp"
"Page Footer","Sidfot"
"Page Bottom","Längst ner på sidan"
"Page:","Sida:"
"Report All Bugs","Rapportera alla fel"
"Redirecting...","Omdirigerar..."
"About the calendar","Om kalendern"
"Navigation Bar","Navigeringsmeny"
"Next month (hold for menu)","Nästa månad (håll ner för meny)"
"Next year (hold for menu)","Nästa år (håll ner för meny)"
"Next","Nästa"
"Click <a href=""%s"">here</a> if nothing has happened","Klicka <a href=""%s"">här</a> om inget händer"
"JavaScript seem to be disabled in your browser.","JavaScript verkar vara inaktiverad i din webbläsare."
"Main Content Area","Huvudinnehåll"
"Help Us to Keep Magento Healthy","Hjälp oss att förbättra Magento"
"Right Column","Högerkolumn"
"Free Shipping on orders over 50$","Gratis frakt på beställningar över 50 kr"
"Default welcome msg!","Förvald välkomstmeddelande!"
"Default Description","Förvald beskrivning"
"Prev. month (hold for menu)","Föregående månad (håll ner för meny)"
"Previous","Föregående"
"For latest version visit: %s","För senaste versionen gå till: %s"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Du måste ha JavaScript aktiverat i din webbläsare för att kunna använda funktionen på denna hemsida."
"Drag to move","Dra för att flytta"
"Your Language:","Ditt språk:"
"Your Language","Ditt språk"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Detta är en demobutik. Beställningar som görs här kommer inte att behandlas."
"Breadcrumbs","Breadcrumbs"
"Items %s to %s of %s total","Artiklar %s till %s av totalt %s"
"All Two-Column Layout Pages (Right Column)","Alla två kolumners layoutsidor (högerkolumn)"
"All Three-Column Layout Pages","Alla tre kolumners layoutsidor"
"All Empty Layout Pages","Alla tomma layoutsidor"
"All Pages (Print Version)","Alla sidor (skriv ut version)"
"All Pages","Alla sidor"
"All Two-Column Layout Pages (Left Column)","Alla 2-kolumners layoutsidor (vänsterkolumn)"
"All One-Column Layout Pages","Alla 1-kolumners layout sidor"
"3 columns","3 kolumner"
"2 columns with left bar","2 kolumner med vänster kolumn"
"2 columns with right bar","2 kolumner med högerkolumn"
"1 column","1 kolumn"
"%s Item(s)","%s artiklar"
"(ver. %s)","(version %s)"
"(Shift-)Click or drag to change value","(Skift-) klicka eller dra för att ändra"
"-- Please Select --","-- Vänligen välj --"
"- Hold mouse button on any of the above buttons for faster selection.","- Håll musknappen nedtryckt på någon av ovanstående knappar för snabbare val."
"- or Shift-click to decrease it","- eller klick på Shift för att minska det"
"- or click and drag for faster selection.","- eller klicka och dra för snabbare val."
"- Use the %s, %s buttons to select year","- Använd %s, %s knapparna för att välja år"
"- Use the %s buttons to select month","- Använd %s knapparna för att välja måand"
"Allow","Tillåt"
"Close","Stäng"
"Close Window","Stäng fönster"
"DHTML Date/Time Selector","DHTML Datum/Val av tid"
"Distributed under GNU LGPL. See %s for details.","Distribueras under GNU LGPL. Se% s för detaljer."
"Empty","Tom"
"For latest version visit: %s","För senaste versionen besök: %s"
"Go Today","Till idag"
"Vragen & contact","Frågor & Kontakt"
"Vragen en contact","Frågor och Kontakt"
"Vind snel jouw hoesje of cover!","Hitta ditt skal snabbt!"
"U kunt uw eigen fotos in jpg, gif of png formaat uploaden van maximaal 6MB grootte.","Du kan använda dina egna bilder i jpg eller png-format och ladda upp bilder i max 6 MB storlek.!"
"Maak je keuze","Gör ditt val"
"Ervaringen en reviews","Vittnesmål och recensioner"
"VERSTUUR","SäND"
"FAQS SEARCH","FAQs SöK"
"Search Faq's","Sök Faq's"
"FAQS","FAQS"
"Click on the Faq's topic","Clicka på Faq's rubriken"
"View all topics","Visa alla rubriker"
"Vraag direct een vrijblijvende offerte aan!","Be om en kostnadsfri offert!"
"No Faqs Found in this topic!","Inga frågor om detta ämne hittas!"
"Hieronder vindt u antwoorden op veelgestelde vragen. Staat uw vraag hier niet bij? Neem dan contact met ons op. Wij helpen u graag verder!","Här nedanför hittar du svaren på våra vanligaste frågor. Kan du inte hitta din fråga här? Då kan du kontakta oss när som helst. Vi hjälper dig!"
"Read more","Läs mer"
"Nieuwe klanten","Nya kunder"
"Ik ben al klant","Jag är redan kund"
"Required Fields","Obligatoriska fält"
"MAAK EEN ACCOUNT AAN","SKAPA DITT EGET KONTO"
"Maak een account aan","Skapa ditt eget konto"
"Logout","Logga ut"
"Mijn account","Mitt konto"
"U bent nu uitgelogd","Du är nu inloggad"
"Begin nu","Börja nu"
"Maak je eigen ontwerp","Gör din egen desgin"
"Kies het type telefoon en kleur","Välj din telefonmodell och färg"
"Upload een foto of kies uit onze tientallen designs","Ladda upp en bild eller välj en mall"
"Controleer je ontwerp en bestel!","Förhandsgranska din design och beställ!"
"Kies een foto","Välj en bild"
"upload","Ladda upp"
"Of kies een van onze eigen designs of kleuren","Eller välj en av våra egna mallar och färger"
"Designs","Designs"
"Comic","Komik"
"Kleur","Färg"
"Populair","Populära"
"Voeg tekst toe","Lägg till en text"
"Je eigen tekst","Din egen text"
"Voeg toe","Lägg till"
"Wijzig tekst","ändra text"
"In winkelwagen","Lägg till i KUNDVAGN"
"Controleer aub. uw ontwerp en voeg toe aan uw winkelwagen","Kontrollera din design och lägg den i varukorgen"
"Klik op foto of tekst om deze te bewerken","Om du vill redigera, klicka på bilden eller på texten"
"SHOPPING CART","KUNDVAGN"
"is toegevoegd aan uw winkelwagen","Har lagts till i din varukorg"
"VERDER WINKELEN","FORTSäTT HANDLA"
"WINKELWAGEN BIJWERKEN","UPPDATERING AV VARUKORG"
"Kortingscode","Rabattkod"
"Voer eventueel een kortingscode in","Ange rabattkod här"
"Al klant? Log dan in op uw account","Redan kund? Logga in med ditt konto"
"Street Name","Adres"
"House Number","Huisnr."
"House number and addition","Huisnr."
"Additional Address","Toev."
"Shipping","Frakt"
"TELEFOONNUMMER (10 CIJFERS)","TELEFONNUMMER"
"TELEFOONNUMMER","Telefonnumer"
"View shopping cart","VISA KUNDVAGNEN"
"Andere hoesjes","Andra skal"
"De heer","Herr"
"Mevrouw","Fru"
"Voeg tekst toe","Lägg till text"
"Verder winkelen","Fortsätt handla"
"Winkelwagen bijwerken","Uppdatera kundvagn"
"Controleer aub. uw ontwerp en voeg toe aan uw winkelwagen","Kontrollera din design och lägga till den i din kundvagn."
"Uw ontwerp wordt opgeslagen.","Din design har sparats"
"Afhankelijk van uw internetsnelheid en de grootte van het ontwerp kan dit tot enkele minuten duren.","Beroende på hastigheten på din Internet-anslutning och storleken på din fil, kan det ta ett par minuter."
"%s is toegevoegd aan uw winkelwagen.","%s har lagts till i kundvagnen."
"Controleer aub. uw ontwerp en voeg toe aan uw winkelwagen.","Kontrollera din design och lägga till den i din kundvagn"
"Wij verwerken uw bestelling. Bij grote afbeeldingen kan dit tot enkele minuten duren.","Vi behandlar din beställning. Beroende på filstorleken kan det ta några minuter."
"3 millimeter marge aanhouden rond alle randen","3 mm marginal på alla sidor"
"Plaats hier geen belangrijke gegevens.","Placera alla viktiga element i marginalen."
"Voeg hier uw tekst toe","Lägg till din text till denna katalog"
"Ship to the same address","Leverans till samma adress"
"Schrijf aub uw telefoonnummer als 02012345678.","Ange ditt telefonnummer med riktnummer."
"Total Amount","Total summa"
"Hieronder vindt u antwoorden op veelgestelde vragen. Staat uw vraag hier niet bij? Neem dan","Nedan hittar du våra vanligaste frågor. Hittar du inte din fråga? Vänligen kontakta oss för svar! "
"Kontakt", "Kontakt"
"met ons op. Wij helpen u graag verder!","oss omedelbart. Vi hjälper dig!"
"optie","Alternativ"
"Geen betaalinformatie benodigd","Ingen betalningsinformation krävs."
"Dit emailadres is al in gebruik","Den här e-postadressen är redan i bruk"
"U moet %sinloggen%s met dit emailadres om te bestellen of een %sander emailadres%s gebruiken om uw bestelling te voltooien.","Vänligen %slogga in%s med denna e-postadress eller använda en %sannan e-postadress%s för att slutföra din beställning."
"Hello, Mevrouw","Hej, Fru"
"Hello, De heer","Hej, Herr"
"Log in op uw account","Logga in på ditt konto"
"Jouw facebook foto's","Din Facebook bilder"
"Selecteer een categorie en klik op een foto om deze te uploaden naar GoCustomized.com.","Välj en kategori och klicka på en bild för att ladda upp den på GoCustomized."
"Jouw Instagram foto's","Dina Instagram bilder"
"Klik op een foto om deze te uploaden naar GoCustomized.com","Klicka på en bild för att ladda upp den på GoCustomized.com"
"Click on the Faq's topic:", "Klicka på Faq's rubriken"
"View all topics", "Visa alla ämnen"
"Search Faq's:", "Sök FAQ's:"
"Required Fields", "Obligatoriska fält"
"Bruin","Brun"
"Zwart","Svart"
"Wit","Vit"
"Transparant","Genomskinligt"
"Smartcover zonder case","Utan smartskal"
"Met Smartcase (harde case aan de achterkant)","Med Smart (hårt skal på baksidan)"
"Rondom bedrukt","Random tryck"
"Portemonnee hoesje","Plånboksfodral "
"Rood","Röd"
"Groen","Grön"
"Geel","Gul"
"Azuurblauw","Himmelblå"
"Donkergrijs","Mörkgrå"
"Matwit","Mattvit"
"Blauw","Blå"
"Zelfde foto op voor- en achterkant","Samma bild på framsidan och baksidan"
"Witte achterkant","Vit tillbaka"
"Zwarte achterkant","Svart bakre"
"Grijze achterkant","Grå bakre"
"Oranje achterkant","Orange bakre"
"Rode achterkant","Röd bakre"
"Groene Achterkant","Grön bakre"
"Roze achterkant","Rosa bakre"
"Lichtblauwe achterkant","Ljusblå bakre"
"Met opening voor pasje","Med kortplatser"
"Met venster","Med fönster"
"Hout","Trä"
"Portemonnee flipcover","Plånbok flipskal"
"Glanzed","Glänsande"
"Mat","Matt"
"bruin","brun"
"zwart","svart"
"wit","vit"
"transparant","genomskinligt"
"smartcover zonder case","utan smartskal"
"met Smartcase (harde case aan de achterkant)","med Smart (hårt skal på baksidan)"
"rondom bedrukt","random tryck"
"portemonnee hoesje","plånboksfodral "
"rood","röd"
"groen","grön"
"geel","gul"
"azuurblauw","himmelblå"
"donkergrijs","mörkgrå"
"matwit","mattvit"
"blauw","blå"
"zelfde foto op voor- en achterkant","samma bild på framsidan och baksidan"
"witte achterkant","vit tillbaka"
"zwarte achterkant","svart bakre"
"grijze achterkant","grå bakre"
"oranje achterkant","orange bakre"
"rode achterkant","röd bakre"
"groene Achterkant","grön bakre"
"roze achterkant","rosa bakre"
"lichtblauwe achterkant","ljusblå bakre"
"met opening voor pasje","med kortplatser"
"met venster","med fönster"
"hout","trä"
"portemonnee flipcover","plånbok flipskal"
"glanzed","glänsande"
"mat","matt"
"Gegraveerd","Graverat"
"Sort by","Sortera efter"
"Mijn Winkelwagen","Min kundvagn"
"Read more","Läs mera"
"FAQs Search","FAQs sök"
"Your order has been received","Vi har tagit emot din beställning"
"Click here to print a copy of your order confirmation.","Klicka här för att skriva ut en kopia av din orderbekräftelse"
"Uploaden geslaagd!","Ladda framgångsrikt!"
"Uploaden niet gelukt. U kunt alleen jpg, gif of png files uploaden","överföringen misslyckades. Du kan bara ladda upp jpg, png eller gift filer"
"Ontwerp nu!","Gör eget skal"
"You have cancelled the order. Please try again","Du har avbrutit din beställning, vänligen försök igen"
"On working days: Order before 5pm, shipped today","På arbetsdagar: Beställ innan kl. 17, sänds idag"
"On working days: Order before 4pm, shipped today","På arbetsdagar: Beställ innan kl. 16, sänds idag"
"On working days: Order before 3pm, shipped today","På arbetsdagar: Beställ innan kl. 15, sänds idag"
"On working days: Order before 1pm, shipped today","På arbetsdagar: Beställ innan kl. 13, sänds idag"
"On working days: Order before 4pm, shipped tomorrow","På arbetsdagar: Beställ innan kl. 16, sänds dagen efter"
"On working days: Order today, shipped tomorrow","På arbetsdagar: Beställ idag, skickas imorgon"
"Order today and it will be shipped on","Beställ idag och din beställning skickas den"
"Order today and it will be shipped in 3 days","Beställ idag och det kommer sändas inom 3 dagar"
"Order today and it will be shipped in 5 days","Beställ idag och det kommer sändas inom 5 dagar"
"Order today and it will be shipped in 8 days","Beställ idag och det kommer sändas inom 8 dagar"
"Order today and it will be shipped in 10 days","Beställ idag och det kommer sändas inom 10 dagar"
"Free Shipping","Gratis frakt"
"Shipped in 3 working days","Sänds inom 3 arbetsdagar"
"The","Det"
"white case","Vita skalet"
"black case"," Svarta skalet"
"transparent case","Genomskinliga skalet"
"matte case","Matta skalet"
"glossy case","Glansiga skalet"
"smartcover with SmartCase (hard case at the back)","Smart fodral med Smartskal (hårt skal på baksidan)"
"is currently not in stock and will be shipped on","är för närvarande inte i lager och kommer levereras den"
"De kwaliteit van de foto bepaalt het eindresultaat. Zoals de foto op het scherm wordt weergegeven is ook het eindresultaat.","Kvaliteten på bilden du laddat upp definierar kvaliteten på det tryckta skalet. Det du ser i designmodulen kommer att tryckas direkt på ditt skal. Vänligen ha detta i åtanke."
"Gekozen product:","Du designar:"
"quotetitle", "Sales"
"Contact with Gocustomized support","Behöver du hjälp? Kontakta oss här"
"Please include as much detail as possible","Kontakt"
"Please tell us your issue","Hur kan vi hjälpa dig?"
"Do you have an account?","Har du ett konto?"
"Hi %s, Please include as much detail as possible","Hej %s, ange din supportförfrågan"
"Hi %s, Tell us your issue","Hej, hur kan vi hjälpa dig?"
"My product(s)","Min produkt(er)"
"My shipment","Min leverans"
"Please select an issue","Vänligen välj din fråga eller klagomål"
"Please fill in the required fields","Vänligen fyll i de markerade fälten"
"Order number","Vad är din ordernummer?"
"Question related to","Din fråga är relaterad till:"
"Upload an image","Ladda upp en bild av problemet"
"Description of the issue","Din kommentar"
"for example","till exempel"
"Print quality","Tryck kvalitet"
"Product quality (item)","Produkt kvalitet (ex mobilskal)"
"change","ändra"
"Search for help by topic, keywords","Populära rubriker: fraktkostnaderna, returnerar, betalningsmetoder"
"Popular topics:","Populära rubriker:"
"return","returnerar"
"shipping","fraktkostnaderna"
"payment","betalningsmetoder"
"Topics","Rubrik"
"Thanks for reaching out to us we'll soon be in contact.","Tack för att du kontaktar oss. Vi kommer återkomma till dig så snart som möjligt!"
"Didn't find what you're looking for?","Hittade du inte vad du letar efter? Kontakta oss för direkt support"
"contact us","kontakta oss"
"No search results faq","Inga sökresultat för faq"
"How can we help you?","Hur kan vi hjälpa dig?"
"Sign in","Logga in"
"Other","Annat"
"Choose another Topic","Välj ett annat ämne"
"You are now logged out","Du är  nu utloggad"
"Company (not mandatory)","Företag (ej obligatoriskt)"
"Package not yet arrived","Paketet har ännu inte kommit"
"Request to change delivery address","Begäran om att ändra leveransadress"
"Request for cancellation","Begäran om avbokning"
"My product(s)","Min mottagna produkt"
"Product quality (item)","Trasiga eller skadade produkter"
"Print quality","Jag gillar inte bilden (färg, storlek, kvalitet)"
"Wrong product (does not fit)","Fel produkt (passar inte)"
"It is not what I expected","Det är inte vad jag förväntade mig"
"I would like to receive a new one","Jag skulle vilja få en ny"
"I would like to get a refund","Jag skulle vilja få en återbetalning"
"My preferred solution","Min föredragna lösning"
"Select subcategory","Välj underkategori"
"Choose your solution","Välj din lösning"
"DIRECT CUSTOMER SUPPORT","DIREKT KUNDSTÖD"
"Not (yet) a customer? You can get in contact with our support team %s","Inte (ännu) en kund eller en allmän fråga? Kontakta oss %s"
"here","här"
"Maximum 255 chars","Max 255 tecken"
"Base Image","Bild på produktsida"
"Small Image","Bild i kategorivy"
"Thumbnail","Bild i varukorg"
"Catalog New Products List","Katalog ny produktlista"
"Use In Search Results Layered Navigation","Använd i lagerbaserad navigattion för sökresultat"
"Delete Category","Ta bort kategori"
"Anchor Custom Text","Anpassad ankartext"
"There are no products matching the selection.","Det finns inga produkter som matchar urvalet."
"Category attributes API","Kategoriattribut API"
"* Required Fields","* Obligatoriska fält"
"Watermark Default Size","Förvald storlek för vattenmärke"
"Skipping import row, required field ""%s"" for new products is not defined.","Hoppar över importrad, obligatorisk fält ""%s"" för nya produkter är inte definerat."
"Attribute with the same code already exists","Ett attribut med samma kod existerar redan"
"Total of %d record(s) have been updated.","Totalt %d post(er) har uppdaterats."
"Retrieve one level of categories by website/store view/parent category","Hämta en nivå med kategorier per website/butiksvy/förälder kaegori"
"Add Root Category","Lägg till rotkategori"
"System Properties","Systemegenskaper"
"Product Prices","Produktpriser"
"Maximum Qty Allowed in Shopping Cart","Maximalt antal tillåtet i varukorg"
"Search","Sök"
"search","sök"
"Page Title Separator","Avskiljare för sidtitel"
"Index product attributes for layered navigation building","Index produktattribut för lagerbaserad navigation byggs om"
"Qty Uses Decimals","Antal decimaler"
"Duplicate website, country and state tax found.","Duplicerad webbplats, land och regionmoms funnen."
"Please specify time required option(s).","Vänligen ange de obligatoriska tidalternativen."
"Is Required","Är obligatorisk"
"Compare","Jämföra"
"You have to specify at least one recipient.","Du måste ange minst en mottagare."
"Move category in tree","Flytta kategori i trädet"
"File options format is not valid.","Filalternativ formatet är inte giltigt."
"Buy %1$s for %2$s (%3$s incl. tax) each","Köp %1$s för %2$s (%3$s inkl moms) per st"
"Update attributes","Uppdatera attribut"
"Customers Tagged Product","Kunders uppmärkta produkter"
"An error occurred while clearing comparison list.","Ett fel uppstod medan listan för jämförelse nollställdes."
"The product %s has been removed from comparison list.","Proudkten %s har tagits bort från jämförelselistan."
"Catalog Seo Sitemap (Category List)","Katalog SEO Sitemap (Kategori lista)"
"Use in Advanced Search","Använd i avancerad sökning"
"Set Root Category for Store","Välj butikens rotkategori"
"Please select products for attributes update","Vänligen välj produkter för att uppdatera attribut"
"Are you sure you would like to remove this item from the compare products?","Är du säker på att du vill ta bort denna produkt från jämförelsen?"
"This attribute set no longer exists.","Detta attribut finns inte längre."
"Remove Product From Websites","Ta bort produkt från webbplatser"
"Product Alerts","Produktnotifikationer"
"List Mode","Listläge"
"Create new product","Skapa ny produkt"
"No layout updates","Inga layoutuppdateringar"
"Grid","Rutnät"
"Additional Information","Mer information"
"The base directory to upload image file is not specified.","Baskatalogen för att ladda upp bildfilen är inte angiven."
"Product attribute sets API","Produkt attributmängds API"
"Minimum Qty for Item\'s Status to be Out of Stock","Minsta antal innan lagerstatus ändras till ""Slut i lager"""
"Select Configurable Attributes ","Välj konfigurerbara attribut"
"Please add rows to option.","Vänligen lägg till rad för valet."
"Invalid attribute %s.","Ogiltigt attribut %s."
"Quick Create","Snabbskapa"
"Edit Set Name","Redigera, sätt namn"
"Prev","Föregående"
"Learn More","Läs mer"
"Country/State","Land/Region"
"each","varje"
"New Products","Nya produkter"
"Cannot create image.","Kan inte skapa bild"
"Url Rewrite Management","Hantera URL-omskrivningar"
"Declare attribute value saving scope","Deklarera sparningsomfång för attributvärde"
"An error occurred while saving the collection, aborting. Error message: %s","Ett fel uppstod när kollektionen sparades, avbryter. Felmeddelande: %s"
"The product has required options","Produkten har obligatoriska val"
"Categories Sitemap","Webbkarta för kategorier"
"Value for ""%s"" is invalid: %s","Värdet för ""%s"" är ogiltig: %s"
"Show Details","Visa detaljer"
"Associated Products","Associerade produkter"
"Tile","Titel"
"Retrieve attribute data","Hämta attributdata"
"Add New Attribute Set","Lägg till ny attributmängd"
"Static","Statisk"
"Product Image Watermarks","Vattenmärken för produktbild"
"Manage Options (values of your attribute)","Hantera alternativ (dina attributs värden)"
"Root","Rot"
"Number of Products to Display","Antal produkter att visa"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Om du inte anger ett värde för valet på butiksvynivå kommer det förvalda (Admin) värdet användas."
"Products Comparison List","Produktjämförelselista"
"Depends on design theme","Beroende av designtema"
"Invalid option ID specified for %s (%s), skipping the record.","Ogiltigt alternativid specificerad för %s (%s), hoppar över posten."
"Change status","Ändra status"
"AM","Förmiddag"
"Wrong option type to get group instance.","Felaktig valtyp för att hämta grupp instans"
"Sort Order","Sortering"
"Error during retrieval of option value: %s","Ett fel uppstod när alternativvärdet skulle hämtas för: %s"
"Backend Table Title","Tabelltitel för administrationsdelen"
"Unassigned Attributes","Otilldelade attribut"
"Retrieve product tier prices","Hämta stafflade priser för produkt"
"Create Simple Associated Product","Skapa enkel relaterad produkt"
"select all","välj alla"
"No image","Ingen bild"
"Get special price","Få specialpris"
"Catalog Category (Non-Anchor)","Katalog kategori (icke ankare)"
"Use Flat Catalog Category","Använd flat kategoritabell"
"Delete Attribute","Ta bort attribut"
"An invalid option ID is specified for %s (%s), skipping the record.","Ett ogiltigt alternativ id är specificerad  för %s (%s), hoppar över rad."
"There are no customers for this alert","Inga kunder prenumererar på denna bevakning."
"Category Top Navigation","Kategorier toppnavigering"
"(Copy data from: %s)","(Kopiera data från: %s)"
"Visible on Product View Page on Front-end","Synlig på kunddelens produktsidor"
"Skip import row, required field ""%s"" for the new customer is not defined.","Hoppar över importrad, obligatorisk fält ""%s"" för den nya kunden är inte angiven."
"Attribute Set","Attributmängd"
"Total incl. Tax: %1$s","Summa inkl. moms: %1$s"
"Retrieve linked products","Hämta länkade produkter"
"Add Product","Lägg till produkt"
"Super product attributes configuration","Konfiguration av superattribut för produkt"
"Product Link Inline Template","Produktlänk Inline mall"
"Maximal Depth","Maximalt djup"
"Save and Continue Edit","Spara och fortsätt ändra"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Vår kundservice är tillgänglig 24/7. Ring oss på (555) 555-0123."
"Products per Page on List Allowed Values","Produkter per sida i listnät, tillåtna värden"
"Duplicate website tier price customer group and quantity.","Duplicera kundgrupp och kvantitet för webbplatsens nivåpris."
"Please specify the product\'s option(s).","Vänligen ange produktens obligatoriska val"
"Inventory","Lageralternativ"
"Comparable on Front-end","Jämförbar i kunddelen"
"You have exceeded limit of %d sends in an hour.","Du har överskridit gränsen på %d sändningar på en timme."
"More Views","Fler bilder"
"Feature Products","Kampanjproduker"
"Bottom/Right","Nedre del/Höger"
"Update Tier Price","Uppdatera stafflade priser"
"Customer Group","Kundgrupp"
"Allowed File Extensions","Tillåtna filtyper"
"The image is not specified.","Bilden är inte angiven."
"Catalog Section","Katalogdel"
"Use default","Använd förvalt"
"Set Descending Direction","Fallande ordning"
"One or more items in your order are not on stock. Your total order will be shipped on %s","En eller flera artiklar i din beställning finns inte i lager. Din totala beställning skickas vidare %s"
"Please select one or more attributes.","Vänligen välj ett eller flera attribut."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Detta attribut används i konfigurerbara produkter. Du kan inte ta bort det från attributmängden."
"Related Products","Relaterade produkter"
"Link to a Specified Category","Länk till en specifik kategori"
"Unable to find an attribute to delete.","Det gick inte att hitta ett attribut att ta bort."
"Retrieve product image types","Hämta typer för produktbilder"
"Add to Compare","Lägg till jämförelse"
"The attribute model is not defined","Attribut model är inte definerad"
"Product Type","Produkttyp"
"Minimum Lines per Page","Minimiantal, rader per sida"
"Searchable","Sökbar"
"Pending","Avvaktande"
"Invalid Tier Prices","Felaktigt Stafflat Pris"
"Quantity","Antal"
"Edit Search","Ändra sök"
"Copy From Configurable","Kopiera från konfigurerbar"
"[GLOBAL]","[GLOBALT]"
"New Product","Ny produkt"
"For internal use.","För internt bruk."
"Can be used only with catalog input type Dropdown","Kan endast användas tillsammans med indatatyp för katalog satt till rullgardinsmeny"
"Update product tier prices","Uppdatera produkt stafflade priser"
"Date Subscribed","Prenumeration påbörjades"
"An error occurred while saving the URL rewrite.","Ett fel uppstod när URL omskrivningen sparade."
"The product has been duplicated.","Produkten har duplicerats."
"Catalog, Search","Katalog, sök"
"Use in Quick Search","Använd i snabbsökning"
"Shopping Options","Alternativ för att handla"
"Assign product link","Tilldela produktlänk"
"This is a required option","Detta är ett obligatoriskt val"
"Reset","Nollställ"
"Add New","Lägg till ny"
"Starting at:","Börjar på:"
"Product Extra Info","Produkt extra info"
"Manage Label / Options","Hantera etiketter / alternativ"
"Save","Spara"
"Notify for Quantity Below","Meddelade när lagersaldo är under"
"If empty, the Category Name will be used","Om tomt, kommer kategorins namn att användas"
"Delete category","Ta bort kategori"
"Are you sure you want to delete this category?","Är du säker på att du vill ta bort denna kategori?"
"Invalid category.","Ogiltig kategori."
"Change or Retrieve attribute store view","Ändra eller hämta attributbutiksvy"
"A product type is not defined for the indexer.","En produkttyp är inte definerad för indexeraren."
"Websites","Webbplatser"
"Some of the products below do not have all the required options. Please remove them and add again with all the required options.","Några av produkterna nedan har inte alla obligatoriska val. Vänligen ta bort dem och lägg till de igen med alla obligatoriska val."
"Redirect URL","URL för omdirigering"
"Empty","Tom"
"Price: %s","Pris: %s"
"Link product does not exist.","Produktlänk finns inte."
"Create Permanent Redirect for old URLs if Url key changed","Skapa 301 redirect för gamla URL:er om URL-key är ändrat"
"save","Spara"
"New Subcategory","Ny underkategori"
"Gallery","Galleri"
"Catalog","Katalog"
"Use Default Value","Använd förvalt värde"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definierar basvalutans omfång (""Valuta inställningar""> ""Valuta alternativ""> ""Basvaluta"")."
"An error occurred while updating the product(s) status.","Ett fel uppstod när produkternas status uppdaterades."
"The text is too long","Texten är för lång"
"Category Products","Produkter i kategori"
"%1$s incl tax.","%1$s inkl moms.."
"View as","Visa som"
"Skip import row, is not valid value ""%s"" for field ""%s""","Hoppar över importrad, ""%s"" är inte ett giltigt värde för fältet ""%s"""
"Attribute Model","Attributmodell"
"Top/Left","Överst/Vänster"
"Retrieve hierarchical tree","Hämta hierarkiskt träd"
"Add New Search Term","Lägg till ny sökterm"
"Stretch","Tänj"
"Product Information","Information om produkt"
"Manage Titles (Size, Color, etc.)","Hantera titlar (storlek, färg, etc.)"
"Save Search","Spara sökning"
"Options is required","Alternativ krävs"
"Image type and information need to be specified for each store view.","Typ och information för bild måste anges för varje butiksvy."
"Products per Page on Grid Allowed Values","Produkter per sida i rutnät, tillåtna värden"
"Double click on a group to rename it","Dubbelklicka på en grupp för att ändra dess namn"
"Please specify the product required option(s).","Vänligen ange produktens obligatoriska val"
"Invalid tier prices. The product is not associated to the requested website.","Ogiltiga stafflade priser. Produkten är inte associerat till den begärda webbsidan."
"Comparable","Jämförbar"
"You cannot remove system attribute from this set.","Du kan inte ta bort systemattribut från denna mängd."
"Failed to move file: %s","Misslyckades med att flytta filen %s"
"Block after Info Column","Block efter Infokolumn"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Alla produkter tillhörande denna mängd kommer tas bort! Är du säker att du vill ta bort denna attributmängd?"
"The filters must be an array.","Filtret måste vara en array."
"Product with this combination of attributes already associated to configurable.","Det existerar redan en produkt som är relaterad med konfigurerbar och som har samma kombination av attribut."
"Use To Create Configurable Product","Använd för att skapa konfigurerbar produkt"
"Send Count","Leveransräknare"
"Please select a static block ...","Vänligen välj ett statiskt block..."
"This attribute cannot be edited.","Detta attribut kan inte ändras."
