"REQUEST YOUR QUOTE","RICHIEDI IL TUO PREVENTIVO"
"Wishlist - %d item(s)","Wishlist - %d oggetti"
"Would you like to change the Customer Group for this order?","Vorresti cambiare il gruppo cliente per questo ordine?"
"Wrong confirmation key.","Codice di conferma errato"
"Wrong customer account specified.","Account cliente specificato errato"
"Wrong email.","Email errata."
"Wrong transactional account email type","Tipo di email accout transizionali errato"
"YYYY","YYYY"
"Year","Anno"
"You are currently not subscribed to any newsletter.","Non sei iscritto a nessuna newletter al momento."
"You are currently not subscribed to our newsletter.","Non sei iscritto alla nostra newletter al momento."
"You are currently subscribed to 'General Subscription'.","Sei attualmente iscritto a  'Iscrizioni generali'."
"You are currently subscribed to our newsletter.","Sei attualmente iscritto alla nostra newsletter."
"You are now logged out","Non hai effettuato l'accesso."
"You have logged out and will be redirected to our homepage in 5 seconds.","Hai effettuato l'uscita. Sarai reindirizzato nella tua homepage in 5 secondi."
"You have no additional address entries in your address book.","Non hai altri indirizzi nella tua rubrica."
"You have no additional entries in your address book.","Non hai altre voci nella rubrica."
"You have no default billing address in your address book.","Non hai un indirizzo di fatturazione predefinito nella rubrica."
"You have no default entries in your address book.","Non hai voci predefinite nella rubrica."
"You have no default shipping address in your address book.","Non hai un indirizzo di spedizione predefinito nella rubrica."
"You have not set a default billing address.","Non hai impostato un indirizzo di fatturazione predefinito."
"You have not set a default shipping address.","Non hai impostato un indirizzo di spedizione predefinito."
"You have placed no orders yet.","Non hai ancora effettuato nessun ordine."
"You have placed no products yet.","Non hai ancora inserito nessun prodotto."
"You will be charged tax.","Ti verranno addebitate le tasse."
"You will not be charged tax.","Non ti verranno addebitate le tasse."
"Your Tax ID cannot be validated.","Il tuo ID fiscale non può essere convalidato."
"Your VAT ID was successfully validated.","Il tuo numero di partita IVA è stato convalidato."
"Your account balance is: %s","Il bilancio del tuo account è: %s"
"ZIP","CAP"
"ZIP/Post Code","CAP"
"Zip/Postal Code","CAP"
"n/a","n/a"
"or","o"
"register","registrati"
"Group for Valid VAT ID - Domestic","Gruppo per Partita IVA  - Nazionale"
"Group for Valid VAT ID - Intra-Union","Gruppo per Partita IVA - Intra-Unione"
"Disable Automatic Group Change Based on VAT ID","Disabilitare automaticamente il cambio di gruppo in base al numero di partita IVA"
"Enable CAPTCHA on Frontend","Abilita CAPTCHA nel Frontend"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","I CAPTCHA per i form ""Creazione Utente"" e ""Password smarrita"" sono sempre attivi"
"Displaying Mode","Modalità di visualizzazione"
"CAPTCHA Timeout (minutes)","Timeout CAPTCHA (minuti)"
"Number of Unsuccessful Attempts to Login","Numero di tentativi non riusciti per il login"
"If 0 is specified, CAPTCHA on the Login form will be always available.","se è impstato su 0, i CAPTCHA nel form di Login saranno sempre attivi."
"Number of Symbols","Numero di simboli"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Specifica 8 simboli o più. Sono consentiti anche intervalli (es. 3-5)"
"Symbols Used in CAPTCHA","Simboli utilizzati nei CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Usa solo lettere (a-z o A-Z) o numeri (0-9) in questo campo. Gli spazi o altri caratteri non sono permessi.<br />Caratteri visivamente simili (es. ""i"", ""l"", ""1"") diminuiscono le possibilità che il cliente riconosca correttamente i simboli.."
"There are no items in customer's shopping cart at the moment","Non ci sono oggetti nel carrello del cliente in questo momento."
"Date Of Birth","Data di nascita"
"Middle Name/Initial","Secondo nome/Iniziale"
"Associate to Website","Associalo al Sito web"
"If you are a registered VAT customer, please click <a href=""""%s"""">here</a> to enter you billing address for proper VAT calculation","Se hai una P.IVA registrata, clicca <a href=""""%s"""">qui</a> per inserire un indirizzo di fatturazione per un corretto calcolo dell'IVA"
"If you are a registered VAT customer, please click <a href=""""%s"""">here</a> to enter you shipping address for proper VAT calculation","Se hai una P.IVA registrata, clicca <a href=""""%s"""">qui</a> per inserire un indirizzo di spedizione per un corretto calcolo dell'IVA"
"# of Use","# di utilizzi"
"%1$s incl tax.","%1$s incl tasse."
"%s - %s","%s - %s"
"%s Item(s)","%s Prodotti/o"
"%s and above","%s e oltre"
"%s-%s of %s","%s-%s di %s"
"(%d)","(%d)"
"(Copy data from: %s)","(Copia dati da: %s)"
"* Required Fields","* Campi obbligatori"
"-- Please Select --","-- Seleziona --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 impostare come predefinito, se non è impostato. Per ricaricare istantaneamente, svuotare i  blocchi HTML Output Cache."
"<strong style=""""color:red"""">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""""color:red"""">Attenzione!</strong> Applicando MAP come predefinito nasconderai tutti i prezzi prodotto nel frontend."
"A group with the same name already exists.","Esiste già un gruppo con lo stesso nome."
"A name is required","È richiesto un nome"
"A product type is not defined for the indexer.","Il tipo di prodotto non è definito per l\'indicizzazione."
"ALL GROUPS","TUTTI I GRUPPI"
"AM","AM"
"Action","Azione"
"Actual Price","Prezzo attuale"
"Add Attribute","Aggiungi attributo"
"Add Design Change","Aggiungi modifica al design"
"Add Group","Aggiungi gruppo"
"Add Group Price","Aggiungi gruppo prezzo"
"Add New","Aggiungi nuovo"
"Add New Attribute","Aggiungi un nuovo attributo"
"Add New Attribute Set","Aggiungi un nuovo Set di attributi"
"Add New Group","Aggiungi nuovo gruppo"
"Add New Images","Aggiungi nuove immagini"
"Add New Option","Aggiungi nuove opzioni"
"Add New Row","Aggiungi nuova riga"
"Add New Search Term","Aggiungi un nuovo termine di ricerca"
"Add New Set","Aggiungi nuovo set"
"Add Product","Aggiungi prodotto"
"Add Product To Websites","Aggiungi prodotto al sito"
"Add Root Category","Aggiungi categoria di root"
"Add Subcategory","Aggiungi sottocategoria"
"Add Tax","Aggiungi tasse"
"Add Tier","Aggiungi fascia"
"Add attribute into attribute set","Aggiungi attributo al set di attributi"
"Add group into attribute set","Aggiungi gruppo al set di attributi"
"Add new custom option into product","Aggiungi nuova opzione personalizzata nel prodotto"
"Add new values into custom option","Aggiungi nuovi valori all\'opzione personalizzata"
"Add option","Aggiungi opzione"
"Add to Compare","Confronta"
"Add to Wishlist","Aggiungi alla Wishlist"
"Additional Information","Ulteriori informazioni"
"Alert Urls","Url di allerta"
"All Product Types","Tutti i tipi di prodotto"
"All Websites","Tutti i siti"
"All products","Tutti i prodotti"
"All products - recently added products, New products - products marked as new","Tutti i prodotti – prodotti aggiunti di recente, nuovi prodotti – prodotti segnati come nuovi"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Tutti i prodotti di questo set saranno cancellati! Sei sicuro di voler cancellare questo set di attributi?"
"Allow All Products per Page","Consenti tutti i prodotti per pagina"
"Allow Dynamic Media URLs in Products and Categories","Consenti Media URL dinamici nei prodotti e nelle categorie"
"Allow HTML Tags on Frontend","Consenti tags HTML nel Frontend"
"Allowed File Extensions","Estensione file permesse"
"Allowed file extensions to upload","Estensione file permessa per il caricamento"
"Amount","Importo"
"An error occurred while adding products to websites.","Si è verificato un errore durante l\'aggiunta dei prodotti al sito."
"An error occurred while clearing comparison list.","Si è verificato un errore durante la pulizia della lista di comparazione."
"An error occurred while deleting this review.","Si è verificato un errore durante la rimozione di questa recensione."
"An error occurred while removing products from websites.","Si è verificato un errore durante la rimozione di prodotti dal sito."
"An error occurred while saving the URL rewrite","Si è verificato un errore durante il salvataggio dell\'URL rewrite."
"An error occurred while saving the attribute set.","Si è verificato un errore durante il salvataggio del set di attributi."
"An error occurred while saving the collection, aborting. Error message: %s","Si è verificato un errore durante il salvataggio della raccolta, terminato. Messaggio di errore: %s"
"An error occurred while saving the product. ","Si è verificato un errore durante il salvataggio del prodotto. "
"An error occurred while saving the search query.","Si è verificato un errore durante il salvataggio della query di ricerca."
"An error occurred while saving this group.","Si è verificato un errore durante il salvataggio di questo gruppo."
"An error occurred while saving this review.","Si è verificato un errore durante il salvataggio di questa recensione."
"An error occurred while trying to delete the category.","Si è verificato un errore durante il tentativo di cancellare la categoria."
"An error occurred while updating the product(s) attributes.","Si è verificato un errore durante l\'aggiornamento dgli attributi dei/l prodotto/i."
"An error occurred while updating the product(s) status.","Si è verificato un errore durante l\'aggiornamento dello stato del/i prodotto/i."
"An invalid group ID is specified, skipping the record.","È stato specificato un ID gruppo non valido, salta il record."
"An invalid option ID is specified for %s (%s), skipping the record.","È stato specificato un ID opzione non valido per %s (%s), salta il record."
"An invalid store was specified.","È stato specificato un negozio non valido."
"Anchor Custom Text","Ancora testo personalizzato"
"Anchor Custom Title","Ancora titolo personalizzato"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicabile solo ai prodotti del catalogo e alle categorie. Qualsiasi contenuto media sarà inserito nell\'editor come un URL statico. Non sarà aggiornato nel caso di cambiamento delle configurazione di base del sistema URL."
"Apply MAP (Default Value)","Applica MAP (Valore predefinito)"
"Apply To","Applica a"
"Approved","Approvato"
"Are you sure you want to delete this category?","Sei sicuro di voler cancellare questa categoria?"
"Are you sure you would like to remove all products from your comparison?","Sei sicuro di voler rimuovere tutti i prodotti dal confronto?"
"Are you sure you would like to remove this item from the compare products?","Sei sicuro di voler rimuovere questo elemento dal confronto dei prodotti?"
"Are you sure?","Sei sicuro?"
"As low as:","A partire da:"
"Assign","Assegna"
"Assign product link","Assegna link prodotto"
"Assign product to category","Assegna prodotto alla categoria"
"Assigned Products","Prodotti assegnati"
"Associated Products","Prodotti associati"
"Attrib. Set Name","Nome set attrib."
"Attribute ""%s"" is invalid.","L\'attributo ""%s"" non è valido."
"Attribute ""%s"" is required.","L'attributo ""%s"" è obbligatorio."
"Attribute Information","Informazioni attributo"
"Attribute Model","Modello attributo"
"Attribute Name:","Nome attributo:"
"Attribute Set","Set di attributi"
"Attribute Sets","Set di attributi"
"Attribute add","Aggiungi attributo"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Il codice attributi non è valido. In questo campo utilizzare solo lettere (a-z), numeri (0-9) o underscore(_), il primo carattere deve essere una lettera."
"Attribute group with the \"/name/\" name already exists","Il gruppo di attributi con il nome \"/name/\" esiste già"
"Attribute group with the \/name/\ name already exists","Attribute group with the \/name/\ name already exists"
"Attribute remove","Rimuovi attributo"
"Attribute with the same code already exists","Un attributo con lo stesso codice esiste già"
"Attributes","Attributi"
"Attrribute names can be specified per store.","Il nome degli attributi può essere specificato per ogni negozio."
"Autogenerate","Autogenerato"
"Availability:","Disponibilità:"
"Backend Model","Modello Backend"
"Backend Table","Tabella Backend "
"Backend Table Title","Titolo tabella Backend"
"Backorders","Backorders"
"Base Image Width","Larghezza Base Image"
"Based On","Basato su"
"Before Order Confirmation","Prima della conferma dell'ordine"
"Best Value","Valore migliore"
"Block after Info Column","Blocco dopo info colonna"
"Bottom Block Options Wrapper","Wrapper blocco opzioni in basso"
"Bottom/Left","In basso/Sinistra"
"Bottom/Right","In basso/destra"
"Browse By","Sfoglia per"
"Bundle Items","Prodotti Bundle"
"Buy %1$s","Acquista %1$s"
"Buy %1$s for","Acquista %1$s per"
"Buy %1$s for %2$s","Acquista %1$s per %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Acquista %1$s per %2$s (%3$s incl. tasse) ciascuno"
"Buy %1$s for %2$s each","Acquista %1$s a %2$s ciascuno"
"Cache Lifetime (Seconds)","Durata Cache (Secondi)"
"Cache refresh needed.","È necessario ricaricare la Cache."
"Can be Divided into Multiple Boxes for Shipping","Può essere diviso in più scatole per la spedizione"
"Can be used only with catalog input type Dropdown","Può essere utilizzato solo con catologo con input dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Può essere utilizzato solo con il tipo di input dropdown, Selezione multipla e prezzo"
"Can\'t create image.","Impossibile creare l\'immagine."
"Cancel","Cancella"
"Cannot create image.","Impossibile creare l\'immagine."
"Cannot create writeable directory '%s'.","Impossibile creare la directory scrivibile '%s'."
"Cart Item Attribute","Attributi articoli carrello"
"Catalog","Catalogo"
"Catalog Category (Anchor)","Categoria catalogo (Ancorato)"
"Catalog Category (Non-Anchor)","Categoria catalogo (Non ancorato)"
"Catalog Category (Without Subcategories)","Categoria catalogo (Senza sottocategorie)"
"Catalog Category Link","Link categoria catalogo"
"Catalog New Products List","Elenco nuovi prodotti catalogo"
"Catalog Price Scope","Campo di applicazione prezzo catalogo"
"Catalog Product Compare List","Elenco di confronto prodotti catalogo"
"Catalog Product Email to a Friend","Invia ad un amico il catalogo prodotti"
"Catalog Product Image Gallery Popup","Galleria Popup immagini catalogo prodotti "
"Catalog Product Link","Link prodotti catalogo"
"Catalog Product View (Any)","Vedi catalogo prodotti (Qualsiasi)"
"Catalog Product View (Configurable)","Vedi catalogo prodotti (Configurabili)"
"Catalog Product View (Grouped)","Vedi catalogo prodotti (Raggruppato)"
"Catalog Product View (Simple)","Vedi catalogo prodotti (Semplice)"
"Catalog Product View (Virtual)","Vedi catalogo prodotti (Virtuali)"
"Catalog Section","Sezione catalogo"
"Catalog Seo Sitemap (Category List)","Sitemap Catalogo Seo (Lista categorie)"
"Catalog Seo Sitemap (Category Tree)","Sitemap Catalogo Seo (Albero categorie)"
"Catalog Seo Sitemap (Common)","Sitemap Catalogo Seo (Comune)"
"Catalog Seo Sitemap (Product List)","Sitemap Catalogo Seo (Elenco prodotti)"
"Catalog URL Rewrites","URL Rewrites del catalogo"
"Catalog product custom option values API","API prodotto catalogo valori opzione personalizzata"
"Catalog product custom options API","API prodotto catalogo opzioni personalizzate"
"Catalog, Search","Catalogo, Ricerca"
"Categories","Categorie"
"Categories Sitemap","Categorie sitemap"
"Category","Categoria"
"Category API","Categoria API"
"Category Data","Categoria Dati"
"Category Flat Data","Categoria dati Flat"
"Category Link Block Template","Link categoria blocco Template"
"Category Link Inline Template","Link Categoria inline Template "
"Category Products","Prodotti categoria"
"Category Top Navigation","Navigazione Categorie"
"Category URL Suffix","Suffisso URL Categoria"
"Category attributes API","Attributi categoria API"
"Category move error","Errore spostamento categoria"
"Category move error %s","Errore spostamento categoria %s"
"Category move operation is not possible: parent category is equal to child category.","Lo spostamento della categoria non è possibile: la categoria genitore è uguale alla categoria figlio."
"Category move operation is not possible: the current category was not found.","Lo spostamento della categoria non è possibile: la categoria non è stata trovata."
"Category move operation is not possible: the new parent category was not found.","Lo spostamento della categoria non è possibile: nuova categoria genitore non trovata."
"Category must be an instance of Mage_Catalog_Model_Category.","La categoria deve essere un istanza di Catalog_Model_Category."
"Center","Centro"
"Change","Cambia"
"Change or Retrieve attribute store view","Cambiare o recuperare attributo vista negozio"
"Change status","Cambia stato"
"Check items to add to the cart or","Spunta i prodotti per aggiungerli al carrello o"
"Choose an Option...","Scegli un opzione..."
"Clear All","Cancella tutto"
"Clear Price","Cancella prezzo"
"Click for price","Clicca per il prezzo"
"Close Window","Chiudi finestra"
"Collapse All","Comprimi tutto"
"Comma-separated.","Separati da virgole."
"Comparable","Comparabile"
"Comparable on Front-end","Comparabile sul Front-end"
"Comparable on the Frontend","Comparabile sul Frontend"
"Compare","Confronta"
"Compare Products","Confronta prodotti"
"Conditions Combination","Combinazione di Condizioni"
"Configurable Product","Prodotto configurabile"
"Configurable Product Settings","Impostazioni prodotto configurabile"
"Configure Product","Configura prodotto"
"Continue","Continua"
"Copy From Configurable","Copia da configurabile"
"Country/State","Paese/Stato"
"Create","Crea"
"Create (Upload)","Crea (caricamento)"
"Create Empty","Crea vuoto"
"Create Permanent Redirect for URLs if URL Key Changed","Crea un reindirizzamento permanente per i vecchi URL se la URL key è cambiata"
"Create Permanent Redirect for old URL","Crea un reindirizzamento permanente per il vecchio URL"
"Create Product Settings","Crea impostazioni prodotto"
"Create Simple Associated Product","Crea prodotto semplice associato"
"Create attribute set based on another set","Crea un set di attributi basato su un altro set"
"Create new attribute","Crea nuovo attributo"
"Create new category","Crea nuova categoria"
"Create new product","Crea nuovo prodotto"
"Cross-sells","Prodotti consigliati"
"Custom Design","Design personalizzato"
"Custom Options","Opzioni personalizzate"
"Custom options","Opzioni personalizzate"
"Customer Group","Gruppo cliente"
"Customers Reviews","Recensioni clienti"
"Customers Tagged Product","Clienti che hanno taggato il prodotto"
"Data Type for Saving in Database","Tipo dati per salvataggio nel Database"
"Date & Time Custom Options","Opzioni personalizzate Data & ora "
"Date Fields Order","Ordine dei campi data"
"Date Subscribed","Data di registrazione"
"Datetime","Dataora"
"Decimal","Decimale"
"Declare attribute value saving scope","Dichiarare il campo di applicazione in cui salvare il valore dell'attributo"
"Default """"What's This"""" Text Message","Messaggio """"Cos'è questo"""" predefinito"
"Default Popup Text Message","Messaggio Popup predefinito"
"Default Price","Prezzo predefinito"
"Default Price Navigation Step","Prezzo predefinito negli step di navigazione"
"Default Qty","Qtà predefinita"
"Default Values","Valori predefiniti"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definire il campo di applicazione della valuta (""Impostazioni valuta"" > ""Opzioni valuta"" > ""valuta corrente"")."
"Delete","Elimina"
"Delete Attribute","Elimina attributo"
"Delete Attribute Set","Elimina set di attributi"
"Delete Category","Elimina categoria"
"Delete Group Price","Cancella prezzo del gruppo"
"Delete Option","Elimina opzioni"
"Delete Row","Elimina riga"
"Delete Search","Elimina ricerca"
"Delete Selected Group","Elimina gruppo selezionato"
"Delete Tier","Cancella Fascia"
"Delete attribute","Cancella attributo"
"Delete category","Elimina categoria"
"Delete product","Elimina prodotto"
"Depends on design theme","Dipende dal design del tema"
"Description","Descrizione"
"Design","Design"
"Details","Dettagli"
"Disabled","Disabilitato"
"Disallowed file type.","Vieta tipo di file."
"Display Actual Price","Visualizza prezzo attuale"
"Display Page Control","Mostra controllo pagina"
"Display Price Interval as One Price","Mostra gli intervalli di prezzo come un unico prezzo"
"Display Product Count","Visualizza conteggio prodotto"
"Display Type","Mostra tipo"
"Display in Suggested Terms","Mostra fra i termini consigliati"
"Double click on a group to rename it","Doppio click su un gruppo per rinominarlo"
"Double click on above image to view full picture","Doppio click sull'immagine per ingrandirla"
"Downloadable Information","Informazioni scaricabili"
"Duplicate","Duplicato"
"Duplicate amount found.","Importo trovato duplicato."
"Duplicate website group price customer group.","Duplica sito gruppo prezzo gruppo cliente."
"Duplicate website tier price customer group and quantity.","Duplica sito fascia prezzo cliente gruppo e quantità."
"Duplicate website, country and state tax found.","Duplica sito, paese e tasse statali trovate."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Es. {{media url=""percorso/immagine.jpg""}} {{skin url=""percorso/immagine.gif""}}. L'analisi delle direttive dinamiche influisce sulle prestazioni. "
"Edit Attribute Set '%s'","Modifica set di attributi '%s'"
"Edit Product Attribute","Modifica attributo prodotto"
"Edit Product Attribute ""%s""","Modifica attributo prodotto ""%s"""
"Edit Search","Modifica ricerca"
"Edit Search '%s'","Modifica ricerca '%s'"
"Edit Set Name","Modifica nome set"
"Email","Email"
"Email to a Friend","Mandalo via email ad un amico"
"Empty","Vuoto"
"Enable MAP","Attiva MAP"
"Enable Qty Increments","Abilita incrementi Qtà"
"Enable WYSIWYG","Abilita WYSIWYG"
"Enable for reindexing a big number of SKUs.","Abilita alla reindicizzazione un grande numero di SKUs."
"Enabled","Abilitato"
"Error during retrieval of option value: %s","Errore durante il recupero delle opzioni del valore: %s"
"Exclude","Escludi"
"Expand All","Espandi tutto"
"Failed","Fallito"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Impossibile copiare il file %s. Cancella i media con immagini che non esistono e riprova."
"Failed to move file: %s","Impossibile spostare file: %s"
"Feature Products","Caratteristica prodotti"
"Field is not complete","Il campo non è completo"
"File options format is not valid.","Il formato del file opzioni non è valido."
"File upload failed","Caricamento file non riuscito"
"Filter model name must be declared.","Il nome del modello del filtro deve essere dichiarato."
"Filter must be an object. Please set correct filter.","Il filtro deve essere un oggetto. Impostare filtro corretto."
"Filterable (no results)","Filtrabile (nessun risultato)"
"Filterable (with results)","Filtrabile (con risultati)"
"First Name","Nome"
"Fixed","Fixed"
"For internal use.","Per uso interno."
"For the last time placed.","Per l'ultima volta inserito."
"Frontend","Frontend"
"Frontend Model","Modello Frontend"
"Frontend Properties","Proprietà Frontend"
"Gallery","Gallery"
"General Information","Informazioni generali"
"Get full information about attribute with list of options","Ottieni tutte le informazioni riguardo all\'attributo dalla lista delle opzioni"
"Get full information about custom option in product","Ottieni tutte le informazioni riguardanti l\'opzione personalizzata nel prodotto"
"Get list of available custom option types","Ottieni una lista dei tipi di opzione personalizzata disponibili"
"Get list of non-default attributes by product type and attributes set","Ottieni una lista degli attributi non predefiniti per tipo di prodotto e set di attributi"
"Get list of possible attribute types","Ottieni una lista dei possibili tipi di attributo"
"Get special price","Ottieni prezzo speciale"
"Global","Globale"
"Globally Editable","Modificabile globalmente"
"Go to Home Page","Vai alla Home Page"
"Grid","Griglia"
"Group add","Aggiungi gruppo"
"Group remove","Rimuovi gruppo"
"Grouped Product","Prodotti raggruppati"
"Groups","Gruppi"
"Home","Home"
"ID","ID -"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Se vuoto, sarà utilizzato il nome della categoria"
"If empty, the Product Name will be used","Se vuoto, sarà utilizzato il nome prodotto"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se non viene specificata una opzione per la vista specifica del negozio verrà utilizzato il valore predefinito (Admin)."
"Image","Immagine"
"Image content is not valid base64 data.","I contenuti dell\'immagine non sono validi su dati base64."
"Image does not exist.","L\'immagine non esiste."
"Image file was not found.","Il file immagine non è stato trovato."
"Image type and information need to be specified for each store view.","Tipo immagine e le informazioni necessitano di essere specificata per ogni vista negozio."
"In Cart","Nel carrello"
"In Stock","Disponibile"
"In stock","Disponibile"
"Index product and categories URL rewrites","Indice delle URL rewrites dei prodotti e delle categorie"
"Index product attributes for layered navigation building","Indice attributi prodotti per la costruzione della navigazione a livelli"
"Index product prices","Indice prezzi prodotti"
"Indexed category/products association","Indice categorie/prodotti associati"
"Info","Info"
"Info Column Options Wrapper","Info opzioni colonna wrapper"
"Input Type","Tipo di input"
"Integer","Intero"
"Interval Division Limit","Limite intervallo di divisione"
"Invalid Tier Prices","Fascia prezzi non valida"
"Invalid attribute %s.","Attributo non valido %s."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opzioni attributo specificate non valide per l\'attributo %s (%s), salta il record."
"Invalid attribute set specified, skipping the record.","Set di attributi specificato non valido, salta il record."
"Invalid block: %s.","Blocco non valido: %s."
"Invalid category IDs.","ID categorie non valido."
"Invalid category.","Categoria non valida."
"Invalid image file type.","Tipo file immagine non valido."
"Invalid image type.","Tipo immagine non valido."
"Invalid option ID specified for %s (%s), skipping the record.","ID opzione specificato non valido per %s (%s), salta il record."
"Invalid product type specified, skipping the record.","Tipo prodotto specificato non valido, Salta il record."
"Invalid store specified","Negozio specificato non valido"
"Invalid store specified, skipping the record.","Negozio specificato non valido, salta il record."
"Invalid tier prices. The product is not associated to the requested website.","Livello prezzi non valido. Il prodotto non è associato al sito richiesto."
"Inventory","Inventario"
"Is Default","È predefinito"
"Is Required","Obbligatorio"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Gli articoli che non si desidera mostrare nel catalogo o nei risultati di ricerca devono avere lo stato 'disabilitato' nel negozio desiderato."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Gli articoli che non si desidera mostrare nel catalogo o nei risultati di ricerca deve avere lo stato 'disabilitato' nel negozio desiderato."
"Keep your eyes open for our special Back to School items and save A LOT!","Tieni gli occhi aperti per i nostro speciale Torna A Scuola e risparmierai TANTISSIMO!"
"Label","Etichetta"
"Last Name","Cognome"
"Last Notification","Ultima notifica"
"Layered Navigation","Navigazione a livelli"
"Learn More","Per saperne di più"
"Line %d, Email: %s","Riga %d, Email: %s"
"Line %d, SKU: %s","Riga %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Prodotti correlati, Prodotti alternativi, Prodotti consigliati)"
"Link product does not exist.","Il Link al prodotto non esiste."
"Link to a Specified Category","Link ad una determinata categoria"
"Link to a Specified Product","Link ad un determinato prodotto"
"List","Lista"
"List Mode","Modalità Lista"
"List of Products that are set as New","Lista dei prodotti che sono impostati come Nuovo"
"List of types","Lista di tipi"
"Manage Attribute Sets","Gestisci i set di attributi"
"Manage Attributes","Gestisci attributi"
"Manage Catalog Categories","Gestisci categorie catalogo"
"Manage Categories","Gestisci categorie"
"Manage Label / Options","Gestisci le etichette / Opzioni"
"Manage Options (values of your attribute)","Gestisci opzioni (valore del tuo attributo)"
"Manage Product Attributes","Gestisci attributi prodotto"
"Manage Product Sets","Gestisci set attributi"
"Manage Products","Gestisci prodotti"
"Manage Stock","Gestici scorte"
"Manage Titles (Size, Color, etc.)","Gestisci titoli (Dimensione, Colore, etc.)"
"Max Characters","Max Caratteri"
"Maximal Depth","Profondità massima"
"Maximum Image Size","Dimensione massima immagine"
"Maximum Number of Price Intervals","Numero massimo di intervalli di prezzo"
"Maximum Qty Allowed in Shopping Cart","Massima Qtà permessa nel carrello"
"Maximum allowed image size for '%s' is %sx%s px.","La massima dimensione permessa per l\'immagine '%s' è %sx%s px."
"Maximum image height","Altezza massima immagine"
"Maximum image width","Larghezza massima immagine"
"Maximum number of characters:","Massimo numero di caratteri:"
"Maximum number of price intervals is 100","Il numero massimo di intervalli di prezzo è 100"
"Maximum width base product image will be scaled down to in pixels","La larghezza massima della immagine principale sarà scalata in pixel"
"Maximum width small product image will be scaled down to in pixels","La larghezza massima della immagine small sarà scalata in pixel"
"Media Image","Immagine Media"
"Minimum Advertised Price","Prezzo minimo pubblicizzato"
"Minimum Lines per Page","Righe minime per pagina"
"Minimum Qty Allowed in Shopping Cart","Qtà minima ammessa nel carrello"
"Minimum Qty for Item\'s Status to be Out of Stock","Qtà minima dello stato dell\'articolo per essere non disponibile"
"Missing SKU, skipping the record.","SKU mancante, salta il record."
"More Views","Altre viste"
"Move","Sposta"
"Move category in tree","Sposta in albero categoria"
"Must be in the allowed values list.","Deve essere nella lista dei valori permessi."
"Multi update product","Multi aggiornamento prodotto "
"N/A","N/A"
"Name","Nome"
"Name in %s","Nome in %s"
"New Product","Nuovo prodotto"
"New Product Attribute","Nuovo attributo prodotto"
"New Products","Nuovi prodotti"
"New Products Grid Template","Nuovo Template griglia prodotti"
"New Products List Template","Nuovo Template lista prodotti"
"New Root Category","Nuova categoria Root"
"New Search","Nuova ricerca"
"New Set Name","Nome nuovo Set"
"New Subcategory","Nuova sottocategoria"
"New products","Nuovi prodotti"
"Next","Successivo"
"No","No"
"No image","Nessuna immagine"
"No layout updates","Nessun aggiornamento al layout"
"No options of this product are available.","Non è disponibile nessuna opzione di questo prodotto."
"No product collections found.","Non è stata trovata nessuna raccolta del prodotto."
"None","Nessuno"
"Not Visible Individually","Non visibile individualmente"
"Notify Low Stock RSS","Comunica via RSS scorte in esaurimento"
"Notify for Quantity Below","Avvisa per quantità inferiori a "
"Number of Products per Page","Numero di prodotti per pagina"
"Number of Products to Display","Numero di prodotti da visualizzare"
"Number of Uses","Numero di utilizzi"
"Number of results","Numero di risultati"
"Number of results (For the last time placed)","Numero di risultati (per l'ultima volta immessi)"
"OK","OK"
"OR","O"
"Old Price:","Prezzo precedente:"
"On Gesture","con gesture"
"Option validation failed to add product to cart.","L\'opzione di validazine ha fallito nell\'aggiungere il prodotto al carrello."
"Option values","Valori opzione"
"Option:","Opzione:"
"Options","Opzioni"
"Options Control","Controllo opzioni"
"Options is required","Opzioni è richiesto"
