"hm:Cart Subtotal:","Subtotaal winkelwagen (Incl. BTW):"
"Life is a matter of choices and every choice you make, makes you.", "Het leven is een kwestie van keuzes en elke keuze die je maakt, maakt jou."
"You added %s to your shopping cart.","U heeft %s aan uw winkelwagen toegevoegd."
"You added %1 to your shopping cart.","U heeft %1 aan uw winkelwagen toegevoegd."
"We can't add this item to your shopping cart right now.","We kunnen dit artikel nu niet aan je winkelwagen toevoegen."
"Recently added item(s)","Recent toegevoegde artikelen"
"Thank you for your purchase!","Bedankt voor je aankoop!"
"Print receipt", "Printbon"
"Your order # is: %1.", "Uw bestelnummer is: %1."
"We'll email you an order confirmation with details and tracking info.", "We sturen je een orderbevestiging met details en trackinginformatie."
"We expect to ship your order on %1 and your order will be delivered on %2.", "We verwachten uw bestelling op %1 te verzenden en uw bestelling wordt geleverd op %2."
"We expect to ship your order on %1 and your order will be delivered between %2 and %3.", "We verwachten uw bestelling op %1 te verzenden en uw bestelling zal tussen %2 en %3 worden bezorgd."
"We expect to ship your order on %1.", "We verwachten uw bestelling op %1 te verzenden."
"The requested qty exceeds the maximum qty allowed in shopping cart","De gevraagde hoeveelheid overschrijdt de maximaal toegestane hoeveelheid in het winkelwagentje"
"Are you sure you would like to remove this item from the shopping cart?","Weet je zeker dat je dit artikel uit de winkelwagen wilt verwijderen?"
"The shipping method is missing. Select the shipping method and try again.","De verzendmethode ontbreekt. Selecteer de verzendmethode en probeer het opnieuw."
"Back to Store","Terug naar winkel"
"For delivery questions.","Voor leveringsvragen."
"Ship here","Schip hier"
"Some addresses can't be used due to the configurations for specific countries.","Sommige adressen kunnen niet worden gebruikt vanwege de configuraties voor specifieke landen."
"An error occurred on the server. Please try to place the order again.","Er is een fout opgetreden op de server. Probeer de bestelling opnieuw te plaatsen."
"Submit chosen location","Gekozen locatie indienen"
"Pickup locations found","Ophaallocaties gevonden"
"Filter pickup locations","Ophaallocaties filteren"
"Postcode, city, street, house","Postcode, stad, straat, huis"
"Search","Zoeken"
"search","zoeken"
"Late open (after: 18:00)","Laat open (na: 18:00)"
"Open early (before 9:00)","Vroeg open (vóór 9.00 uur)"
"Open on Sunday","Open op zondag"
"Choose a pickup location","Kies een ophaallocatie"
"I would like to receive a new one","Ik ontvang graag nieuw(e) product(en)"
"I would like to get a refund","Ik ontvang graag mijn geld terug"
"Select subcategory", "Selecteer subcategorie"
"Choose your solution", "Kies oplossing"
"Print quality","Print kwaliteit"
"Product quality (item)","Productkwaliteit (artikel)"
"Wrong product (does not fit)","Verkeerd product (past niet)"
"It is not what I expected","Het is niet wat ik had verwacht"
"Package not yet arrived","Pakket nog niet aangekomen"
"Choose another Topic","Kies een ander onderwerp"
"Need help? Contact us here","Hulp nodig? Neem hier contact met ons op"
"Contact with Gocustomized support", "Contact met Gocustomized ondersteuning"
"Hi %1, please specify your support request", "Hi %1, specificeer je support aanvraag"
"Hi %1, how can we help you?", "Hi %1, hoe kunnen we je helpen?"
"I need assistance with", "Ik heb hulp nodig met"
"My received product(s)", "Mijn ontvangen product(en)"
"My delivery", "Mijn verzending"
"Cancel order", "Bestelling annuleren"
"Others", "Overig"
"Please select your question or complaint", "Maak alsjeblieft een keuze"
"Contact", "Contact"
"How can we help you?", "Hoe kunnen wij u helpen?"
"DIRECT CUSTOMER SUPPORT","KLANT SUPPORT"
"Login", "Inloggen"
"Please login to continue with direct support.", "Log in om door te gaan met directe ondersteuning."
"Not (yet) a customer? You can get in contact with our support team <a href=""javascript:otherQuestion()"">here</a>", "Ben je nog geen klant of heb je een algemene vraag? Neem <a href=""javascript:otherQuestion()"">hier</a> contact met ons op"
"Next", "Volgende"
"Other", "Overig"
"change", "wijzig"
"Please fill in the required fields", "Vul alsjeblieft alle velden in"
"View all topics","Alle onderwerpen..."
"Which house number do you mean?","Welk huisnummer bedoel je?"
"Search for help by topic, keywords","Populaire onderwerpen: verzending, retour, betaling"
"return","retour"
"shipping","verzending"
"payment","betaling"
"Cash On Delivery","Onder Rembours"
"Credit Card","Kredietkaart"
"Shipping & Handling","Verzend en Behandelkosten"
"Go back","Ga terug"
"You aren't subscribed to our newsletter.","Momenteel bent u niet op een nieuwsbrief geabonneerd."
"VAT number","BTW nummer"
"It's a default billing address.","Het is een standaard factuuradres."
"It's a default shipping address.","Het is een standaard verzendadres."
"You have placed no orders.","U heeft geen bestellingen geplaatst."
"You have submitted no reviews.","U hebt geen reviews verstuurd."
"Subscription option","Abonnement optie"
"Read Privacy Policy","Lees het privacybeleid"
"Read Cookie Policy","Cookiebeleid lezen"
"Download personal data","Persoonlijke gegevens downloaden"
"Here you can download a copy of your personal data which we store for your account in CSV format.","Hier kunt u een kopie downloaden van uw persoonlijke gegevens die wij voor uw account opslaan in CSV-indeling."
"Download","Downloaden"
"Anonymise personal data","Anonimiseer persoonsgegevens"
"Anonymising your personal data means that it will be replaced with non-personal anonymous information and before that you will get your new login to your e-mail address (your password will stay the same). After this process, your e-mail address and all other personal data will be removed from the website.","Het anonimiseren van uw persoonlijke gegevens betekent dat deze worden vervangen door niet-persoonlijke anonieme informatie en daarvoor krijgt u uw nieuwe login op uw e-mailadres (uw wachtwoord blijft hetzelfde). Na dit proces worden uw e-mailadres en alle andere persoonlijke gegevens van de website verwijderd."
"I agree and I want to proceed","Ik ga akkoord en ik wil doorgaan"
"Proceed","Doorgaan"
"Delete account","Account verwijderen"
"I understand and I want to delete my account","Ik begrijp het en ik wil mijn account verwijderen"
"Submit request","Aanvraag indienen"
"Anonymising your personal data means that it will be replaced
                        with non-personal anonymous information and before that you will get your
                        new login to your e-mail address (your password will stay the same). After this process,
                        your e-mail address and all other personal data will be removed from the website.","Het anonimiseren van uw persoonsgegevens betekent dat deze worden vervangen
                        met niet-persoonlijke anonieme informatie en daarvoor krijgt u uw
                        nieuwe login op uw e-mailadres (uw wachtwoord blijft hetzelfde). Na dit proces,
                        uw e-mailadres en alle overige persoonsgegevens worden van de website verwijderd."
"Request to remove your account, together with all your personal data,
                         will be processed by our staff.<br>Deleting your account will remove all the purchase
                         history, discounts, orders, invoices and all other information that might be related to your
                         account or your purchases.<br>All your orders and similar information will be
                         lost.<br>You will not be able to restore access to your account after
                         we approve your removal request.","Verzoek om uw account te verwijderen, samen met al uw persoonlijke gegevens,
                         wordt door onze medewerkers verwerkt.<br>Als u uw account verwijdert, worden alle aankopen verwijderd
                         geschiedenis, kortingen, bestellingen, facturen en alle andere informatie die te maken kan hebben met uw
                         account of uw aankopen.<br>Al uw bestellingen en soortgelijke informatie worden
                         verloren.<br>U kunt de toegang tot uw account hierna niet meer herstellen
                         we keuren uw verwijderingsverzoek goed."
"Policies text","Beleidstekst"
"You have no other address entries in your address book.","U heeft geen andere adresvermeldingen in uw adresboek."
"%s Item(s)","%s artikel(en)"
"%1 Item(s)","%1 artikel(en)"
"You saved the account information.","U heeft de accountgegevens opgeslagen."
"Please select a region, state or province.","Selecteer een regio, staat of provincie."
"You updated your password.","Je hebt je wachtwoord bijgewerkt."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Als er een account aan %1 is gekoppeld, ontvangt u een e-mail met een link om uw wachtwoord opnieuw in te stellen."
"If there is an account associated with %s you will receive an email with a link to reset your password.","Als er een account aan %s is gekoppeld, ontvangt u een e-mail met een link om uw wachtwoord opnieuw in te stellen."
"Ship To","Verzend naar"
"Reorder","Opnieuw ordenen"
"Recently Ordered","Onlangs besteld"
"View All","Bekijk alles"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","De accountaanmelding was onjuist of uw account is tijdelijk uitgeschakeld. Even geduld a.u.b. en probeer het later opnieuw."
"Login and password are required.","Login en wachtwoord zijn vereist."
"You will be redirected to the PayPal website.","U wordt doorgestuurd naar de PayPal-website."
"Select Store:","Selecteer winkel:"
"Items Ordered","Artikelen besteld"
"Order information","Order informatie"
"You have signed out and will go to our homepage in 5 seconds.","U bent uitgelogd en gaat binnen 5 seconden naar onze homepage."
"You have not set a default shipping address.","U heeft geen standaard verzendadres ingesteld."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","De minimale lengte van dit veld moet gelijk zijn aan of groter zijn dan %1 symbolen. Voorloop- en volgspaties worden genegeerd."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Het minimum aantal verschillende klassen van tekens in het wachtwoord is %1. Klassen van tekens: kleine letters, hoofdletters, cijfers, speciale tekens."
"Please enter the same value again.","Voer dezelfde waarde nogmaals in."
"The minimum password length is %s","De minimale wachtwoordlengte is %s"
"Please enter your email address below to receive a password reset link.","Voer hieronder uw e-mailadres in om een ​​link voor het opnieuw instellen van uw wachtwoord te ontvangen."
"Set a New Password","Stel een nieuw wachtwoord in"
"Forgot your password?","Uw wachtwoord vergeten?"
"Thanks for reaching out to us we'll soon be in contact.","Bedankt voor je bericht. We nemen contact op met je."
"Welcome to","Welkom bij"
"Welcome to %store_name.","Welkom bij %store_name."
"Welcome to %store_name","Welkom bij %store_name"
"Welcome to %s.","Welkom bij %s."
"Welcome to %1.","Welkom bij %1."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Om je te registreren en een wachtwoord aan te maken, klik op de volgende <a href=""%create_password_url"">link</a>:"
"To sign in to our site and set a password, click on the <a href=""%s"">link</a>:","Om je te registreren en een wachtwoord aan te maken, klik op de volgende <a href=""%s"">link</a>:"
"To sign in to our site and set a password, click on the <a href=""%1"">link</a>:","Om je te registreren en een wachtwoord aan te maken, klik op de volgende <a href=""%1"">link</a>:"
"Email:","Email:"
"When you sign in to your account, you will be able to:","Door je te registreren kun je:"
"Proceed through checkout faster","Het betalingsproces sneller doorlopen"
"Check the status of orders","De status van je orders bekijken"
"View past orders","Vorige bestellingen bekijken"
"Store alternative addresses (for shipping to multiple family members and friends)","En meerdere verzendadressen opslaan (bijvoorbeeld om naar vrienden te versturen)"
"Thank you, %store_name","Bedankt, %store_name"
"Thank you, %s","Bedankt, %s"
"Thank you, %1","Bedankt, %1"
"My Recent Reviews","Mijn recente reviews"
"Invoices","Facturen"
"Order Shipments","Zendingen bestellen"
"Back to My Orders","Terug naar Mijn bestellingen"
"Order # %1","Bestel # %1"
"Print All Invoices","Alle facturen afdrukken"
"Invoice #","Factuur #"
"Print Invoice","Factuur afdrukken"
"Qty Invoiced","Aantal gefactureerd"
"Order Information","Order Informatie"
"You submitted your review for moderation.","Je hebt je review ingediend voor moderatie."
"Print All Shipments","Alle zendingen afdrukken"
"Shipment #","Zending #"
"Shipment #%1","Zending #%1"
"Print Shipment","Zending afdrukken"
"Track this shipment","Deze zending volgen"
"Qty Shipped","Aantal verzonden"
"Refunds","Terugbetalingen"
"Print All Refunds","Alle terugbetalingen afdrukken"
"Refund #","Terugbetaling #"
"Refund #%1","Terugbetaling #%1"
"Print Refund","Terugbetaling afdrukken"
"Discount Amount","Korting hoeveelheid"
"Row Total","Totaal"
"Discount (%1)","Korting (%1)"
"Request to change delivery address","Verzoek adreswijziging"
"Request for cancellation","Verzoek annuleren bestelling"
"SEE LESS","ZIE MINDER"
"How do you rate this product?","Hoe waardeert u dit product?"
"Nickname","Schermnaam"
"Summary of your Review","Samenvatting van uw review"
"Review","Beoordeling"
"Submit Review","Review versturen"
"You submitted your review for moderation.","Je hebt je review ingediend voor moderatie."
"Ship here","Schip hier"
"Welcome, %1!","Welkom, %1!"
"Shipments","Zendingen"
"ALL REVIEWS","ALLE BEOORDELINGEN"
"All Reviews","Alle beoordelingen"
"View all reviews","Bekijk alle beoordelingen"
"View All Reviews","Bekijk alle beoordelingen"
"Update Cart","Winkelwagen bijwerken"
"I Agree","Ik ga akkoord"
"Cancel Coupon","Kortingsbon annuleren"
"Your coupon was successfully applied.","Uw coupon is succesvol toegepast."
"Your coupon was successfully removed.","Uw coupon is succesvol verwijderd."
"Your order number is: %1","Uw bestelnummer is: %1"
"Your order # is: <span>%1</span>.","Uw bestelnummer is: <span>%1</span>."
"We\'ll email you an order confirmation with details and tracking info.","We sturen je een orderbevestiging met details en trackinginformatie."
"Click <a href=""%1"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Klik <a href=""%1"" onclick=""this.target=\'_blank\'"">hier om</a> een kopie van uw orderbevestiging af te drukken."
"%1 was updated in your shopping cart.","%1 is bijgewerkt in uw winkelwagen."
"I have a question about","Ik heb een vraag over"
"How Do You Rate This Product?","Hoe waardeert u dit product?"
"Ship Here","Schip hier"
"Sort by","Sorteer"
"Cancel coupon","Kortingsbon annuleren"
"Click <a href=""%1"">here</a> to continue shopping.","Klik <a href=""%1"">hier</a> om door te gaan met winkelen."
"Password Strength","Wachtwoord sterkte"
"No Password","Geen wachtwoord"
"Weak","Zwak"
"Medium","Medium"
"Strong","Sterk"
"Very Strong","Heel sterk"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Er is al een account met dit e-mailadres. Als u zeker weet dat dit uw e-mailadres is, <a href=""%1"">klikt u hier</a> om uw wachtwoord te verkrijgen en toegang te krijgen tot uw account."
"Sorry, no quotes are available for this order.","Sorry, er zijn geen offertes beschikbaar voor deze bestelling."
"Get shipping methods and rates","Verzendmethoden en tarieven ophalen"
"You don\'t need to select a shipping method.","U hoeft geen verzendmethode te selecteren."
"Incl. Tax","Incl. BTW"
"Incl. tax","Incl. btw"
"Excl. Tax","Excl. BTW"
"Excl. tax","Excl. btw"
"Total incl. tax","Totaal incl. btw"
"Total excl. tax","Totaal ezcl. btw"
"Refund Shipping (Incl. Tax)","Verzendkosten terugbetalen (incl. btw)"
"Refund Shipping (Excl. Tax)","Verzendkosten terugbetalen (excl. btw)"
"Refund Shipping","Verzendkosten terugbetalen"
"Click to change shipping method","Klik om de verzendmethode te wijzigen"
"Save in address book","Opslaan in adresboek"
"Please specify a regionId in shipping address.","Geef een region-ID op in het verzendadres."
"New Customers","Nieuwe klanten"
"Registered Customers","Geregistreerde klanten"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Door een account aan te maken in deze winkel kunt u het betalingsproces sneller doorlopen, meerdere verzendadressen opslaan, bestellingen bekijken en volgen en meer."
"If you have an account with us, please log in.","Als u een account bij ons hebt, log dan in a.u.b."
"Coupon code is not valid","Kortingscode is niet geldig"
"Login or Create an Account","Inloggen of een account aanmaken"
"View and Edit Cart","Bekijk en bewerk winkelwagen"
"We can't find products matching the selection.","We kunnen geen producten vinden die overeenkomen met de selectie."
"GoCustomized - Design your product","GoCustomized - Ontwerp je product"
"You're reviewing:","Je beoordeelt nu:"
"You're reviewing:\n%s","Je beoordeelt nu:\n%s"
"You coupon was successfully applied.","Uw coupon is succesvol toegepast."
"No Payment Methods","Geen Betaalmethoden"
"You have no items in your shopping cart.","U heeft geen artikelen in uw winkelwagen."
"Quality","Kwaliteit"
"star","ster"
"Go Back","Ga terug"
"Please make sure your passwords match.","Zorg er alstublieft voor dat uw wachtwoorden overeenkomen."
"We can\'t save the customer.","We kunnen de klant niet redden."
"Thank you for registering with %1.","Bedankt voor het registreren bij %1."
"Print Order","Printopdracht"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Besteldatum:</span> %1"
"Price","Prijs"
"price","prijs"
"Filter","Filter"
"filter","filter"
"Could not apply coupon code","Kon couponcode niet toepassen"
"The shipping address is missing. Set the address and try again.","Het verzendadres ontbreekt. Stel het adres in en probeer het opnieuw."
"Please type the letters below","Typ de onderstaande letters a.u.b."
"Products Reviews","Producten Beoordelingen"
"Currently Shopping by","Momenteel winkelen door"
"Currently Shopping by:","Momenteel winkelen door:"
"Reviews %1","Beoordelingen %1"
"You save the address.","Je slaat het adres op."
"Reset My Password","Reset mijn wachtwoord"
"Incorrect CAPTCHA","Onjuiste CAPTCHA"
"A login and a password are required.","Een login en een wachtwoord zijn vereist."
"Your search returned no results.","Uw zoekopdracht heeft geen resultaten opgeleverd."
"Did you mean","Bedoelde je"
"Search results for: '%1'","Zoekresultaten voor: '%1'"
"Ordered","Besteld"
"Shipped","Verzonden"
"Create New Customer Account","Nieuw klantaccount aanmaken"
"Personal Information","Persoonlijke informatie"
"Sign Up for Newsletter","Aanmelden voor Nieuwsbrief"
"Login Information","Login Informatie"
"Review by","Beoordeling door"
"Posted on","Geplaatst op"
"1 star","1 ster"
"2 stars","2 sterren"
"3 stars","3 sterren"
"4 stars","4 sterren"
"5 stars","5 sterren"
"Please select a pickup location.","Selecteer een ophaallocatie."
"Already a customer?","Al een klant?"
"Receive a faster answer about your order by login in below.","Ontvang een snel antwoord over je bestelling door beneden in te loggen."
"Customer accounts are created when you place an order. An email to activate your account was sent the same day. Did not receive that email? Activate your account by resetting your password <a href=""%1"">here</a>.","Klantaccounts worden gemaakt wanneer je een bestelling plaatst. Een e-mail om je account te activeren wordt dezelfde dag verstuurd. Heb jij dat e-mail niet ontvangen? Activeer jouw account door je wachtwoord <a href=""%1"">hier</a> te resetten."
"Customer Contact","Klantcontact"
"Not yet a customer? If you haven’t placed an order with us, please fill out our contact form.","Nog geen klant? Als je geen bestelling hebt geplaatst, vul dan alstublieft ons contactformulier in."
"Fill out contact form","Vul het contactformulier in"
"Not yet a customer?","Nog geen klant?"
"If you haven’t placed an order with us, please fill out our contact form below. If your question is about your order, please login <span class=""login"">here</span>. This will help us give you a faster answer!","Als je geen bestelling bij ons hebt geplaatst, vul dan alstublieft ons contactformulier hieronder in. Als je een vraag hebt over je bestelling, log dan <span class=""login"">hier</span> in. Dit helpt ons om een sneller antwoord te geven."
"General contact form:","Algemene contactformulier:"
"Login to your account","Log in op je account"
"Check your inbox, we’ll send you...","Bekijk je inbox, wij verzenden..."
"An email to activate your Customer Account to follow up your order.","Een e-mail om jouw klantaccount te activeren om je bestelling te volgen."
"Your order confirmation with the details of your purchase.","Een bevestiging van je bestelling met de details van je aankoop."
"Activate your customer account – Review your order details in one place.","Activeer je klantaccount - Bekijk gegevens van je bestelling op een plek."
"Your customer account has been created.","Jouw klantaccount is gemaakt."
"Follow up your order, get direct support, and much more by activating your account! <br/>You just need to set up a password.","Volg je bestelling, ontvang direct hulp en nog veel meer door je account te activeren! <br/>Het enige wat je nodig hebt is een wachtwoord."
"<a href=""%create_password_url"">Activate your account</a>","<a href=""%create_password_url"">Activeer jouw account</a>"
"It might help you to check our delivery information.","Het kan je helpen om informatie van onze levering te bekijken."
"By placing an order a customer account is automatically created.","Door een bestelling te plaatsen, wordt een klantaccount automatisch gemaakt."
"You are signed out","Je bent uitgelogd"
"Please enter your email address below. You will receive a link to reset your password.","Vul hieronder uw e-mailadres in. U ontvangt een link om uw wachtwoord opnieuw in te stellen."
"Track Shipment","Zending volgen"
"No Faqs Found!","Geen veelgestelde vragen gevonden!"
"Your order was successfully received (order number: %1).","Jouw bestelling is met succes ontvangen (ordernummer: %1)."
"We expect to deliver your order around %1 and %2.","Wij verwachten jouw bestelling rond %1 and %2 te leveren."
"We expect to deliver your order on %1.","We verwachten jouw bestelling te leveren op %1."
"Select one or multiple options to receive your order ready for a gift.","Selecteer een of meerdere opties om je bestelling te ontvangen als cadeau."
"Add to Cart","In winkelwagen"
"ADD TO CART","IN WINKELWAGEN"
"Choose your gift options","Kies je cadeau opties"
"I want it","Voeg toe"
"Add","Voeg toe"
"ADD","VOEG TOE"
"Complete your order","Maak je order compleet"
"COMPLETE YOUR ORDER","MAAK JE ORDER COMPLEET"
"CONTINUE TO CART","NAAR WINKELWAGEN"
"Gift options","Cadeau opties"
"Make it a gift","Maak er een cadeau van"
